actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2020-07-29T00:06:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-07-29T00:06:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-07-29T00:06:17.0Z,1,REGULAR,jumpball,recovered,[],1629641,,,1610612738,0,0,2020-07-29T00:06:17Z,40000,,,0,,Jump Ball R. Williams III vs. R. Covington: Tip to R. Langford,"[1629641, 1629057, 203496]",1610612738.0,BOS,startperiod,R. Langford,1629641.0,Langford,R. Langford,Williams III,1629057.0,Covington,203496.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-07-29T00:06:28.4Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629057,6.652431011826544,45.166973039215684,1610612738,0,2,2020-07-29T00:06:33Z,70000,24.0,10.0,1,left,R. Williams III dunk (2 PTS) (B. Wanamaker 1 AST),"[1629057, 202954]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.87,Made,2.0,B. Wanamaker,202954.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2020-07-29T00:06:49.3Z,1,REGULAR,3pt,jumpshot,[],200782,80.3712220762155,91.49050245098039,1610612745,0,2,2020-07-29T00:06:54Z,90000,207.0,132.0,1,right,MISS P. Tucker 25' 3PT,[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,24.89,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2020-07-29T00:06:53.3Z,1,REGULAR,rebound,defensive,[],1629035,,,1610612738,0,2,2020-07-29T00:06:54Z,100000,,,0,,C. Edwards REBOUND (Off:0 Def:1),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M08.00S,2020-07-29T00:07:04.8Z,1,REGULAR,2pt,hook,[],1629057,6.652431011826544,67.22579656862744,1610612738,0,2,2020-07-29T00:07:10Z,110000,-86.0,10.0,1,left,MISS R. Williams III 9' hook,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,8.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2020-07-29T00:07:09.8Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,0,2,2020-07-29T00:07:10Z,120000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M01.00S,2020-07-29T00:07:11.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],201935,71.69842312746385,78.50030637254902,1610612745,0,2,2020-07-29T00:07:51Z,130000,143.0,214.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612745.0,HOU,stepback,,,Harden,J. Harden,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2020-07-29T00:07:15.9Z,1,REGULAR,rebound,defensive,[],202954,,,1610612738,0,2,2020-07-29T00:07:17Z,140000,,,0,,B. Wanamaker REBOUND (Off:0 Def:1),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M57.00S,2020-07-29T00:07:19.3Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,0,2,2020-07-29T00:07:19Z,150000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2020-07-29T00:07:42.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202954,6.652431011826544,57.421875,1610612738,0,2,2020-07-29T00:07:47Z,160000,-37.0,10.0,1,left,MISS B. Wanamaker jumpshot,[202954],1610612738.0,BOS,drivingfloatingbank,,,Wanamaker,B. Wanamaker,,,,,4.02,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2020-07-29T00:07:45.7Z,1,REGULAR,rebound,offensive,[],1628400,,,1610612738,0,2,2020-07-29T00:07:45Z,170000,,,0,,S. Ojeleye REBOUND (Off:1 Def:0),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
18,PT10M44.00S,2020-07-29T00:07:47.4Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1629035,26.10052562417871,83.15716911764706,1610612738,0,5,2020-07-29T00:07:54Z,180000,-166.0,193.0,1,left,C. Edwards 26' 3PT  (3 PTS) (S. Ojeleye 1 AST),"[1629035, 1628400]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,25.85,Made,3.0,S. Ojeleye,1628400.0,1.0,,,,,,,,,,,,,,
20,PT10M36.00S,2020-07-29T00:08:03.9Z,1,REGULAR,turnover,lostball,[],201566,,,1610612745,0,5,2020-07-29T00:08:21Z,200000,,,0,,R. Westbrook TURNOVER lostball (1 TOV) Stolen,"[201566, 1629035]",1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,1.0,Edwards,1629035.0,,,,,,,
21,PT10M36.00S,2020-07-29T00:08:03.9Z,1,REGULAR,steal,,[],1629035,,,1610612738,0,5,2020-07-29T00:08:06Z,210000,,,0,,C. Edwards STEAL (1 STL),[1629035],1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M35.00S,2020-07-29T00:08:08.5Z,1,REGULAR,turnover,outofbounds,[],1629035,,,1610612738,0,5,2020-07-29T00:08:39Z,220000,,,0,,C. Edwards TURNOVER outofbounds (1 TOV),[1629035],1610612738.0,BOS,badpass,,,Edwards,C. Edwards,,,,,,,,,,,,,,,1.0,,,202037.0,,,,,,
23,PT10M30.00S,2020-07-29T00:08:25.2Z,1,REGULAR,foul,personal,[],1629035,,,1610612745,0,5,2020-07-29T00:08:34Z,230000,,,0,,C. Edwards FOUL personal (1 PF),"[1629035, 201566]",1610612738.0,BOS,,,,Edwards,C. Edwards,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Westbrook,201566.0,,
25,PT10M26.00S,2020-07-29T00:08:43.2Z,1,REGULAR,turnover,badpass,[],201935,,,1610612745,0,5,2020-07-29T00:08:48Z,250000,,,0,,J. Harden TURNOVER badpass (1 TOV) Stolen,"[201935, 202954]",1610612745.0,HOU,,,,Harden,J. Harden,,,,,,,,,,,,,,,1.0,Wanamaker,202954.0,,,,,,,
26,PT10M26.00S,2020-07-29T00:08:43.2Z,1,REGULAR,steal,,[],202954,,,1610612738,0,5,2020-07-29T00:08:45Z,260000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612738.0,BOS,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M18.00S,2020-07-29T00:08:52.0Z,1,REGULAR,2pt,hook,"['pointsinthepaint', 'fromturnover']",1628400,11.645860709592641,61.588541666666664,1610612738,0,5,2020-07-29T00:08:58Z,270000,-58.0,57.0,1,left,MISS S. Ojeleye 9' hook,[1628400],1610612738.0,BOS,driving,,,Ojeleye,S. Ojeleye,,,,,8.52,Missed,,,,,,,,,,,,,,,,,,
28,PT10M15.00S,2020-07-29T00:08:55.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,0,5,2020-07-29T00:08:58Z,280000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,
