actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2019-12-13T01:15:52.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-13T01:15:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-13T01:15:54.6Z,1,REGULAR,jumpball,recovered,[],1627732,,,1610612755,0,0,2019-12-13T01:15:54Z,40000,,,0,,Jump Ball J. Embiid vs. D. Theis: Tip to B. Simmons,"[1627732, 203954, 1628464]",1610612755.0,PHI,startperiod,B. Simmons,1627732.0,Simmons,B. Simmons,Embiid,203954.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2019-12-13T01:16:12.9Z,1,REGULAR,turnover,outofbounds,[],1627732,,,1610612755,0,0,2019-12-13T01:16:22Z,70000,,,0,,B. Simmons TURNOVER outofbounds (1 TOV),[1627732],1610612755.0,PHI,lostball,,,Simmons,B. Simmons,,,,,202041.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2019-12-13T01:16:36.2Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1627759,11.300919842312746,44.92953431372549,1610612738,0,0,2019-12-13T01:17:13Z,80000,25.0,54.0,1,left,MISS J. Brown 6' jumpshot,[1627759],1610612738.0,BOS,drivingfloating,,,Brown,J. Brown,,,,,,,6.44,Missed,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2019-12-13T01:16:37.2Z,1,REGULAR,rebound,defensive,[],203118,,,1610612755,0,0,2019-12-13T01:16:46Z,90000,,,0,,M. Scott REBOUND (Off:0 Def:1),[203118],1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2019-12-13T01:16:51.9Z,1,REGULAR,3pt,jumpshot,[],202699,66.44218134034165,40.26501225490196,1610612755,0,0,2019-12-13T01:16:58Z,100000,-49.0,263.0,1,right,MISS T. Harris 27' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,27.28,Missed,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2019-12-13T01:16:53.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2019-12-13T01:17:18Z,110000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M57.00S,2019-12-13T01:17:05.8Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628464,11.645860709592641,49.08854166666667,1610612738,2,0,2019-12-13T01:17:12Z,120000,5.0,57.0,1,left,D. Theis 6' hook (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,6.27,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,
14,PT10M41.00S,2019-12-13T01:17:21.3Z,1,REGULAR,3pt,jumpshot,[],203118,69.59592641261499,29.235600490196077,1610612755,2,3,2019-12-13T01:17:26Z,140000,-104.0,233.0,1,right,M. Scott 26' 3PT  (3 PTS) (J. Richardson 1 AST),"[203118, 1626196]",1610612755.0,PHI,,,,Scott,M. Scott,,,,,,,26.04,Made,,,,,3.0,J. Richardson,1626196.0,1.0,,,,,,,,,
16,PT10M27.00S,2019-12-13T01:17:35.2Z,1,REGULAR,2pt,jumpshot,[],202689,20.45006570302234,32.176776960784316,1610612738,2,3,2019-12-13T01:17:42Z,160000,89.0,140.0,1,left,MISS K. Walker 17' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,17.04,Missed,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2019-12-13T01:17:37.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,3,2019-12-13T01:17:42Z,170000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M04.00S,2019-12-13T01:17:58.4Z,1,REGULAR,2pt,jumpshot,[],203954,89.83245729303549,75.80422794117648,1610612755,2,3,2019-12-13T01:18:07Z,180000,129.0,43.0,1,right,MISS J. Embiid 14' jumpshot,[203954],1610612755.0,PHI,stepback,,,Embiid,J. Embiid,,,,,,,13.79,Missed,,,,,,,,,,,,,,,,,
19,PT10M00.00S,2019-12-13T01:18:02.4Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,3,2019-12-13T01:18:07Z,190000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
