actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2019-12-19T02:40:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-19T02:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-19T02:41:10.6Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2019-12-19T02:41:10Z,40000,,,0,,Jump Ball K. Porzingis vs. D. Theis: Tip to D. Powell,"[203939, 204001, 1628464]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2019-12-19T02:41:22.4Z,1,REGULAR,3pt,jumpshot,[],204001,29.38567674113009,71.6375612745098,1610612742,0,0,2019-12-19T02:41:27Z,70000,-108.0,224.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2019-12-19T02:41:25.4Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,0,0,2019-12-19T02:41:27Z,80000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2019-12-19T02:41:34.0Z,1,REGULAR,2pt,jumpshot,[],1628369,79.58278580814718,37.56893382352941,1610612738,0,0,2019-12-19T02:41:39Z,90000,-62.0,139.0,1,right,MISS J. Tatum 16' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.77,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2019-12-19T02:41:36.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,0,2019-12-19T02:41:39Z,100000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M22.00S,2019-12-19T02:41:45.4Z,1,REGULAR,2pt,jumpshot,[],204001,13.485545335085414,71.6375612745098,1610612742,0,0,2019-12-19T02:41:51Z,110000,-108.0,74.0,1,left,MISS K. Porzingis 13' jumpshot,[204001],1610612742.0,DAL,turnaroundfadeaway,,,Porzingis,K. Porzingis,,,,,13.44,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2019-12-19T02:41:47.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2019-12-19T02:41:51Z,120000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M08.00S,2019-12-19T02:42:02.6Z,1,REGULAR,turnover,traveling,[],1628464,,,1610612738,0,0,2019-12-19T02:42:07Z,130000,,,0,,D. Theis TURNOVER traveling (1 TOV),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,202056.0,1.0,,,,,,,,,,,,,
14,PT10M58.00S,2019-12-19T02:42:25.1Z,1,REGULAR,2pt,jumpshot,['fromturnover'],203501,24.26084099868594,35.60814950980392,1610612742,0,0,2019-12-19T02:42:30Z,140000,72.0,176.0,1,left,MISS T. Hardaway Jr. 19' jumpshot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,19.49,Missed,,,,,,,,,,,,,,,,,,,
