actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2019-12-21T00:40:39.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-21T00:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-21T00:40:41.4Z,1,REGULAR,jumpball,recovered,[],202693,,,1610612765,0,0,2019-12-21T00:40:41Z,40000,,,0,,Jump Ball A. Drummond vs. D. Theis: Tip to M. Morris,"[202693, 203083, 1628464]",1610612765.0,DET,startperiod,M. Morris,202693.0,Morris,M. Morris,Drummond,203083.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2019-12-21T00:40:52.3Z,1,REGULAR,3pt,jumpshot,[],203503,89.48751642575559,5.300245098039213,1610612765,0,3,2019-12-21T00:44:30Z,70000,-223.0,46.0,1,right,T. Snell 23' 3PT  (3 PTS) (S. Mykhailiuk 1 AST),"[203503, 1629004]",1610612765.0,DET,,,,Snell,T. Snell,,,,,22.94,Made,3.0,S. Mykhailiuk,1629004.0,1.0,,,,,,,,,,,,,,,
32,PT11M46.00S,2019-12-21T00:41:05.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612738,0,3,2019-12-21T00:47:31Z,85000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,1626301.0,,,,,,,,,,,,,,
9,PT11M31.00S,2019-12-21T00:41:10.1Z,1,REGULAR,2pt,jumpshot,[],1628369,21.468462549277262,66.10753676470588,1610612738,2,3,2019-12-21T00:46:25Z,90000,-81.0,149.0,1,left,J. Tatum 17' jumpshot (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,17.45,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
11,PT11M15.00S,2019-12-21T00:41:22.7Z,1,REGULAR,3pt,jumpshot,[],202693,82.57227332457293,95.02910539215686,1610612765,2,6,2019-12-21T00:41:27Z,110000,225.0,111.0,1,right,M. Morris 25' 3PT  (3 PTS) (B. Brown 1 AST),"[202693, 1628971]",1610612765.0,DET,,,,Morris,M. Morris,,,,,25.36,Made,3.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,
13,PT10M58.00S,2019-12-21T00:41:40.9Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,2,6,2019-12-21T00:41:48Z,130000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 203083]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,1.0,Drummond,203083.0,,,,,,,,,,,
14,PT10M58.00S,2019-12-21T00:41:40.9Z,1,REGULAR,steal,,[],203083,,,1610612765,2,6,2019-12-21T00:41:48Z,140000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2019-12-21T00:41:47.5Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1628971,95.84428383705651,4.587928921568633,1610612765,2,6,2019-12-21T00:41:53Z,150000,-227.0,-13.0,1,right,MISS B. Brown 23' 3PT,[1628971],1610612765.0,DET,,,,Brown,B. Brown,,,,,22.72,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2019-12-21T00:41:48.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,6,2019-12-21T00:41:58Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
