actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2019-12-22T23:10:33.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-22T23:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2019-12-22T23:10:35.8Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2019-12-22T23:10:35Z,40000,,,0,,Jump Ball B. Biyombo vs. D. Theis: Tip to M. Bridges,"[1628970, 202687, 1628464]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Biyombo,202687.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2019-12-22T23:10:45.8Z,1,REGULAR,foul,personal,[],202689,,,1610612766,0,0,2019-12-22T23:11:06Z,70000,,,0,,K. Walker FOUL personal (1 PF),"[202689, 1628970]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,201639.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,,,,,
9,PT11M37.00S,2019-12-22T23:11:15.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1626179,8.623521681997373,60.36305147058824,1610612766,0,0,2019-12-22T23:11:22Z,90000,-52.0,29.0,1,left,MISS T. Rozier 6' layup Blocked,"[1626179, 1628464]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,,,,,,6.2,Missed,Theis,1628464.0,,,,,,,,,,,,
10,PT11M37.00S,2019-12-22T23:11:15.4Z,1,REGULAR,block,,[],1628464,,,1610612766,0,0,2019-12-22T23:11:18Z,100000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2019-12-22T23:11:16.4Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2019-12-22T23:11:22Z,110000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M25.00S,2019-12-22T23:11:27.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,94.56307490144546,55.70618872549019,1610612738,2,0,2019-12-22T23:11:31Z,120000,29.0,-1.0,1,right,K. Walker layup (2 PTS) (J. Brown 1 AST),"[202689, 1627759]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,,,,2.88,Made,,,,,,,2.0,J. Brown,1627759.0,1.0,,,,
14,PT11M12.00S,2019-12-22T23:11:40.4Z,1,REGULAR,3pt,jumpshot,[],1628984,31.61957950065703,76.29442401960785,1610612766,2,3,2019-12-22T23:11:45Z,140000,-131.0,245.0,1,left,D. Graham 28' 3PT  (3 PTS) (N. Batum 1 AST),"[1628984, 201587]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,28.27,Made,,,,,,,3.0,N. Batum,201587.0,1.0,,,,
16,PT10M57.00S,2019-12-22T23:11:55.2Z,1,REGULAR,3pt,jumpshot,[],202689,72.48685939553219,18.696384803921568,1610612738,5,3,2019-12-22T23:11:59Z,160000,-157.0,206.0,1,right,K. Walker 26' 3PT  (5 PTS) (D. Theis 1 AST),"[202689, 1628464]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,26.32,Made,,,,,,,5.0,D. Theis,1628464.0,1.0,,,,
18,PT10M44.00S,2019-12-22T23:12:08.8Z,1,REGULAR,3pt,jumpshot,[],1628984,28.728646517739815,17.22579656862745,1610612766,5,6,2019-12-22T23:12:15Z,180000,164.0,218.0,1,left,D. Graham 28' 3PT  (6 PTS) (B. Biyombo 1 AST),"[1628984, 202687]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,27.68,Made,,,,,,,6.0,B. Biyombo,202687.0,1.0,,,,
19,PT10M20.00S,2019-12-22T23:12:32.5Z,1,REGULAR,2pt,jumpshot,[],1627759,87.99277266754271,22.61795343137255,1610612738,7,6,2019-12-22T23:12:46Z,190000,-137.0,60.0,1,right,J. Brown 15' jumpshot (2 PTS) (D. Theis 2 AST),"[1627759, 1628464]",1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,,,,,,15.19,Made,,,,,,,2.0,D. Theis,1628464.0,2.0,,,,
22,PT10M01.00S,2019-12-22T23:12:52.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202687,6.652431011826544,54.72579656862745,1610612766,7,6,2019-12-22T23:12:58Z,210000,-24.0,10.0,1,left,MISS B. Biyombo layup,[202687],1610612766.0,CHA,driving,,,Biyombo,B. Biyombo,,,,,,,,,,2.82,Missed,,,,,,,,,,,,,,
24,PT10M00.00S,2019-12-22T23:12:53.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,6,2019-12-22T23:12:58Z,230000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
25,PT09M54.00S,2019-12-22T23:12:58.6Z,1,REGULAR,turnover,lostball,[],1627759,,,1610612738,7,6,2019-12-22T23:13:03Z,240000,,,0,,J. Brown TURNOVER lostball (1 TOV) Stolen,"[1627759, 1626179]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,
26,PT09M54.00S,2019-12-22T23:12:58.6Z,1,REGULAR,steal,,[],1626179,,,1610612766,7,6,2019-12-22T23:19:53Z,250000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2019-12-22T23:13:07.1Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1626179,24.52365308804205,86.83363970588235,1610612766,7,6,2019-12-22T23:13:12Z,260000,-184.0,178.0,1,left,MISS T. Rozier 26' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,26.0,Missed,,,,,,,,,,,,,,
28,PT09M45.00S,2019-12-22T23:13:08.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,6,2019-12-22T23:13:12Z,270000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
