actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2019-12-31T20:10:07.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2019-12-31T20:10:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2019-12-31T20:10:10.4Z,1,REGULAR,jumpball,recovered,[],1628984,,,1610612766,0,0,2019-12-31T20:10:10Z,40000,,,0,,Jump Ball B. Biyombo vs. D. Theis: Tip to D. Graham,"[1628984, 202687, 1628464]",1610612766.0,CHA,startperiod,D. Graham,1628984.0,Graham,D. Graham,Biyombo,202687.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2019-12-31T20:10:30.7Z,1,REGULAR,3pt,jumpshot,[],1629023,9.149145860709593,96.14736519607843,1610612766,3,0,2019-12-31T20:10:35Z,70000,-231.0,34.0,1,left,P. Washington 23' 3PT  (3 PTS) (D. Graham 1 AST),"[1629023, 1628984]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.4,Made,3.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2019-12-31T20:10:50.6Z,1,REGULAR,3pt,jumpshot,[],202330,65.65374507227332,39.77481617647059,1610612738,3,0,2019-12-31T20:10:55Z,90000,-51.0,270.0,1,right,MISS G. Hayward 28' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,28.06,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2019-12-31T20:10:54.6Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,3,0,2019-12-31T20:10:55Z,100000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M07.00S,2019-12-31T20:10:59.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1628970,9.280551905387648,57.666973039215684,1610612766,3,0,2019-12-31T20:12:17Z,110000,-38.0,35.0,1,left,MISS M. Bridges 6' layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,5.55,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2019-12-31T20:11:01.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2019-12-31T20:11:08Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M51.00S,2019-12-31T20:11:15.9Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628464,93.24901445466492,48.10814950980392,1610612738,3,2,2019-12-31T20:11:20Z,130000,-9.0,11.0,1,right,D. Theis dunk (2 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,alleyoop,,,Theis,D. Theis,,,,,1.9,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
15,PT10M35.00S,2019-12-31T20:11:31.7Z,1,REGULAR,3pt,jumpshot,[],1628984,21.50131406044678,7.912071078431373,1610612766,6,2,2019-12-31T20:11:35Z,150000,210.0,150.0,1,left,D. Graham 26' 3PT  (3 PTS) (T. Rozier 1 AST),"[1628984, 1626179]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,26.14,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
17,PT10M16.00S,2019-12-31T20:11:50.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.32917214191852,47.61795343137255,1610612738,6,4,2019-12-31T20:11:55Z,170000,-12.0,20.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,2.78,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M02.00S,2019-12-31T20:12:07.3Z,1,REGULAR,foul,offensive,[],1626179,,,1610612766,6,4,2019-12-31T20:12:19Z,180000,,,0,,T. Rozier FOUL offensive (1 PF),"[1626179, 202689]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,2148.0,1.0,0.0,Walker,202689.0,,,,,
20,PT10M02.00S,2019-12-31T20:12:07.3Z,1,REGULAR,turnover,offensivefoul,[],1626179,,,1610612766,6,4,2019-12-31T20:12:07Z,200000,,,0,,T. Rozier TURNOVER offensivefoul (1 TOV),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,2148.0,,,,,1.0,,,,
21,PT09M47.00S,2019-12-31T20:12:34.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover']",1628464,90.88370565045992,49.57873774509804,1610612738,6,4,2019-12-31T20:12:40Z,210000,-2.0,33.0,1,right,MISS D. Theis layup,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,3.88,Missed,,,,,,,,,,,,,,,,,,
22,PT09M45.00S,2019-12-31T20:12:36.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,6,4,2019-12-31T20:12:40Z,220000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M44.00S,2019-12-31T20:12:38.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",1626179,5.338370565045992,48.84344362745098,1610612766,8,4,2019-12-31T20:12:46Z,230000,6.0,-2.0,1,left,T. Rozier layup (2 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,0.66,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
