actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2020-01-05T01:11:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-05T01:11:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-01-05T01:11:32.9Z,1,REGULAR,jumpball,recovered,[],203107,,,1610612741,0,0,2020-01-05T01:11:32Z,40000,,,0,,Jump Ball W. Carter Jr. vs. D. Theis: Tip to T. Satoransky,"[203107, 1628976, 1628464]",1610612741.0,CHI,startperiod,T. Satoransky,203107.0,Satoransky,T. Satoransky,Carter Jr.,1628976.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2020-01-05T01:11:52.7Z,1,REGULAR,turnover,lostball,[],1628976,,,1610612741,0,0,2020-01-05T01:11:57Z,70000,,,0,,W. Carter Jr. TURNOVER lostball (1 TOV) Stolen,"[1628976, 1628369]",1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2020-01-05T01:11:52.7Z,1,REGULAR,steal,,[],1628369,,,1610612738,0,0,2020-01-05T01:11:54Z,80000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2020-01-05T01:11:57.8Z,1,REGULAR,turnover,badpass,[],203935,,,1610612738,0,0,2020-01-05T01:12:50Z,90000,,,0,,M. Smart TURNOVER badpass (1 TOV) Stolen,"[203935, 1628976]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,1.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2020-01-05T01:11:57.8Z,1,REGULAR,steal,,[],1628976,,,1610612741,0,0,2020-01-05T01:12:01Z,100000,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2020-01-05T01:12:03.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],203897,70.64717477003943,18.206188725490197,1610612741,3,0,2020-01-05T01:12:08Z,110000,-159.0,223.0,1,right,Z. LaVine 28' 3PT  (3 PTS) (K. Dunn 1 AST),"[203897, 1627739]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,27.87,Made,3.0,K. Dunn,1627739.0,1.0,,,,,,,,,,,
13,PT11M06.00S,2020-01-05T01:12:24.0Z,1,REGULAR,3pt,jumpshot,[],203935,8.623521681997373,95.16697303921569,1610612738,3,0,2020-01-05T01:12:30Z,130000,-226.0,29.0,1,left,MISS M. Smart 23' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,22.84,Missed,,,,,,,,,,,,,,,
14,PT11M01.00S,2020-01-05T01:12:29.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,3,0,2020-01-05T01:20:50Z,140000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,
15,PT10M55.00S,2020-01-05T01:12:34.9Z,1,REGULAR,2pt,jumpshot,['2ndchance'],1627759,16.113666228646515,21.637561274509803,1610612738,3,0,2020-01-05T01:12:41Z,150000,142.0,99.0,1,left,MISS J. Brown 18' jumpshot,[1627759],1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,,,,17.61,Missed,,,,,,,,,,,,,,,
16,PT10M51.00S,2020-01-05T01:12:38.9Z,1,REGULAR,rebound,defensive,[],203107,,,1610612741,3,0,2020-01-05T01:12:41Z,160000,,,0,,T. Satoransky REBOUND (Off:0 Def:1),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M44.00S,2020-01-05T01:12:45.6Z,1,REGULAR,3pt,jumpshot,[],1628374,67.88764783180025,54.48069852941176,1610612741,3,0,2020-01-05T01:17:09Z,170000,22.0,249.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,25.59,Missed,,,,,,,,,,,,,,,
18,PT10M42.00S,2020-01-05T01:12:47.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2020-01-05T01:17:09Z,180000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M34.00S,2020-01-05T01:12:56.3Z,1,REGULAR,3pt,jumpshot,[],203935,27.283180026281208,15.755208333333334,1610612738,3,0,2020-01-05T01:13:01Z,190000,171.0,204.0,1,left,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,27.06,Missed,,,,,,,,,,,,,,,
20,PT10M31.00S,2020-01-05T01:12:59.3Z,1,REGULAR,rebound,defensive,[],203107,,,1610612741,3,0,2020-01-05T01:13:01Z,200000,,,0,,T. Satoransky REBOUND (Off:0 Def:2),[203107],1610612741.0,CHI,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,
21,PT10M26.00S,2020-01-05T01:13:04.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203897,93.64323258869908,51.294424019607845,1610612741,5,0,2020-01-05T01:13:09Z,210000,6.0,7.0,1,right,Z. LaVine layup (5 PTS) (T. Satoransky 1 AST),"[203897, 203107]",1610612741.0,CHI,drivingreverse,,,LaVine,Z. LaVine,,,,,,,,1.44,Made,5.0,T. Satoransky,203107.0,1.0,,,,,,,,,,,
23,PT10M13.00S,2020-01-05T01:13:19.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,0,2020-01-05T01:13:19Z,230000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2020-01-05T01:13:43.1Z,1,REGULAR,turnover,lostball,[],202330,,,1610612738,5,0,2020-01-05T01:13:47Z,240000,,,0,,G. Hayward TURNOVER lostball (1 TOV) Stolen,"[202330, 1628374]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,1.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2020-01-05T01:13:43.1Z,1,REGULAR,steal,,[],1628374,,,1610612741,5,0,2020-01-05T01:13:45Z,250000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612741.0,CHI,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2020-01-05T01:13:55.8Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1627739,89.04402102496715,56.44148284313726,1610612741,5,0,2020-01-05T01:14:04Z,260000,32.0,50.0,1,right,MISS K. Dunn 6' jumpshot,[1627739],1610612741.0,CHI,floating,,,Dunn,K. Dunn,,,,,,,,6.46,Missed,,,,,,,,,,,,,,,
27,PT09M46.00S,2020-01-05T01:13:58.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,5,0,2020-01-05T01:14:04Z,270000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,
28,PT09M40.00S,2020-01-05T01:14:03.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628464,15.193823915900131,59.62775735294118,1610612738,5,0,2020-01-05T01:17:38Z,280000,-48.0,90.0,1,left,MISS D. Theis 11' jumpshot,[1628464],1610612738.0,BOS,floating,,,Theis,D. Theis,,,,,,,,10.72,Missed,,,,,,,,,,,,,,,
29,PT09M38.00S,2020-01-05T01:14:05.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612741,5,0,2020-01-05T01:14:08Z,290000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612741.0,CHI,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
30,PT09M29.00S,2020-01-05T01:14:15.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],203107,88.38699080157687,43.94148284313725,1610612741,5,0,2020-01-05T01:14:21Z,300000,-30.0,57.0,1,right,MISS T. Satoransky 7' jumpshot,[203107],1610612741.0,CHI,drivingfloating,,,Satoransky,T. Satoransky,,,,,,,,6.92,Missed,,,,,,,,,,,,,,,
31,PT09M29.00S,2020-01-05T01:14:15.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,5,0,2020-01-05T01:14:21Z,310000,,,0,,Team defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,
32,PT09M29.00S,2020-01-05T01:14:20.7Z,1,REGULAR,foul,personal,[],1628976,,,1610612738,5,0,2020-01-05T01:14:43Z,320000,,,0,,W. Carter Jr. FOUL personal (1 PF),"[1628976, 1628464]",1610612741.0,CHI,looseball,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Theis,1628464.0,,
34,PT09M19.00S,2020-01-05T01:14:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612738,5,0,2020-01-05T01:14:55Z,340000,,,0,,K. Dunn FOUL personal (1 PF) (Tatum 2freethrow),"[1627739, 1628369]",1610612741.0,CHI,shooting,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Tatum,1628369.0,,
