actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2020-01-07T00:11:07.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-07T00:11:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-01-07T00:11:09.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2020-01-07T00:11:09Z,40000,,,0,,Jump Ball D. Theis vs. I. Mahinmi: Tip to M. Smart,"[203935, 1628464, 101133]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Theis,1628464.0,Mahinmi,101133.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2020-01-07T00:11:27.9Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,92.06636005256242,41.24540441176471,1610612738,0,0,2020-01-07T00:11:32Z,70000,-44.0,22.0,1,right,MISS J. Brown layup Blocked,"[1627759, 101133]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,5.18,Missed,Mahinmi,101133.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2020-01-07T00:11:27.9Z,1,REGULAR,block,,[],101133,,,1610612738,0,0,2020-01-07T00:11:29Z,80000,,,0,,I. Mahinmi BLOCK (1 BLK),[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2020-01-07T00:11:31.9Z,1,REGULAR,rebound,defensive,[],101133,,,1610612764,0,0,2020-01-07T00:11:32Z,90000,,,0,,I. Mahinmi REBOUND (Off:0 Def:1),[101133],1610612764.0,WAS,,,,Mahinmi,I. Mahinmi,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M25.00S,2020-01-07T00:11:41.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],101133,7.30946123521682,48.59834558823529,1610612764,2,0,2020-01-07T00:11:45Z,100000,7.0,16.0,1,left,I. Mahinmi layup (2 PTS),[101133],1610612764.0,WAS,driving,,,Mahinmi,I. Mahinmi,,,,,2.28,Made,,,,,,,2.0,,,,,,,,,,,,
11,PT11M05.00S,2020-01-07T00:12:00.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,94.1688567674113,51.78462009803921,1610612738,2,0,2020-01-07T00:12:04Z,110000,9.0,2.0,1,right,MISS J. Brown layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.18,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2020-01-07T00:12:02.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,2,0,2020-01-07T00:12:02Z,120000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M03.00S,2020-01-07T00:12:02.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1627759,95.0,50.0,1610612738,2,2,2020-01-07T00:12:02Z,130000,0.0,-6.0,1,right,J. Brown layup (2 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
14,PT10M49.00S,2020-01-07T00:12:17.9Z,1,REGULAR,2pt,layup,[],202738,8.754927726675426,69.18658088235294,1610612764,2,2,2020-01-07T00:12:22Z,140000,-96.0,30.0,1,left,MISS I. Thomas 10' layup Blocked,"[202738, 203935]",1610612764.0,WAS,driving,,,Thomas,I. Thomas,,,,,10.22,Missed,Smart,203935.0,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2020-01-07T00:12:17.9Z,1,REGULAR,block,,[],203935,,,1610612764,2,2,2020-01-07T00:12:19Z,150000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2020-01-07T00:12:17.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,2,2,2020-01-07T00:12:22Z,160000,,,0,,Team offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,
17,PT10M49.00S,2020-01-07T00:12:21.5Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612764,2,2,2020-01-07T00:12:21Z,170000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2020-01-07T00:12:31.3Z,1,REGULAR,2pt,jumpshot,['2ndchance'],203895,8.360709592641262,78.74540441176471,1610612764,4,2,2020-01-07T00:12:36Z,180000,-144.0,26.0,1,left,J. McRae 15' jumpshot (2 PTS) (G. Payton II 1 AST),"[203895, 1627780]",1610612764.0,WAS,,,,McRae,J. McRae,,,,,14.71,Made,,,,,,,2.0,G. Payton II,1627780.0,1.0,,,,,,,,,
20,PT10M27.00S,2020-01-07T00:12:51.0Z,1,REGULAR,turnover,lostball,[],1628464,,,1610612738,4,2,2020-01-07T00:12:54Z,200000,,,0,,D. Theis TURNOVER lostball (1 TOV) Stolen,"[1628464, 203895]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,1.0,McRae,203895.0,,,,,,
21,PT10M27.00S,2020-01-07T00:12:51.0Z,1,REGULAR,steal,,[],203895,,,1610612764,4,2,2020-01-07T00:17:01Z,210000,,,0,,J. McRae STEAL (1 STL),[203895],1610612764.0,WAS,,,,McRae,J. McRae,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M07.00S,2020-01-07T00:13:11.2Z,1,REGULAR,3pt,jumpshot,['fromturnover'],202738,32.14520367936925,21.39246323529412,1610612764,7,2,2020-01-07T00:13:15Z,220000,143.0,250.0,1,left,I. Thomas 29' 3PT  (3 PTS) (G. Payton II 2 AST),"[202738, 1627780]",1610612764.0,WAS,,,,Thomas,I. Thomas,,,,,29.25,Made,,,,,,,3.0,G. Payton II,1627780.0,2.0,,,,,,,,,
24,PT09M44.00S,2020-01-07T00:13:33.9Z,1,REGULAR,3pt,jumpshot,[],1627759,72.35545335085413,15.510110294117647,1610612738,7,5,2020-01-07T00:13:38Z,240000,-172.0,207.0,1,right,J. Brown 27' 3PT  (5 PTS) (D. Theis 1 AST),"[1627759, 1628464]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,27.39,Made,,,,,,,5.0,D. Theis,1628464.0,1.0,,,,,,,,,
26,PT09M19.00S,2020-01-07T00:13:58.2Z,1,REGULAR,3pt,jumpshot,[],202738,16.245072273324574,4.4806985294117645,1610612764,7,5,2020-01-07T00:14:02Z,260000,228.0,100.0,1,left,MISS I. Thomas 25' 3PT,[202738],1610612764.0,WAS,,,,Thomas,I. Thomas,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2020-01-07T00:14:00.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,7,5,2020-01-07T00:14:02Z,270000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M13.00S,2020-01-07T00:14:05.5Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1627759,93.38042049934296,47.86305147058824,1610612738,7,5,2020-01-07T00:14:21Z,280000,-11.0,10.0,1,right,MISS J. Brown layup Blocked,"[1627759, 1627780]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,1.86,Missed,Payton II,1627780.0,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2020-01-07T00:14:05.5Z,1,REGULAR,block,,[],1627780,,,1610612738,7,5,2020-01-07T00:14:08Z,290000,,,0,,G. Payton II BLOCK (1 BLK),[1627780],1610612764.0,WAS,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M13.00S,2020-01-07T00:14:05.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,5,2020-01-07T00:14:21Z,300000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,
31,PT09M13.00S,2020-01-07T00:14:10.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,7,5,2020-01-07T00:14:10Z,310000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M05.00S,2020-01-07T00:14:31.4Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628369,92.32917214191852,38.05912990196079,1610612738,7,5,2020-01-07T00:14:35Z,320000,-60.0,20.0,1,right,MISS J. Tatum 6' layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,6.48,Missed,,,,,,,,,,,,,,,,,,,
