actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-01-09T00:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-09T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2020-01-09T00:10:30.2Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612759,0,0,2020-01-09T00:10:30Z,40000,,,0,,Jump Ball L. Aldridge vs. D. Theis: Tip to D. Murray,"[1627749, 200746, 1628464]",1610612759.0,SAS,startperiod,D. Murray,1627749.0,Murray,D. Murray,Aldridge,200746.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-01-09T00:10:43.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627749,93.77463863337714,54.48069852941176,1610612759,0,2,2020-01-09T00:10:53Z,70000,22.0,6.0,1,right,D. Murray layup (2 PTS),[1627749],1610612759.0,SAS,drivingfingerroll,,,Murray,D. Murray,,,,,2.52,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2020-01-09T00:11:00.4Z,1,REGULAR,3pt,jumpshot,[],1627759,30.305519053876477,73.35324754901961,1610612738,0,2,2020-01-09T00:11:05Z,80000,-117.0,232.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2020-01-09T00:11:01.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612759,0,2,2020-01-09T00:11:05Z,90000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612759.0,SAS,,,,DeRozan,D. DeRozan,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M07.00S,2020-01-09T00:11:20.8Z,1,REGULAR,2pt,jumpshot,[],200746,94.03745072273325,74.08854166666666,1610612759,0,4,2020-01-09T00:11:27Z,100000,120.0,4.0,1,right,L. Aldridge 12' jumpshot (2 PTS) (B. Forbes 1 AST),"[200746, 1627854]",1610612759.0,SAS,turnaround,,,Aldridge,L. Aldridge,,,,,12.07,Made,2.0,,,,,B. Forbes,1627854.0,1.0,,,,,,,,,,,
12,PT10M52.00S,2020-01-09T00:11:35.6Z,1,REGULAR,3pt,jumpshot,[],1627759,29.25427069645204,78.01011029411765,1610612738,0,4,2020-01-09T00:11:40Z,120000,-140.0,222.0,1,left,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2020-01-09T00:11:36.6Z,1,REGULAR,rebound,defensive,[],1627854,,,1610612759,0,4,2020-01-09T00:11:40Z,130000,,,0,,B. Forbes REBOUND (Off:0 Def:1),[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M41.00S,2020-01-09T00:11:46.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201942,86.28449408672799,64.03952205882352,1610612759,0,6,2020-01-09T00:11:53Z,140000,70.0,76.0,1,right,D. DeRozan 11' jumpshot (2 PTS) (L. Aldridge 1 AST),"[201942, 200746]",1610612759.0,SAS,pullup,,,DeRozan,D. DeRozan,,,,,10.79,Made,2.0,,,,,L. Aldridge,200746.0,1.0,,,,,,,,,,,
16,PT10M21.00S,2020-01-09T00:12:06.0Z,1,REGULAR,3pt,jumpshot,[],202689,27.151773981603156,16.490502450980394,1610612738,0,6,2020-01-09T00:15:09Z,160000,168.0,203.0,1,left,MISS K. Walker 27' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.72,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2020-01-09T00:12:07.0Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612759,0,6,2020-01-09T00:12:15Z,170000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612759.0,SAS,,,,Lyles,T. Lyles,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M10.00S,2020-01-09T00:12:16.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201942,95.87713534822602,53.50030637254902,1610612759,0,8,2020-01-09T00:12:21Z,180000,18.0,-14.0,1,right,D. DeRozan layup (4 PTS),[201942],1610612759.0,SAS,driving,,,DeRozan,D. DeRozan,,,,,1.93,Made,4.0,,,,,,,,,,,,,,,,,,
19,PT09M49.00S,2020-01-09T00:12:37.6Z,1,REGULAR,2pt,jumpshot,[],202330,14.536793692509855,23.84344362745098,1610612738,0,8,2020-01-09T00:12:43Z,190000,131.0,84.0,1,left,MISS G. Hayward 16' jumpshot,[202330],1610612738.0,BOS,stepback,,,Hayward,G. Hayward,,,,,15.85,Missed,,,,,,,,,,,,,,,,,,,
