actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-01-12T00:10:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-12T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-12T00:10:31.0Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612740,0,0,2020-01-12T00:10:31Z,40000,,,0,,Jump Ball J. Hayes vs. D. Theis: Tip to L. Ball,"[1628366, 1629637, 1628464]",1610612740.0,NOP,startperiod,L. Ball,1628366.0,Ball,L. Ball,Hayes,1629637.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-01-12T00:10:43.9Z,1,REGULAR,turnover,lostball,[],1627742,,,1610612740,0,0,2020-01-12T00:11:44Z,70000,,,0,,B. Ingram TURNOVER lostball (1 TOV) Stolen,"[1627742, 202689]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,1.0,Walker,202689.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2020-01-12T00:10:43.9Z,1,REGULAR,steal,,[],202689,,,1610612738,0,0,2020-01-12T00:11:17Z,80000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2020-01-12T00:10:47.8Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,94.43166885676742,46.14736519607843,1610612738,2,0,2020-01-12T00:11:00Z,90000,-19.0,0.0,1,right,J. Tatum layup (2 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,runningfingerroll,,,Tatum,J. Tatum,,,,,,,,2.0,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,
11,PT11M41.00S,2020-01-12T00:10:50.1Z,1,REGULAR,foul,personal,['1freethrow'],1627742,,,1610612738,2,0,2020-01-12T00:11:00Z,110000,,,0,,B. Ingram FOUL personal (1 PF) (Tatum 1freethrow),"[1627742, 1628369]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,
13,PT11M41.00S,2020-01-12T00:11:12.3Z,1,REGULAR,freethrow,1of1,['fromturnover'],1628369,,,1610612738,3,0,2020-01-12T00:11:12Z,130000,,,0,,J. Tatum freethrow 1of1 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
14,PT11M31.00S,2020-01-12T00:11:25.3Z,1,REGULAR,2pt,jumpshot,[],202734,11.251642575558476,67.22579656862744,1610612740,3,2,2020-01-12T00:11:33Z,140000,-86.0,53.0,1,left,E. Moore 10' jumpshot (2 PTS),[202734],1610612740.0,NOP,drivingfloating,,,Moore,E. Moore,,,,,,,,10.43,Made,2.0,,,,,,,,,,,,,,,
15,PT11M11.00S,2020-01-12T00:11:44.9Z,1,REGULAR,2pt,jumpshot,[],1627759,91.40932982917214,31.196384803921568,1610612738,3,2,2020-01-12T00:24:57Z,150000,-94.0,28.0,1,right,MISS J. Brown 10' jumpshot,[1627759],1610612738.0,BOS,turnaroundfadeaway,,,Brown,J. Brown,,,,,,,,9.99,Missed,,,,,,,,,,,,,,,,
16,PT11M07.00S,2020-01-12T00:11:48.9Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,3,2,2020-01-12T00:11:53Z,160000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,
17,PT11M06.00S,2020-01-12T00:11:49.5Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",1628464,93.24901445466492,50.55912990196079,1610612738,3,2,2020-01-12T00:12:02Z,170000,3.0,11.0,1,right,MISS D. Theis layup,[1628464],1610612738.0,BOS,putback,,,Theis,D. Theis,,,,,,,,1.67,Missed,,,,,,,,,,,,,,,,
18,PT11M05.00S,2020-01-12T00:11:50.5Z,1,REGULAR,rebound,defensive,[],202734,,,1610612740,3,2,2020-01-12T00:12:02Z,180000,,,0,,E. Moore REBOUND (Off:0 Def:1),[202734],1610612740.0,NOP,,,,Moore,E. Moore,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M58.00S,2020-01-12T00:11:57.5Z,1,REGULAR,3pt,jumpshot,[],1628366,33.98488830486202,26.784620098039213,1610612740,3,2,2020-01-12T00:12:09Z,190000,116.0,267.0,1,left,MISS L. Ball 30' 3PT,[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,29.62,Missed,,,,,,,,,,,,,,,,
20,PT10M55.00S,2020-01-12T00:12:00.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,2,2020-01-12T00:12:09Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,
21,PT10M47.00S,2020-01-12T00:12:08.9Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1627759,88.64980289093299,48.10814950980392,1610612738,3,2,2020-01-12T00:25:27Z,210000,-9.0,54.0,1,right,MISS J. Brown 6' hook,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,6.05,Missed,,,,,,,,,,,,,,,,
22,PT10M45.00S,2020-01-12T00:12:10.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,3,2,2020-01-12T00:12:22Z,220000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,
23,PT10M37.00S,2020-01-12T00:12:20.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627742,7.5722733245729295,55.21599264705882,1610612740,3,2,2020-01-12T00:25:37Z,230000,-26.0,19.0,1,left,MISS B. Ingram jumpshot,[1627742],1610612740.0,NOP,drivingfloatingbank,,,Ingram,B. Ingram,,,,,,,,3.56,Missed,,,,,,,,,,,,,,,,
24,PT10M36.00S,2020-01-12T00:12:21.4Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612740,3,2,2020-01-12T00:13:56Z,240000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,
