actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-01-16T00:10:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-16T00:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-16T00:10:25.7Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612738,0,0,2020-01-16T00:10:25Z,40000,,,0,,Jump Ball D. Theis vs. A. Drummond: Tip to G. Hayward,"[202330, 1628464, 203083]",1610612738.0,BOS,startperiod,G. Hayward,202330.0,Hayward,G. Hayward,Theis,1628464.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2020-01-16T00:10:36.8Z,1,REGULAR,3pt,jumpshot,[],202689,68.01905387647832,63.05912990196079,1610612738,3,0,2020-01-16T00:10:42Z,70000,65.0,248.0,1,right,K. Walker 26' 3PT  (3 PTS) (D. Theis 1 AST),"[202689, 1628464]",1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.19,Made,3.0,D. Theis,1628464.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2020-01-16T00:11:06.2Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612765,3,0,2020-01-16T00:11:06Z,90000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2020-01-16T00:11:25.4Z,1,REGULAR,2pt,jumpshot,[],1629635,19.185282522996058,80.23897058823529,1610612765,3,2,2020-01-16T00:11:38Z,110000,-151.0,128.0,1,left,S. Doumbouya 20' jumpshot (2 PTS) (D. Rose 1 AST),"[1629635, 201565]",1610612765.0,DET,,,,Doumbouya,S. Doumbouya,,,,,20.16,Made,2.0,D. Rose,201565.0,1.0,,,,,,,,,,,,,,,
13,PT11M00.00S,2020-01-16T00:11:42.0Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612738,3,2,2020-01-16T00:11:52Z,130000,,,0,,A. Drummond FOUL personal (1 PF) (Theis 2freethrow),"[203083, 1628464]",1610612765.0,DET,shooting,,,Drummond,A. Drummond,,,,,,,,,,,1188.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,
15,PT11M00.00S,2020-01-16T00:12:05.4Z,1,REGULAR,freethrow,1of2,[],1628464,,,1610612738,4,2,2020-01-16T00:12:05Z,150000,,,0,,D. Theis freethrow 1of2 (1 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2020-01-16T00:12:05.4Z,1,REGULAR,freethrow,2of2,[],1628464,,,1610612738,4,2,2020-01-16T00:12:25Z,160000,,,0,,MISS D. Theis freethrow 2of2,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M00.00S,2020-01-16T00:12:05.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,4,2,2020-01-16T00:12:25Z,170000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M44.00S,2020-01-16T00:12:36.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201565,7.35873850197109,59.895833333333336,1610612765,4,4,2020-01-16T00:12:53Z,180000,-49.0,17.0,1,left,D. Rose layup (2 PTS),[201565],1610612765.0,DET,drivingfingerroll,,,Rose,D. Rose,,,,,5.43,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2020-01-16T00:12:47.9Z,1,REGULAR,2pt,jumpshot,[],202689,78.13731931668858,69.67677696078431,1610612738,4,4,2020-01-16T00:13:09Z,190000,98.0,153.0,1,right,MISS K. Walker 19' jumpshot,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,18.66,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2020-01-16T00:12:49.9Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,4,4,2020-01-16T00:12:59Z,200000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,19.0,1.0,0.0,1.0,,,,,,
21,PT10M26.00S,2020-01-16T00:12:53.3Z,1,REGULAR,3pt,jumpshot,['2ndchance'],1627759,88.12417871222075,4.725796568627451,1610612738,4,4,2020-01-16T00:13:03Z,210000,-226.0,59.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M24.00S,2020-01-16T00:12:55.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612765,4,4,2020-01-16T00:13:16Z,220000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,
23,PT10M17.00S,2020-01-16T00:13:02.6Z,1,REGULAR,3pt,jumpshot,[],203503,23.340998685939553,87.32383578431373,1610612765,4,7,2020-01-16T00:13:07Z,230000,-187.0,167.0,1,left,T. Snell 25' 3PT  (3 PTS) (A. Drummond 1 AST),"[203503, 203083]",1610612765.0,DET,,,,Snell,T. Snell,,,,,25.4,Made,3.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
25,PT09M58.00S,2020-01-16T00:13:21.6Z,1,REGULAR,turnover,badpass,[],1627759,,,1610612738,4,7,2020-01-16T00:14:36Z,250000,,,0,,J. Brown TURNOVER badpass (1 TOV) Stolen,"[1627759, 203083]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,1.0,Drummond,203083.0,,,
26,PT09M58.00S,2020-01-16T00:13:21.6Z,1,REGULAR,steal,,[],203083,,,1610612765,4,7,2020-01-16T00:14:36Z,260000,,,0,,A. Drummond STEAL (1 STL),[203083],1610612765.0,DET,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
