actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
2,PT12M00.00S,2020-01-17T01:16:20.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-17T01:16:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-17T01:16:23.3Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2020-01-17T01:16:23Z,40000,,,0,,Jump Ball B. Lopez vs. D. Theis: Tip to G. Antetokounmpo,"[203507, 201572, 1628464]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2020-01-17T01:16:32.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202339,90.22667542706965,52.27481617647059,1610612749,0,0,2020-01-17T01:16:37Z,70000,11.0,39.0,1,right,MISS E. Bledsoe layup Blocked,"[202339, 202689]",1610612749.0,MIL,driving,,,Bledsoe,E. Bledsoe,,,,,4.63,Missed,Walker,202689.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2020-01-17T01:16:32.2Z,1,REGULAR,block,,[],202689,,,1610612749,0,0,2020-01-17T01:16:35Z,80000,,,0,,K. Walker BLOCK (1 BLK),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2020-01-17T01:16:36.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2020-01-17T01:16:37Z,90000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M28.00S,2020-01-17T01:16:51.2Z,1,REGULAR,2pt,jumpshot,[],1628369,6.389618922470433,86.83363970588235,1610612738,0,0,2020-01-17T01:16:58Z,100000,-184.0,8.0,1,left,MISS J. Tatum 18' jumpshot,[1628369],1610612738.0,BOS,stepback,,,Tatum,J. Tatum,,,,,18.47,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2020-01-17T01:16:54.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2020-01-17T01:16:58Z,110000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M22.00S,2020-01-17T01:16:59.8Z,1,REGULAR,foul,personal,[],202330,,,1610612749,0,0,2020-01-17T01:17:28Z,120000,,,0,,G. Hayward FOUL personal (1 PF),"[202330, 203507]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,202037.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
14,PT11M11.00S,2020-01-17T01:17:27.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203507,93.51182654402102,53.255208333333336,1610612749,2,0,2020-01-17T01:17:31Z,140000,16.0,8.0,1,right,G. Antetokounmpo layup (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,2.15,Made,,,,,,,,,,,,2.0,,,,,,,
15,PT10M59.00S,2020-01-17T01:17:39.8Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,2,0,2020-01-17T01:17:44Z,150000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 203114]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,1.0,Middleton,203114.0,,,,
16,PT10M59.00S,2020-01-17T01:17:39.8Z,1,REGULAR,steal,,[],203114,,,1610612749,2,0,2020-01-17T01:17:41Z,160000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2020-01-17T01:17:44.8Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,93.9060446780552,52.27481617647059,1610612749,4,0,2020-01-17T01:17:50Z,170000,11.0,5.0,1,right,G. Antetokounmpo dunk (4 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,1.54,Made,,,,,,,,,,,,4.0,,,,K. Middleton,203114.0,1.0,
19,PT10M34.00S,2020-01-17T01:18:04.6Z,1,REGULAR,2pt,jumpshot,[],1628464,20.45006570302234,36.58854166666667,1610612738,4,2,2020-01-17T01:18:08Z,190000,67.0,140.0,1,left,D. Theis 16' jumpshot (2 PTS) (J. Tatum 1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,16.0,Made,,,,,,,,,,,,2.0,,,,J. Tatum,1628369.0,1.0,
21,PT10M25.00S,2020-01-17T01:18:14.9Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612749,4,2,2020-01-17T01:18:25Z,210000,,,0,,K. Walker FOUL personal (1 PF) (Bledsoe 2freethrow),"[202689, 202339]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,,203591.0,1.0,0.0,Bledsoe,202339.0,,,,,,,,
23,PT10M25.00S,2020-01-17T01:18:35.7Z,1,REGULAR,freethrow,1of2,['fastbreak'],202339,,,1610612749,5,2,2020-01-17T01:18:35Z,230000,,,0,,E. Bledsoe freethrow 1of2 (1 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
24,PT10M25.00S,2020-01-17T01:18:47.8Z,1,REGULAR,freethrow,2of2,['fastbreak'],202339,,,1610612749,6,2,2020-01-17T01:18:47Z,240000,,,0,,E. Bledsoe freethrow 2of2 (2 PTS),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
25,PT10M08.00S,2020-01-17T01:19:06.5Z,1,REGULAR,turnover,badpass,[],202330,,,1610612738,6,2,2020-01-17T01:19:10Z,250000,,,0,,G. Hayward TURNOVER badpass (1 TOV) Stolen,"[202330, 202339]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,1.0,Bledsoe,202339.0,,,,
26,PT10M08.00S,2020-01-17T01:19:06.5Z,1,REGULAR,steal,,[],202339,,,1610612749,6,2,2020-01-17T01:19:08Z,260000,,,0,,E. Bledsoe STEAL (1 STL),[202339],1610612749.0,MIL,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M00.00S,2020-01-17T01:19:14.6Z,1,REGULAR,3pt,jumpshot,"['fastbreak', 'fromturnover']",201572,68.15045992115637,24.333639705882355,1610612749,9,2,2020-01-17T01:19:58Z,270000,-128.0,247.0,1,right,B. Lopez 28' 3PT  (3 PTS) (E. Bledsoe 1 AST),"[201572, 202339]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,28.31,Made,,,,,,,,,,,,3.0,,,,E. Bledsoe,202339.0,1.0,
