actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2020-01-19T00:10:28.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-01-19T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-01-19T00:10:31.2Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2020-01-19T00:10:31Z,40000,,,0,,Jump Ball D. Theis vs. D. Ayton: Tip to G. Williams,"[1629684, 1628464, 1629028]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Theis,1628464.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2020-01-19T00:10:36.2Z,1,REGULAR,3pt,jumpshot,[],203935,28.203022339027594,21.39246323529412,1610612738,3,0,2020-01-19T00:11:31Z,70000,143.0,213.0,1,left,M. Smart 26' 3PT  (3 PTS),[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,26.08,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2020-01-19T00:10:57.9Z,1,REGULAR,3pt,jumpshot,[],1626164,69.46452036793693,30.706188725490197,1610612756,3,0,2020-01-19T00:11:04Z,80000,-96.0,235.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2020-01-19T00:11:00.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,3,0,2020-01-19T00:11:04Z,90000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M16.00S,2020-01-19T00:11:11.3Z,1,REGULAR,3pt,jumpshot,[],1628369,13.87976346911958,94.67677696078431,1610612738,3,0,2020-01-19T00:11:17Z,100000,-223.0,78.0,1,left,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,23.85,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2020-01-19T00:11:13.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,3,0,2020-01-19T00:11:17Z,110000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2020-01-19T00:11:20.3Z,1,REGULAR,2pt,jumpshot,[],1626164,79.97700394218134,73.84344362745098,1610612756,3,2,2020-01-19T00:11:25Z,120000,119.0,136.0,1,right,D. Booker 18' jumpshot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,18.48,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2020-01-19T00:11:37.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202330,19.71090670170828,44.94485294117647,1610612738,3,2,2020-01-19T00:11:46Z,130000,25.0,133.0,1,left,MISS G. Hayward 14' jumpshot,[202330],1610612738.0,BOS,turnaroundfadeaway,,,Hayward,G. Hayward,,,,,14.06,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2020-01-19T00:11:39.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,3,2,2020-01-19T00:11:46Z,140000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M39.00S,2020-01-19T00:11:48.4Z,1,REGULAR,turnover,badpass,[],1626164,,,1610612756,3,2,2020-01-19T00:11:54Z,150000,,,0,,D. Booker TURNOVER badpass (1 TOV) Stolen,"[1626164, 1628464]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,1.0,Theis,1628464.0,,,,,,,,,,,
16,PT10M39.00S,2020-01-19T00:11:48.4Z,1,REGULAR,steal,,[],1628464,,,1610612738,3,2,2020-01-19T00:11:50Z,160000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2020-01-19T00:11:55.1Z,1,REGULAR,turnover,outofbounds,[],1628464,,,1610612738,3,2,2020-01-19T00:12:03Z,170000,,,0,,D. Theis TURNOVER outofbounds (1 TOV),[1628464],1610612738.0,BOS,badpass,,,Theis,D. Theis,,,,,,,,,,,,1.0,,,1627529.0,,,,,,,,,,
18,PT10M23.00S,2020-01-19T00:12:14.8Z,1,REGULAR,2pt,jumpshot,['fromturnover'],1626164,75.90341655716163,33.892463235294116,1610612756,3,4,2020-01-19T00:12:20Z,180000,-81.0,174.0,1,right,D. Booker 20' jumpshot (4 PTS) (D. Saric 1 AST),"[1626164, 203967]",1610612756.0,PHX,turnaround,,,Booker,D. Booker,,,,,19.67,Made,4.0,,,,,,,,,D. Saric,203967.0,1.0,,,,,,,
20,PT10M08.00S,2020-01-19T00:12:29.4Z,1,REGULAR,3pt,jumpshot,[],203935,26.62614980289093,80.95128676470588,1610612738,3,4,2020-01-19T00:12:42Z,200000,-155.0,198.0,1,left,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2020-01-19T00:12:31.4Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,4,2020-01-19T00:12:42Z,210000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M53.00S,2020-01-19T00:12:45.1Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629028,93.64323258869908,50.80422794117647,1610612756,3,6,2020-01-19T00:12:49Z,220000,4.0,7.0,1,right,D. Ayton layup (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,driving,,,Ayton,D. Ayton,,,,,1.34,Made,2.0,,,,,,,,,D. Booker,1626164.0,1.0,,,,,,,
24,PT09M37.00S,2020-01-19T00:13:02.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202330,8.229303547963205,42.715992647058826,1610612738,3,6,2020-01-19T00:13:12Z,240000,36.0,25.0,1,left,MISS G. Hayward layup Blocked,"[202330, 1628969]",1610612738.0,BOS,driving,,,Hayward,G. Hayward,,,,,4.74,Missed,,,,,,,,,,,,,Bridges,1628969.0,,,,,
25,PT09M37.00S,2020-01-19T00:13:02.7Z,1,REGULAR,block,,[],1628969,,,1610612738,3,6,2020-01-19T00:13:05Z,250000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2020-01-19T00:13:03.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,6,2020-01-19T00:13:12Z,260000,,,0,,Team offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2020-01-19T00:13:07.9Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,3,6,2020-01-19T00:13:07Z,270000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
