actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerName,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
2,PT12M00.00S,2020-02-12T02:40:40.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-02-12T02:40:40Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-02-12T02:40:44.1Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-02-12T02:40:44Z,40000,,Jump Ball: Theis vs. Harden tip to Walker,"[202689, 1628464, 201935]",1610612738.0,BOS,startperiod,Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Harden,201935.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2020-02-12T02:40:57.4Z,1,REGULAR,2pt,hook,['pointsinthepaint'],1628464,87.72996057818659,48.84344362745098,1610612738,0,2,2020-02-12T02:41:05Z,70000,right,[BOS] Theis hook: Made (2 PTS) assist: Tatum (1 AST),"[1628464, 1628369]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,6.85,: Made,2.0,Tatum,1628369.0,1.0,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2020-02-12T02:41:09.7Z,1,REGULAR,3pt,jumpshot,[],201935,32.933639947437584,57.666973039215684,1610612745,0,2,2020-02-12T02:41:15Z,90000,left,[HOU] Harden stepback 3pt jumpshot: Missed,[201935],1610612745.0,HOU,stepback,,,Harden,J. Harden,,,,,26.54,: Missed,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2020-02-12T02:41:12.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,0,2,2020-02-12T02:41:15Z,100000,,[BOS] Team defensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2020-02-12T02:41:15.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,0,2,2020-02-12T02:41:15Z,110000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2020-02-12T02:41:31.9Z,1,REGULAR,turnover,badpass,[],1628369,,,1610612738,0,2,2020-02-12T02:43:27Z,120000,,[BOS] Tatum badpass turnover (1 TO) Steal: Tucker (1 STL),"[1628369, 200782]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,1.0,Tucker,200782.0,1.0,,,,,,,,,,,,,,
14,PT11M09.00S,2020-02-12T02:41:35.3Z,1,REGULAR,turnover,lostball,[],201935,,,1610612745,0,2,2020-02-12T02:41:39Z,140000,,[HOU] Harden lostball turnover (1 TO) Steal: Walker (1 STL),"[201935, 202689]",1610612745.0,HOU,,,,Harden,J. Harden,,,,,,,,,,,,1.0,Walker,202689.0,1.0,,,,,,,,,,,,,,
16,PT11M05.00S,2020-02-12T02:41:40.0Z,1,REGULAR,3pt,jumpshot,"['fromturnover', 'fastbreak']",202689,68.01905387647832,66.00030637254902,1610612738,0,5,2020-02-12T02:41:46Z,160000,right,[BOS] Walker 3pt shot: Made (3 PTS) assist: Tatum (2 AST),"[202689, 1628369]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,26.59,: Made,3.0,Tatum,1628369.0,2.0,,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2020-02-12T02:41:52.1Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],201935,6.389618922470433,49.57873774509804,1610612745,2,5,2020-02-12T02:41:57Z,180000,left,[HOU] Harden dunk: Made (2 PTS),[201935],1610612745.0,HOU,driving,,,Harden,J. Harden,,,,,1.33,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2020-02-12T02:42:10.3Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,94.69448094612353,50.06893382352941,1610612738,2,7,2020-02-12T02:42:16Z,190000,right,[BOS] Brown layup: Made (2 PTS),[1627759],1610612738.0,BOS,drivingreverse,,,Brown,J. Brown,,,,,0.29,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2020-02-12T02:42:18.8Z,1,REGULAR,3pt,jumpshot,[],1627863,27.54599211563732,81.68658088235294,1610612745,5,7,2020-02-12T02:42:23Z,200000,left,[HOU] House Jr. 3pt shot: Made (3 PTS) assist: Westbrook (1 AST),"[1627863, 201566]",1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,26.46,: Made,3.0,Westbrook,201566.0,1.0,,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2020-02-12T02:42:35.5Z,1,REGULAR,3pt,jumpshot,[],202689,69.59592641261499,22.37285539215686,1610612738,5,7,2020-02-12T02:42:39Z,220000,right,[BOS] Walker 3pt jumpshot: Missed,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,27.59,: Missed,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2020-02-12T02:42:37.5Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612745,5,7,2020-02-12T02:42:39Z,230000,,[HOU] House Jr. defensive rebound (Off:0 Def:1),[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,,,,,,,22.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M59.00S,2020-02-12T02:42:45.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],201566,6.915243101182654,48.10814950980392,1610612745,5,7,2020-02-12T02:42:50Z,240000,left,[HOU] Westbrook layup: Missed,[201566],1610612745.0,HOU,driving,,,Westbrook,R. Westbrook,,,,,2.04,: Missed,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2020-02-12T02:42:47.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,5,7,2020-02-12T02:42:50Z,250000,,[BOS] Brown defensive rebound (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,24.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M50.00S,2020-02-12T02:42:54.3Z,1,REGULAR,3pt,jumpshot,[],1628369,73.53810775295663,82.17677696078431,1610612738,5,7,2020-02-12T02:43:02Z,260000,right,[BOS] Tatum 3pt jumpshot: Missed,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.8,: Missed,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2020-02-12T02:42:56.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612745,5,7,2020-02-12T02:43:02Z,270000,,[HOU] Harden defensive rebound (Off:0 Def:1),[201935],1610612745.0,HOU,,,,Harden,J. Harden,,,,,,,,,,,26.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M32.00S,2020-02-12T02:43:12.0Z,1,REGULAR,2pt,jumpshot,[],201566,14.799605781865965,81.19638480392157,1610612745,5,7,2020-02-12T02:43:22Z,280000,left,[HOU] Westbrook jumpshot: Missed,[201566],1610612745.0,HOU,pullupbank,,,Westbrook,R. Westbrook,,,,,18.12,: Missed,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2020-02-12T02:43:14.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,5,7,2020-02-12T02:43:22Z,290000,,[BOS] Team defensive rebound,[],1610612738.0,BOS,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2020-02-12T02:43:17.1Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,5,7,2020-02-12T02:43:17Z,300000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2020-02-12T02:43:31.7Z,1,REGULAR,3pt,jumpshot,[],1627759,91.67214191852825,95.65716911764706,1610612738,5,10,2020-02-12T02:43:36Z,310000,right,[BOS] Brown 3pt shot: Made (5 PTS) assist: Walker (1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.04,: Made,5.0,Walker,202689.0,1.0,,,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2020-02-12T02:43:53.5Z,1,REGULAR,3pt,jumpshot,[],1627863,27.020367936925098,82.91207107843137,1610612745,5,10,2020-02-12T02:44:02Z,330000,left,[HOU] House Jr. 3pt jumpshot: Missed,[1627863],1610612745.0,HOU,,,,House Jr.,D. House Jr.,,,,,26.45,: Missed,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2020-02-12T02:43:55.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,5,10,2020-02-12T02:44:02Z,340000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,33.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
35,PT08M50.00S,2020-02-12T02:44:03.3Z,1,REGULAR,foul,personal,[],200782,,,1610612738,5,10,2020-02-12T02:44:14Z,350000,,[HOU] Tucker foul personal (1 PF),"[200782, 202330]",1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Hayward,202330.0,,,,,,
37,PT08M36.00S,2020-02-12T02:44:30.2Z,1,REGULAR,3pt,jumpshot,[],1627759,94.69448094612353,98.10814950980392,1610612738,5,10,2020-02-12T02:44:38Z,370000,right,[BOS] Brown 3pt jumpshot: Missed,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,24.05,: Missed,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M32.00S,2020-02-12T02:44:34.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612745,5,10,2020-02-12T02:44:38Z,380000,,[HOU] Tucker defensive rebound (Off:0 Def:1),[200782],1610612745.0,HOU,,,,Tucker,P. Tucker,,,,,,,,,,,37.0,,,,,1.0,1.0,0.0,,,,,,,,,,,
39,PT08M25.00S,2020-02-12T02:44:43.6Z,1,REGULAR,foul,personal,[],202330,,,1610612745,5,10,2020-02-12T02:44:50Z,390000,,[BOS] Hayward foul personal (1 PF),"[202330, 201566]",1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Westbrook,201566.0,,,,,,
41,PT08M19.00S,2020-02-12T02:45:03.6Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612745,5,10,2020-02-12T02:45:09Z,410000,,[BOS] Theis foul personal (1 PF) (Westbrook 2freethrow),"[1628464, 201566]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Westbrook,201566.0,,,,,,
43,PT08M19.00S,2020-02-12T02:45:22.0Z,1,REGULAR,freethrow,1of2,[],201566,,,1610612745,6,10,2020-02-12T02:45:22Z,430000,,[HOU] Westbrook freethrow 1of2: Made (1 PTS),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,: Made,1.0,,,,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2020-02-12T02:45:37.4Z,1,REGULAR,freethrow,2of2,[],201566,,,1610612745,7,10,2020-02-12T02:45:37Z,440000,,[HOU] Westbrook freethrow 2of2: Made (2 PTS),[201566],1610612745.0,HOU,,,,Westbrook,R. Westbrook,,,,,,: Made,2.0,,,,,,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2020-02-12T02:45:51.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202689,93.64323258869908,50.55912990196079,1610612738,7,12,2020-02-12T02:45:56Z,450000,right,[BOS] Walker layup: Made (5 PTS) assist: Hayward (1 AST),"[202689, 202330]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,1.31,: Made,5.0,Hayward,202330.0,1.0,,,,,,,,,,,,,,,,,,,
47,PT07M51.00S,2020-02-12T02:46:08.9Z,1,REGULAR,3pt,jumpshot,[],203496,29.77989487516426,24.088541666666664,1610612745,10,12,2020-02-12T02:46:13Z,470000,left,[HOU] Covington 3pt shot: Made (3 PTS) assist: Harden (1 AST),"[203496, 201935]",1610612745.0,HOU,,,,Covington,R. Covington,,,,,26.65,: Made,3.0,Harden,201935.0,1.0,,,,,,,,,,,,,,,,,,,
