actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,blockPlayerName,blockPersonId,blockTotal,value
2,PT12M00.00S,2020-03-05T00:10:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-03-05T00:10:23Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-03-05T00:10:26.6Z,1,REGULAR,jumpball,recovered,[],201567,,,1610612739,0,0,2020-03-05T00:10:26Z,40000,,Jump Ball: Nance Jr. vs. Theis tip to Love,"[201567, 1626204, 1628464]",1610612739.0,CLE,startperiod,Love,201567.0,Love,K. Love,Nance Jr.,1626204.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2020-03-05T00:10:42.9Z,1,REGULAR,3pt,jumpshot,[],1626224,5.601182654402102,94.921875,1610612739,0,0,2020-03-05T00:10:51Z,70000,left,[CLE] Osman 3pt jumpshot: Missed,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,22.47,: Missed,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2020-03-05T00:10:44.9Z,1,REGULAR,rebound,offensive,[],1626204,,,1610612739,0,0,2020-03-05T00:10:51Z,80000,,[CLE] Nance Jr. offensive rebound (Off:1 Def:0),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2020-03-05T00:10:49.2Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",1626204,5.0,50.0,1610612739,2,0,2020-03-05T00:10:49Z,90000,left,[CLE] Nance Jr. dunk: Made (2 PTS),[1626204],1610612739.0,CLE,tip,,,Nance Jr.,L. Nance Jr.,,,,,0.0,: Made,,,,,2.0,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2020-03-05T00:10:52.0Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,2,0,2020-03-05T00:10:52Z,100000,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2020-03-05T00:11:13.7Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1629684,86.41590013140605,61.83363970588235,1610612738,2,2,2020-03-05T02:28:55Z,110000,right,[BOS] Williams jumpshot: Made (2 PTS),[1629684],1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,10.01,: Made,,,,,2.0,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2020-03-05T00:11:28.0Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629012,8.09789750328515,46.63756127450981,1610612739,2,2,2020-03-05T00:11:32Z,120000,left,[CLE] Sexton layup: Missed,[1629012],1610612739.0,CLE,driving,,,Sexton,C. Sexton,,,,,3.36,: Missed,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2020-03-05T00:11:31.0Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,2,2020-03-05T00:11:32Z,130000,,[BOS] Theis defensive rebound (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2020-03-05T00:11:35.2Z,1,REGULAR,3pt,jumpshot,['fastbreak'],203935,93.77463863337714,3.2552083333333335,1610612738,2,2,2020-03-05T00:11:40Z,140000,right,[BOS] Smart 3pt jumpshot: Missed,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.4,: Missed,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2020-03-05T00:11:37.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,2,2,2020-03-05T00:11:40Z,150000,,[CLE] Love defensive rebound (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2020-03-05T00:11:52.7Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1629012,6.915243101182654,45.90226715686275,1610612739,4,2,2020-03-05T00:11:58Z,160000,left,[CLE] Sexton dunk: Made (2 PTS) assist: Love (1 AST),"[1629012, 201567]",1610612739.0,CLE,cutting,,,Sexton,C. Sexton,,,,,2.73,: Made,,,,,2.0,Love,201567.0,1.0,,,,,,,,,,,,,,,
18,PT10M15.00S,2020-03-05T00:12:13.6Z,1,REGULAR,2pt,jumpshot,[],1628464,92.9862023653088,66.73560049019608,1610612738,4,2,2020-03-05T00:12:17Z,180000,right,[BOS] Theis jumpshot: Missed,[1628464],1610612738.0,BOS,fadeaway,,,Theis,D. Theis,,,,,8.58,: Missed,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M13.00S,2020-03-05T00:12:15.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,4,2,2020-03-05T00:12:17Z,190000,,[CLE] Love defensive rebound (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2020-03-05T00:12:20.4Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612739,4,2,2020-03-05T00:12:33Z,200000,,[BOS] Smart foul personal (1 PF) (Osman 2freethrow),"[203935, 1626224]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,1162.0,1.0,0.0,Osman,1626224.0,,,,,,,,,,
