actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,blockTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,subsInPlayerName,subsInPersonId,value
2,PT12M00.00S,2020-03-08T22:10:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-03-08T22:10:23Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2020-03-08T22:10:27.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612760,0,0,2020-03-08T22:10:27Z,40000,,Jump Ball: Adams vs. Theis tip to Paul,"[101108, 203500, 1628464]",1610612760.0,OKC,startperiod,Paul,101108.0,Paul,C. Paul,Adams,203500.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2020-03-08T22:10:40.2Z,1,REGULAR,3pt,jumpshot,[],201568,25.312089356110377,87.8140318627451,1610612760,0,0,2020-03-08T22:10:52Z,70000,left,[OKC] Gallinari 3pt jumpshot: Missed,[201568],1610612760.0,OKC,,,,Gallinari,D. Gallinari,,,,,26.87,: Missed,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2020-03-08T22:10:43.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,0,0,2020-03-08T22:10:52Z,80000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2020-03-08T22:10:58.4Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,82.7365308804205,41.24540441176471,1610612738,0,0,2020-03-08T22:11:09Z,90000,right,[BOS] Tatum jumpshot: Missed,[1628369],1610612738.0,BOS,turnaroundfadeaway,,,Tatum,J. Tatum,,,,,12.33,: Missed,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2020-03-08T22:11:00.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612760,0,0,2020-03-08T22:19:33Z,100000,,[OKC] Adams defensive rebound (Off:0 Def:1),[203500],1610612760.0,OKC,,,,Adams,S. Adams,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2020-03-08T22:11:16.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1629652,9.280551905387648,51.78462009803921,1610612760,0,0,2020-03-08T22:11:32Z,110000,left,[OKC] Dort layup: Missed Block: Hayward (1 BLK),"[1629652, 202330]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,4.12,: Missed,,,,,Hayward,202330.0,1.0,,,,,,,,,,,,,,,,
12,PT11M02.00S,2020-03-08T22:11:19.6Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,0,0,2020-03-08T22:11:32Z,120000,,[BOS] Hayward defensive rebound (Off:0 Def:2),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2020-03-08T22:11:35.9Z,1,REGULAR,3pt,jumpshot,[],202330,71.96123521681997,74.82383578431373,1610612738,0,0,2020-03-08T22:11:43Z,130000,right,[BOS] Hayward 3pt jumpshot: Missed,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,24.96,: Missed,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2020-03-08T22:11:37.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612760,0,0,2020-03-08T22:11:43Z,140000,,[OKC] Paul defensive rebound (Off:0 Def:1),[101108],1610612760.0,OKC,,,,Paul,C. Paul,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
