actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerName,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,stealTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,blockTotal,subsInPlayerName,subsInPersonId,value
2,PT12M00.00S,2020-03-10T23:10:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-03-10T23:10:30Z,20000,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-03-10T23:10:32.9Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-03-10T23:10:32Z,40000,,Jump Ball: Theis vs. Turner tip to Walker,"[202689, 1628464, 1626167]",1610612738.0,BOS,startperiod,Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-03-10T23:10:46.0Z,1,REGULAR,2pt,jumpshot,[],202689,71.82982917214193,49.08854166666667,1610612738,0,0,2020-03-10T23:10:50Z,70000,right,[BOS] Walker jumpshot: Missed,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,21.78,: Missed,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2020-03-10T23:10:49.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2020-03-10T23:10:50Z,80000,,[IND] Turner defensive rebound (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2020-03-10T23:11:04.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1627734,9.674770039421814,41.73560049019608,1610612754,2,0,2020-03-10T23:11:08Z,90000,left,[IND] Sabonis jumpshot: Made (2 PTS),[1627734],1610612754.0,IND,pullup,,,Sabonis,D. Sabonis,,,,,6.03,: Made,,,,,2.0,,,,,,,,,,,,,,,,,,
10,PT11M08.00S,2020-03-10T23:11:22.1Z,1,REGULAR,3pt,jumpshot,[],203935,92.85479632063075,97.37285539215686,1610612738,2,3,2020-03-10T23:11:27Z,100000,right,[BOS] Smart 3pt shot: Made (3 PTS) assist: Tatum (1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.78,: Made,,,,,3.0,Tatum,1628369.0,1.0,,,,,,,,,,,,,,,
12,PT10M52.00S,2020-03-10T23:11:37.4Z,1,REGULAR,3pt,jumpshot,[],1628988,33.98488830486202,57.176776960784316,1610612754,2,3,2020-03-10T23:11:41Z,120000,left,[IND] Holiday 3pt jumpshot: Missed,[1628988],1610612754.0,IND,,,,Holiday,A. Holiday,,,,,27.49,: Missed,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2020-03-10T23:11:40.4Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,2,3,2020-03-10T23:11:44Z,130000,,[BOS] Hayward defensive rebound (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2020-03-10T23:11:50.8Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1628369,93.11760840998686,59.3826593137255,1610612738,2,5,2020-03-10T23:11:54Z,140000,right,[BOS] Tatum jumpshot: Made (2 PTS),[1628369],1610612738.0,BOS,drivingfloatingbank,,,Tatum,J. Tatum,,,,,5.01,: Made,,,,,2.0,,,,,,,,,,,,,,,,,,
15,PT10M24.00S,2020-03-10T23:12:05.3Z,1,REGULAR,turnover,badpass,[],203506,,,1610612754,2,5,2020-03-10T23:12:08Z,150000,,[IND] Oladipo badpass turnover (1 TO) Steal: Hayward (1 STL),"[203506, 202330]",1610612754.0,IND,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,1.0,Hayward,202330.0,1.0,,,,,,,,,,,
