actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-07-31T22:46:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-07-31T22:46:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2020-07-31T22:46:33.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2020-07-31T22:46:33Z,40000,,,0,,Jump Ball B. Lopez vs. D. Theis: Tip to G. Antetokounmpo,"[203507, 201572, 1628464]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2020-07-31T22:46:48.2Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],201572,19.136005256241788,38.794424019607845,1610612749,0,0,2020-07-31T22:46:56Z,70000,56.0,127.0,1,left,MISS B. Lopez 14' jumpshot,[201572],1610612749.0,MIL,floating,,,Lopez,B. Lopez,,,,,14.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2020-07-31T22:46:49.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2020-07-31T22:46:59Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2020-07-31T22:47:06.3Z,1,REGULAR,2pt,jumpshot,[],202330,78.53153745072274,33.40226715686275,1610612738,0,0,2020-07-31T22:47:10Z,90000,-83.0,149.0,1,right,MISS G. Hayward 18' jumpshot,[202330],1610612738.0,BOS,pullup,,,Hayward,G. Hayward,,,,,17.56,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2020-07-31T22:47:08.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612749,0,0,2020-07-31T22:47:13Z,100000,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M02.00S,2020-07-31T22:47:26.6Z,1,REGULAR,3pt,jumpshot,[],202083,21.107095926412615,5.951286764705882,1610612749,3,0,2020-07-31T22:47:30Z,110000,220.0,146.0,1,left,W. Matthews 27' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[202083, 203507]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,26.72,Made,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,
13,PT10M46.00S,2020-07-31T22:47:43.0Z,1,REGULAR,3pt,jumpshot,[],1627759,84.97043363994744,3.010110294117647,1610612738,3,0,2020-07-31T22:47:47Z,130000,-235.0,89.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2020-07-31T22:47:44.0Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,3,0,2020-07-31T22:47:58Z,140000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M40.00S,2020-07-31T22:47:49.2Z,1,REGULAR,2pt,layup,"['pointsinthepaint', 'fastbreak']",203507,7.835085413929041,49.333639705882355,1610612749,5,0,2020-07-31T22:47:57Z,150000,3.0,21.0,1,left,G. Antetokounmpo layup (2 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,runningfingerroll,,,Antetokounmpo,G. Antetokounmpo,,,,,2.68,Made,,,,,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,
