actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,stealPlayerName,stealPersonId,stealTotal,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,blockPersonId,blockPlayerName,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId
2,PT12M00.00S,2020-08-04T22:45:50Z,1,REGULAR,period,start,,[],0,,,0,0,0,0001-01-01T00:00:00,20000,0,-80,,Start of 1st Period (6:46 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-04T22:45:53Z,1,REGULAR,jumpball,recovered,startperiod,[],203109,,,1610612748,0,0,0001-01-01T00:00:00,40000,0,-80,,Jump Ball Adebayo vs. Theis: Tip to Crowder,"[203109, 1628389, 1628464]",0,,0,Crowder,J. Crowder,Theis,1628464.0,Adebayo,1628389.0,Crowder,203109.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2020-08-04T22:46:05Z,1,REGULAR,2pt,jumpshot,pullup,[],1629134,92.46,15.76,1610612748,0,0,2020-08-04T22:46:12,70000,-171,18,right,MISS Nunn 17' Pullup Jump Shot,[1629134],1610612748,MIA,1,Nunn,K. Nunn,,,,,,,0.0,Missed,17.19,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-08-04T22:46:08Z,1,REGULAR,rebound,defensive,,[],1628464,,,1610612738,0,0,2020-08-04T22:46:12,80000,-171,18,right,Theis REBOUND (Off:0 Def:1),[1628464],1610612738,BOS,0,Theis,D. Theis,,,,,,,,,,1.0,1.0,0.0,7.0,,,,,,,,,,,,,,
9,PT11M24.00S,2020-08-04T22:46:26Z,1,REGULAR,3pt,jumpshot,,[],202689,13.22,94.19,1610612738,0,0,2020-08-04T22:46:30,90000,-221,72,left,MISS Walker 3PT Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,23.24,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2020-08-04T22:46:29Z,1,REGULAR,rebound,defensive,,[],1628389,,,1610612748,0,0,2020-08-04T22:46:30,100000,-221,72,left,Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748,MIA,0,Adebayo,B. Adebayo,,,,,,,,,,1.0,1.0,0.0,9.0,,,,,,,,,,,,,,
11,PT10M59.00S,2020-08-04T22:46:50Z,1,REGULAR,2pt,jumpshot,,[],1628389,88.52,74.09,1610612748,0,0,2020-08-04T22:46:54,110000,120,55,right,MISS Adebayo 13' Jump Shot,[1628389],1610612748,MIA,1,Adebayo,B. Adebayo,,,,,,,0.0,Missed,13.2,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2020-08-04T22:46:51Z,1,REGULAR,rebound,defensive,,[],202689,,,1610612738,0,0,2020-08-04T22:46:54,120000,120,55,right,Walker REBOUND (Off:0 Def:1),[202689],1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,1.0,1.0,0.0,11.0,,,,,,,,,,,,,,
13,PT10M51.00S,2020-08-04T22:47:19Z,1,REGULAR,turnover,badpass,,[],202689,,,1610612738,0,0,2020-08-04T22:47:30,130000,87,-1,left,Walker Bad Pass Turnover (P1.T1) Stolen,"[202689, 203482]",1610612738,BOS,0,Walker,K. Walker,,,,,,,,,,,,,,Olynyk,203482.0,1.0,1.0,,,,,,,,,,
14,PT10M51.00S,2020-08-04T22:47:19Z,1,REGULAR,steal,,,[],203482,,,1610612748,0,0,0001-01-01T00:00:00,140000,87,-1,left, STEAL ,[203482],1610612748,MIA,0,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2020-08-04T22:47:46Z,1,REGULAR,3pt,jumpshot,,['fromturnover'],203482,85.5,3.26,1610612748,0,0,2020-08-04T22:47:52,150000,-234,84,right,MISS Olynyk 25' 3PT Jump Shot,[203482],1610612748,MIA,1,Olynyk,K. Olynyk,,,,,,,0.0,Missed,24.86,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2020-08-04T22:47:51Z,1,REGULAR,rebound,defensive,,[],1627759,,,1610612738,0,0,2020-08-04T22:47:52,160000,-234,84,right,Brown REBOUND (Off:0 Def:1),[1627759],1610612738,BOS,0,Brown,J. Brown,,,,,,,,,,1.0,1.0,0.0,15.0,,,,,,,,,,,,,,
17,PT10M20.00S,2020-08-04T22:48:06Z,1,REGULAR,2pt,hook,,['pointsinthepaint'],1627759,13.35,58.4,1610612738,0,0,2020-08-04T22:48:10,170000,-42,73,left,MISS Brown 8' Hook Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,8.42,,,,,,,,,,,,,,,,,,
