actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-08-08T01:10:59.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-08T01:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2020-08-08T01:11:01.3Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2020-08-08T01:11:01Z,40000,,,0,,Jump Ball D. Theis vs. M. Gasol: Tip to K. Walker,"[202689, 1628464, 201188]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Gasol,201188.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2020-08-08T01:11:13.9Z,1,REGULAR,3pt,jumpshot,[],1627759,74.32654402102497,14.529718137254902,1610612738,0,0,2020-08-08T01:11:19Z,70000,-177.0,189.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-08-08T01:11:15.9Z,1,REGULAR,rebound,defensive,[],200768,,,1610612761,0,0,2020-08-08T01:11:19Z,80000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2020-08-08T01:11:30.7Z,1,REGULAR,foul,personal,[],1627759,,,1610612761,0,0,2020-08-08T01:11:37Z,90000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 200768]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1627962.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,
11,PT11M16.00S,2020-08-08T01:12:01.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628384,6.652431011826544,37.32383578431372,1610612761,0,0,2020-08-08T01:21:35Z,110000,63.0,10.0,1,left,MISS O. Anunoby 7' layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,6.53,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2020-08-08T01:12:03.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2020-08-08T01:12:06Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M59.00S,2020-08-08T01:12:19.7Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628464,93.38042049934296,52.029718137254896,1610612738,0,2,2020-08-08T01:12:25Z,130000,10.0,10.0,1,right,D. Theis layup (2 PTS) (G. Hayward 1 AST),"[1628464, 202330]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,1.82,Made,,,,,,,,,,2.0,G. Hayward,202330.0,1.0,,,,,,
15,PT10M59.00S,2020-08-08T01:12:21.7Z,1,REGULAR,foul,personal,['1freethrow'],1627783,,,1610612738,0,2,2020-08-08T01:12:39Z,150000,,,0,,P. Siakam FOUL personal (1 PF) (Theis 1freethrow),"[1627783, 1628464]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,,,,,,,1627962.0,1.0,0.0,Theis,1628464.0,,,,,,,,,,
17,PT10M59.00S,2020-08-08T01:12:40.6Z,1,REGULAR,freethrow,1of1,[],1628464,,,1610612738,0,3,2020-08-08T01:12:40Z,170000,,,0,,D. Theis freethrow 1of1 (3 PTS),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
