actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2020-08-09T21:10:43.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-09T21:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-09T21:10:46.5Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2020-08-09T21:10:46Z,40000,,,0,,Jump Ball D. Theis vs. N. Vucevic: Tip to J. Brown,"[1627759, 1628464, 202696]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2020-08-09T21:10:51.9Z,1,REGULAR,3pt,jumpshot,[],202689,30.436925098554536,27.519914215686274,1610612738,0,0,2020-08-09T21:10:57Z,70000,112.0,234.0,1,left,MISS K. Walker 26' 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2020-08-09T21:10:54.9Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,0,0,2020-08-09T21:10:57Z,80000,,,0,,J. Ennis III REBOUND (Off:0 Def:1),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M42.00S,2020-08-09T21:11:00.6Z,1,REGULAR,3pt,jumpshot,[],202696,68.67608409986859,36.34344362745098,1610612753,0,3,2020-08-09T21:11:06Z,90000,-68.0,242.0,1,right,N. Vucevic 26' 3PT  (3 PTS) (D. Augustin 1 AST),"[202696, 201571]",1610612753.0,ORL,,,,Vucevic,N. Vucevic,,,,,25.67,Made,,,,,3.0,D. Augustin,201571.0,1.0,,,,,,,,,,
11,PT11M17.00S,2020-08-09T21:11:26.2Z,1,REGULAR,3pt,jumpshot,[],1627759,33.590670170827856,27.519914215686274,1610612738,0,3,2020-08-09T21:11:32Z,110000,112.0,263.0,1,left,MISS J. Brown 29' 3PT,[1627759],1610612738.0,BOS,stepback,,,Brown,J. Brown,,,,,29.14,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2020-08-09T21:11:30.2Z,1,REGULAR,rebound,defensive,[],203516,,,1610612753,0,3,2020-08-09T21:11:32Z,120000,,,0,,J. Ennis III REBOUND (Off:0 Def:2),[203516],1610612753.0,ORL,,,,Ennis III,J. Ennis III,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M06.00S,2020-08-09T21:11:36.8Z,1,REGULAR,2pt,layup,['pointsinthepaint'],202696,95.0886990801577,50.06893382352941,1610612753,0,3,2020-08-09T21:11:48Z,130000,0.0,-6.0,1,right,MISS N. Vucevic layup Blocked,"[202696, 1628464]",1610612753.0,ORL,cutting,,,Vucevic,N. Vucevic,,,,,0.09,Missed,,,,,,,,,Theis,1628464.0,,,,,,,,
14,PT11M06.00S,2020-08-09T21:11:36.8Z,1,REGULAR,block,,[],1628464,,,1610612753,0,3,2020-08-09T21:11:38Z,140000,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2020-08-09T21:11:40.8Z,1,REGULAR,rebound,defensive,[],202330,,,1610612738,0,3,2020-08-09T21:17:20Z,150000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M44.00S,2020-08-09T21:11:58.3Z,1,REGULAR,3pt,jumpshot,[],202330,30.56833114323259,26.049325980392158,1610612738,0,3,2020-08-09T21:12:03Z,160000,120.0,235.0,1,left,MISS G. Hayward 27' 3PT,[202330],1610612738.0,BOS,,,,Hayward,G. Hayward,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2020-08-09T21:12:01.3Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,0,3,2020-08-09T21:12:03Z,170000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M36.00S,2020-08-09T21:12:06.6Z,1,REGULAR,2pt,layup,"['pointsinthepaint', '2ndchance']",202330,6.389618922470433,49.08854166666667,1610612738,2,3,2020-08-09T21:12:11Z,180000,5.0,8.0,1,left,G. Hayward layup (2 PTS) (J. Tatum 1 AST),"[202330, 1628369]",1610612738.0,BOS,reverse,,,Hayward,G. Hayward,,,,,1.39,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
20,PT10M15.00S,2020-08-09T21:12:28.5Z,1,REGULAR,3pt,jumpshot,[],1628411,69.85873850197109,67.71599264705883,1610612753,2,3,2020-08-09T21:12:32Z,200000,89.0,231.0,1,right,MISS W. Iwundu 25' 3PT,[1628411],1610612753.0,ORL,,,,Iwundu,W. Iwundu,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2020-08-09T21:12:33.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,3,2020-08-09T21:12:32Z,210000,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M03.00S,2020-08-09T21:12:45.8Z,1,REGULAR,foul,personal,[],201571,,,1610612738,2,3,2020-08-09T21:13:01Z,220000,,,0,,D. Augustin FOUL personal (1 PF),"[201571, 1627759]",1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Brown,1627759.0,,,
24,PT09M52.00S,2020-08-09T21:13:12.0Z,1,REGULAR,turnover,badpass,[],202689,,,1610612738,2,3,2020-08-09T21:13:17Z,240000,,,0,,K. Walker TURNOVER badpass (1 TOV) Stolen,"[202689, 201571]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,1.0,Augustin,201571.0
25,PT09M52.00S,2020-08-09T21:13:12.0Z,1,REGULAR,steal,,[],201571,,,1610612753,2,3,2020-08-09T21:13:13Z,250000,,,0,,D. Augustin STEAL (1 STL),[201571],1610612753.0,ORL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,
