actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,turnoverTotal,assistPlayerName,assistPersonId,assistTotal,stealPlayerName,stealPersonId,stealTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,blockPersonId,blockPlayerName
2,PT12M00.00S,2020-08-17T22:42:26Z,1,REGULAR,period,start,,[],0,,,0,0,0,0001-01-01T00:00:00,20000,0,-80,,Start of 1st Period (6:43 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-17T22:42:29Z,1,REGULAR,jumpball,recovered,startperiod,[],202699,,,1610612755,0,0,0001-01-01T00:00:00,40000,0,-80,,Jump Ball Theis vs. Embiid: Tip to Harris,"[202699, 1628464, 203954]",0,,0,Harris,T. Harris,Embiid,203954.0,Theis,1628464.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2020-08-17T22:42:47Z,1,REGULAR,2pt,hook,driving,['pointsinthepaint'],203954,84.44,48.84,1610612755,0,2,2020-08-17T22:42:52,70000,-6,94,right,Embiid 9' Driving Hook Shot (2 PTS),[203954],1610612755,PHI,1,Embiid,J. Embiid,,,,,,,2.0,Made,9.42,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2020-08-17T22:42:58Z,1,REGULAR,3pt,jumpshot,,[],1628464,31.49,65.76,1610612738,0,2,2020-08-17T22:43:05,80000,-79,244,left,MISS Theis 26' 3PT Jump Shot,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,25.65,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2020-08-17T22:42:59Z,1,REGULAR,rebound,defensive,,['team'],0,,,1610612755,0,2,2020-08-17T22:43:05,90000,-79,244,left,76ers Rebound,[],1610612755,PHI,0,,,,,,,,,,,,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,
10,PT11M26.00S,2020-08-17T22:43:03Z,1,REGULAR,stoppage,outofbounds,,[],0,,,1610612755,0,2,0001-01-01T00:00:00,100000,0,-80,,,[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2020-08-17T22:43:19Z,1,REGULAR,turnover,outofbounds,badpass,[],201143,,,1610612755,0,2,2020-08-17T22:43:30,110000,25,168,right,Horford Out of Bounds - Bad Pass Turnover Turnover (P1.T1),[201143],1610612755,PHI,0,Horford,A. Horford,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
12,PT11M00.00S,2020-08-17T22:43:37Z,1,REGULAR,3pt,jumpshot,pullup,['fromturnover'],202689,33.98,52.27,1610612738,0,2,2020-08-17T22:43:48,120000,-11,267,left,MISS Walker 27' 3PT Pullup Jump Shot,[202689],1610612738,BOS,1,Walker,K. Walker,,,,,,,0.0,Missed,26.72,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2020-08-17T22:43:41Z,1,REGULAR,rebound,defensive,,[],202699,,,1610612755,0,2,2020-08-17T22:43:48,130000,-11,267,left,Harris REBOUND (Off:0 Def:1),[202699],1610612755,PHI,0,Harris,T. Harris,,,,,,,,,,1.0,1.0,0.0,12.0,,,,,,,,,,,,,,
14,PT10M49.00S,2020-08-17T22:43:48Z,1,REGULAR,2pt,jumpshot,turnaround,['pointsinthepaint'],202699,84.44,42.72,1610612755,0,4,2020-08-17T22:43:54,140000,-36,94,right,Harris 10' Turnaround Jump Shot (2 PTS),[202699],1610612755,PHI,1,Harris,T. Harris,,,,,,,2.0,Made,10.07,,,,,,,,,,,,,,,,,,
