actionNumber,clock,timeActual,period,periodType,actionType,subType,descriptor,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,side,description,personIdsFilter,teamId,teamTricode,isFieldGoal,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,jumpBallRecoveredName,jumpBallRecoveredPersonId,pointsTotal,shotResult,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotActionNumber,assistPlayerName,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,foulPersonalTotal,foulTechnicalTotal,officialId,turnoverTotal,blockPersonId,blockPlayerName,stealPlayerName,stealPersonId,stealTotal
2,PT12M00.00S,2020-08-19T22:45:29Z,1,REGULAR,period,start,,[],0,,,0,0,0,0001-01-01T00:00:00,20000,0,-80,,Start of 1st Period (6:46 PM EST),[],0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-19T22:45:32Z,1,REGULAR,jumpball,recovered,startperiod,[],1627759,,,1610612738,0,0,0001-01-01T00:00:00,40000,0,-80,,Jump Ball Theis vs. Embiid: Tip to Brown,"[1627759, 1628464, 203954]",0,,0,Brown,J. Brown,Embiid,203954.0,Theis,1628464.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2020-08-19T22:45:41Z,1,REGULAR,2pt,jumpshot,floating,[],1628464,15.33,33.65,1610612738,0,0,2020-08-19T22:45:49,70000,82,92,left,MISS Theis 12' Floating Jump Shot,[1628464],1610612738,BOS,1,Theis,D. Theis,,,,,,,0.0,Missed,12.32,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2020-08-19T22:45:43Z,1,REGULAR,rebound,offensive,,[],1628369,,,1610612738,0,0,2020-08-19T22:45:53,80000,82,92,left,Tatum REBOUND (Off:1 Def:0),[1628369],1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,1.0,0.0,1.0,7.0,,,,,,,,,,,,,,
9,PT11M41.00S,2020-08-19T22:45:47Z,1,REGULAR,3pt,jumpshot,,['2ndchance'],1628369,6.13,1.54,1610612738,3,0,2020-08-19T22:45:51,90000,242,5,left,Tatum 24' 3PT Jump Shot (3 PTS),[1628369],1610612738,BOS,1,Tatum,J. Tatum,,,,,,,3.0,Made,24.21,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2020-08-19T22:46:02Z,1,REGULAR,2pt,jumpshot,,[],1626196,75.51,24.09,1610612755,3,2,2020-08-19T22:46:05,100000,-130,178,right,Richardson 22' Jump Shot (2 PTS) (Embiid 1 AST),"[1626196, 203954]",1610612755,PHI,1,Richardson,J. Richardson,,,,,,,2.0,Made,22.04,,,,,Embiid,203954.0,1.0,,,,,,,,,,,
12,PT11M08.00S,2020-08-19T22:46:20Z,1,REGULAR,3pt,jumpshot,,[],1627759,10.2,94.68,1610612738,3,2,2020-08-19T22:46:23,120000,-223,43,left,MISS Brown 3PT Jump Shot,[1627759],1610612738,BOS,1,Brown,J. Brown,,,,,,,0.0,Missed,22.71,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2020-08-19T22:46:21Z,1,REGULAR,rebound,defensive,,[],203954,,,1610612755,3,2,2020-08-19T22:46:26,130000,-223,43,left,Embiid REBOUND (Off:0 Def:1),[203954],1610612755,PHI,0,Embiid,J. Embiid,,,,,,,,,,1.0,1.0,0.0,12.0,,,,,,,,,,,,,,
15,PT10M55.00S,2020-08-19T22:46:40Z,1,REGULAR,2pt,layup,reverse,['pointsinthepaint'],203954,90.88,51.78,1610612755,3,4,2020-08-19T22:46:53,150000,9,33,right,Embiid 3' Reverse Layup (2 PTS) (Milton 1 AST),"[203954, 1629003]",1610612755,PHI,1,Embiid,J. Embiid,,,,,,,2.0,Made,3.42,,,,,Milton,1629003.0,1.0,,,,,,,,,,,
17,PT10M55.00S,2020-08-19T22:46:42Z,1,REGULAR,foul,personal,shooting,['1freethrow'],1628369,,,1610612755,3,4,2020-08-19T22:46:46,170000,9,33,right,Tatum S.FOUL (P1.T1),"[1628369, 203954]",1610612738,BOS,0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,Embiid,203954.0,1.0,0.0,101284.0,,,,,,
