actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-08-23T17:10:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-23T17:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-23T17:10:23.6Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612755,0,0,2020-08-23T17:10:23Z,40000,,,0,,Jump Ball J. Embiid vs. D. Theis: Tip to A. Horford,"[201143, 203954, 1628464]",1610612755.0,PHI,startperiod,A. Horford,201143.0,Horford,A. Horford,Embiid,203954.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2020-08-23T17:10:35.3Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612755,0,0,2020-08-23T17:10:42Z,70000,,,0,,K. Walker FOUL personal (1 PF) (Milton 2freethrow),"[202689, 1629003]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,2715.0,1.0,0.0,Milton,1629003.0,,,,,,,,,,,,,,,,
9,PT11M49.00S,2020-08-23T17:10:54.4Z,1,REGULAR,freethrow,1of2,[],1629003,,,1610612755,1,0,2020-08-23T17:10:54Z,90000,,,0,,S. Milton freethrow 1of2 (1 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M49.00S,2020-08-23T17:11:08.8Z,1,REGULAR,freethrow,2of2,[],1629003,,,1610612755,2,0,2020-08-23T17:11:08Z,100000,,,0,,S. Milton freethrow 2of2 (2 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M34.00S,2020-08-23T17:11:25.1Z,1,REGULAR,turnover,badpass,[],1628464,,,1610612738,2,0,2020-08-23T17:11:35Z,110000,,,0,,D. Theis TURNOVER badpass (1 TOV) Stolen,"[1628464, 203954]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,1.0,Embiid,203954.0,,,,,,,,,,,
12,PT11M34.00S,2020-08-23T17:11:25.1Z,1,REGULAR,steal,,[],203954,,,1610612755,2,0,2020-08-23T17:11:27Z,120000,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M30.00S,2020-08-23T17:11:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612755,2,0,2020-08-23T17:11:40Z,130000,,,0,,D. Theis FOUL personal (1 PF) (Richardson 2freethrow),"[1628464, 1626196]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,201640.0,1.0,0.0,Richardson,1626196.0,,,,,,,,,,,,,,,,
15,PT11M30.00S,2020-08-23T17:11:57.3Z,1,REGULAR,freethrow,1of2,"['fromturnover', 'fastbreak']",1626196,,,1610612755,3,0,2020-08-23T17:11:57Z,150000,,,0,,J. Richardson freethrow 1of2 (1 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
16,PT11M30.00S,2020-08-23T17:11:58.0Z,1,REGULAR,substitution,out,[],1628464,,,1610612755,3,0,2020-08-23T17:12:02Z,160000,,,0,,substitution out Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M30.00S,2020-08-23T17:11:58.0Z,1,REGULAR,substitution,in,[],202683,,,1610612755,3,0,2020-08-23T17:12:02Z,170000,,,0,,substitution in Kanter,[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M30.00S,2020-08-23T17:12:15.9Z,1,REGULAR,freethrow,2of2,"['fastbreak', 'fromturnover']",1626196,,,1610612755,4,0,2020-08-23T17:12:15Z,180000,,,0,,J. Richardson freethrow 2of2 (2 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
19,PT11M14.00S,2020-08-23T17:12:33.8Z,1,REGULAR,3pt,jumpshot,[],1627759,82.34231274638634,92.9610906862745,1610612738,4,0,2020-08-23T17:12:39Z,190000,215.0,113.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,24.56,,,,,,,,,,
20,PT11M10.00S,2020-08-23T17:12:37.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,0,2020-08-23T17:12:40Z,200000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT11M01.00S,2020-08-23T17:12:45.6Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],202699,8.492115637319317,39.5297181372549,1610612755,4,0,2020-08-23T17:13:29Z,210000,52.0,27.0,1,left,MISS T. Harris 6' jumpshot,[202699],1610612755.0,PHI,drivingbank,,,Harris,T. Harris,,,,,,,,,,Missed,,,,,6.18,,,,,,,,,,
22,PT10M59.00S,2020-08-23T17:12:47.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,4,0,2020-08-23T17:13:29Z,220000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT10M55.00S,2020-08-23T17:12:52.3Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627759,71.43561103810775,75.80422794117648,1610612738,4,3,2020-08-23T17:13:20Z,230000,129.0,216.0,1,right,J. Brown 26' 3PT  (3 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,Made,3.0,,,,25.63,,,,,K. Walker,202689.0,1.0,,,
25,PT10M38.00S,2020-08-23T17:13:09.0Z,1,REGULAR,2pt,jumpshot,[],203954,21.50131406044678,68.45128676470588,1610612755,6,3,2020-08-23T17:13:13Z,250000,-92.0,150.0,1,left,J. Embiid 18' jumpshot (2 PTS) (A. Horford 1 AST),"[203954, 201143]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,2.0,,,,18.05,,,,,A. Horford,201143.0,1.0,,,
27,PT10M23.00S,2020-08-23T17:13:24.6Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],202683,91.93495400788436,46.392463235294116,1610612738,6,5,2020-08-23T17:13:31Z,270000,-18.0,23.0,1,right,E. Kanter dunk (2 PTS) (J. Tatum 1 AST),"[202683, 1628369]",1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,Made,2.0,,,,3.4,,,,,J. Tatum,1628369.0,1.0,,,
29,PT10M07.00S,2020-08-23T17:13:43.8Z,1,REGULAR,foul,personal,[],1627759,,,1610612755,6,5,2020-08-23T17:13:58Z,290000,,,0,,J. Brown FOUL personal (1 PF),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,201640.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,,
31,PT09M59.00S,2020-08-23T17:14:11.6Z,1,REGULAR,3pt,jumpshot,[],1629003,6.1268068331143235,95.65716911764706,1610612755,9,5,2020-08-23T17:14:16Z,310000,-228.0,5.0,1,left,S. Milton 23' 3PT  (5 PTS) (J. Richardson 1 AST),"[1629003, 1626196]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,Made,5.0,,,,22.85,,,,,J. Richardson,1626196.0,1.0,,,
33,PT09M38.00S,2020-08-23T17:14:31.6Z,1,REGULAR,3pt,jumpshot,[],1627759,73.80091984231275,83.64736519607843,1610612738,9,8,2020-08-23T17:14:37Z,330000,168.0,194.0,1,right,J. Brown 26' 3PT  (6 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,Made,6.0,,,,26.08,,,,,,,,,,
34,PT09M11.00S,2020-08-23T17:14:58.5Z,1,REGULAR,2pt,jumpshot,[],203954,17.69053876478318,22.127757352941178,1610612755,9,8,2020-08-23T17:15:02Z,340000,139.0,114.0,1,left,MISS J. Embiid 18' jumpshot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,18.35,,,,,,,,,,
35,PT09M09.00S,2020-08-23T17:15:00.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,8,2020-08-23T17:15:02Z,350000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,
36,PT09M04.00S,2020-08-23T17:15:06.0Z,1,REGULAR,3pt,jumpshot,['fastbreak'],1627759,71.82982917214193,21.88265931372549,1610612738,9,8,2020-08-23T17:15:43Z,360000,-141.0,212.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,runningpullup,,,Brown,J. Brown,,,,,,,,,,Missed,,,,,25.92,,,,,,,,,,
37,PT09M01.00S,2020-08-23T17:15:11.1Z,1,REGULAR,rebound,offensive,[],202683,,,1610612738,9,8,2020-08-23T17:15:11Z,370000,,,0,,E. Kanter REBOUND (Off:1 Def:0),[202683],1610612738.0,BOS,,,,Kanter,E. Kanter,,,,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,
38,PT09M01.00S,2020-08-23T17:15:15.1Z,1,REGULAR,foul,personal,[],1626196,,,1610612738,9,8,2020-08-23T17:15:20Z,380000,,,0,,J. Richardson FOUL personal (1 PF),"[1626196, 203935]",1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,203592.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,,
40,PT08M55.00S,2020-08-23T17:15:35.3Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,9,8,2020-08-23T17:15:45Z,400000,,,0,,J. Embiid FOUL personal (1 PF) (Walker 2freethrow),"[203954, 202689]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,201640.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,,
42,PT08M55.00S,2020-08-23T17:16:05.8Z,1,REGULAR,freethrow,1of2,['2ndchance'],202689,,,1610612738,9,9,2020-08-23T17:16:05Z,420000,,,0,,K. Walker freethrow 1of2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
43,PT08M55.00S,2020-08-23T17:16:23.4Z,1,REGULAR,freethrow,2of2,['2ndchance'],202689,,,1610612738,9,10,2020-08-23T17:16:23Z,430000,,,0,,K. Walker freethrow 2of2 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
44,PT08M45.00S,2020-08-23T17:16:38.0Z,1,REGULAR,2pt,jumpshot,[],1629003,13.748357424441524,69.18658088235294,1610612755,9,10,2020-08-23T17:16:45Z,440000,-96.0,77.0,1,left,MISS S. Milton 13' jumpshot,[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,,,,,,Missed,,,,,12.63,,,,,,,,,,
45,PT08M43.00S,2020-08-23T17:16:40.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,9,10,2020-08-23T17:16:40Z,450000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT08M40.00S,2020-08-23T17:16:42.9Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,76.82325886990802,88.54932598039215,1610612738,9,13,2020-08-23T17:16:51Z,460000,193.0,165.0,1,right,K. Walker 26' 3PT  (5 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,runningpullup,,,Walker,K. Walker,,,,,,,,,,Made,5.0,,,,25.76,,,,,M. Smart,203935.0,1.0,,,
48,PT08M21.00S,2020-08-23T17:17:01.7Z,1,REGULAR,3pt,jumpshot,[],202699,31.35676741130092,69.18658088235294,1610612755,12,13,2020-08-23T17:17:06Z,480000,-96.0,242.0,1,left,T. Harris 27' 3PT  (3 PTS),[202699],1610612755.0,PHI,stepback,,,Harris,T. Harris,,,,,,,,,,Made,3.0,,,,26.57,,,,,,,,,,
49,PT08M02.00S,2020-08-23T17:17:21.4Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1628369,92.46057818659659,43.451286764705884,1610612738,12,15,2020-08-23T17:17:25Z,490000,-33.0,18.0,1,right,J. Tatum layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,Made,2.0,,,,4.05,,,,,,,,,,
52,PT07M53.00S,2020-08-23T17:17:36.0Z,1,REGULAR,2pt,jumpshot,['pointsinthepaint'],1626196,10.068988173455978,53.50030637254902,1610612755,12,15,2020-08-23T17:23:19Z,520000,-18.0,42.0,1,left,MISS J. Richardson jumpshot Blocked,"[1626196, 1628369]",1610612755.0,PHI,pullup,,,Richardson,J. Richardson,,,,,,,,,,Missed,,,,,5.07,,,,,,,,Tatum,1628369.0,
53,PT07M53.00S,2020-08-23T17:17:36.0Z,1,REGULAR,block,,[],1628369,,,1610612755,12,15,2020-08-23T17:17:38Z,530000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M50.00S,2020-08-23T17:17:39.0Z,1,REGULAR,rebound,offensive,[],201143,,,1610612755,12,15,2020-08-23T17:22:39Z,540000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,
55,PT07M48.00S,2020-08-23T17:17:42.4Z,1,REGULAR,2pt,dunk,"['pointsinthepaint', '2ndchance']",201143,8.492115637319317,47.86305147058824,1610612755,14,15,2020-08-23T17:22:59Z,550000,11.0,27.0,1,left,A. Horford dunk (2 PTS),[201143],1610612755.0,PHI,putback,,,Horford,A. Horford,,,,,,,,,,Made,2.0,,,,3.45,,,,,,,,,,
56,PT07M32.00S,2020-08-23T17:17:52.0Z,1,REGULAR,2pt,jumpshot,[],202689,77.4802890932983,20.657169117647058,1610612738,14,17,2020-08-23T17:18:14Z,560000,-147.0,159.0,1,right,K. Walker 22' jumpshot (7 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,7.0,,,,22.06,,,,,,,,,,
57,PT07M10.00S,2020-08-23T17:18:16.4Z,1,REGULAR,foul,personal,['2freethrow'],202683,,,1610612755,14,17,2020-08-23T17:18:23Z,570000,,,0,,E. Kanter FOUL personal (1 PF) (Embiid 2freethrow),"[202683, 203954]",1610612738.0,BOS,shooting,,,Kanter,E. Kanter,,,,,201640.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,,
59,PT07M10.00S,2020-08-23T17:18:49.7Z,1,REGULAR,freethrow,1of2,[],203954,,,1610612755,15,17,2020-08-23T17:19:08Z,590000,,,0,,J. Embiid freethrow 1of2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
60,PT07M10.00S,2020-08-23T17:18:49.7Z,1,REGULAR,freethrow,2of2,[],203954,,,1610612755,15,17,2020-08-23T17:19:08Z,600000,,,0,,MISS J. Embiid freethrow 2of2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Missed,,,,,,,,,,,,,,,
61,PT07M08.00S,2020-08-23T17:18:51.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,17,2020-08-23T17:19:08Z,610000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,
62,PT06M47.00S,2020-08-23T17:19:26.4Z,1,REGULAR,3pt,jumpshot,[],203935,78.79434954007884,6.686580882352941,1610612738,15,20,2020-08-23T17:19:32Z,620000,-217.0,147.0,1,right,M. Smart 26' 3PT  (3 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,Made,3.0,,,,26.48,,,,,J. Brown,1627759.0,1.0,,,
64,PT06M31.00S,2020-08-23T17:19:45.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202689,,,1610612755,15,20,2020-08-23T17:23:12Z,640000,,,0,,K. Walker FOUL personal (2 PF) (Richardson inpenalty),"[202689, 1626196]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,2715.0,2.0,0.0,Richardson,1626196.0,,,,,,,,,,,,,,,,
66,PT06M31.00S,2020-08-23T17:19:54.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,20,2020-08-23T17:19:54Z,660000,,,0,,timeout full,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2020-08-23T17:22:37.9Z,1,REGULAR,substitution,out,[],201143,,,1610612755,15,20,2020-08-23T17:23:10Z,670000,,,0,,substitution out Horford,[201143],1610612755.0,PHI,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2020-08-23T17:22:37.9Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,15,20,2020-08-23T17:23:10Z,680000,,,0,,substitution in Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2020-08-23T17:23:39.4Z,1,REGULAR,freethrow,1of2,[],1626196,,,1610612755,16,20,2020-08-23T17:23:39Z,690000,,,0,,J. Richardson freethrow 1of2 (3 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
70,PT06M31.00S,2020-08-23T17:23:57.0Z,1,REGULAR,freethrow,2of2,[],1626196,,,1610612755,17,20,2020-08-23T17:23:57Z,700000,,,0,,J. Richardson freethrow 2of2 (4 PTS),[1626196],1610612755.0,PHI,,,,Richardson,J. Richardson,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
71,PT06M19.00S,2020-08-23T17:24:15.8Z,1,REGULAR,turnover,outofbounds,[],202689,,,1610612738,17,20,2020-08-23T17:28:27Z,710000,,,0,,K. Walker TURNOVER outofbounds (1 TOV),[202689],1610612738.0,BOS,badpass,,,Walker,K. Walker,,,,,2715.0,,,,,,,1.0,,,,,,,,,,,,,
73,PT05M58.00S,2020-08-23T17:24:58.4Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1629003,20.581471747700395,6.1963848039215685,1610612755,17,20,2020-08-23T17:25:05Z,730000,219.0,141.0,1,left,MISS S. Milton 26' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,Missed,,,,,26.35,,,,,,,,,,
74,PT05M54.00S,2020-08-23T17:25:02.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,17,20,2020-08-23T17:25:05Z,740000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,
75,PT05M54.00S,2020-08-23T17:25:05.7Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612738,17,20,2020-08-23T17:25:05Z,750000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
