actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-08-30T17:16:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-08-30T17:16:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-08-30T17:16:11.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2020-08-30T17:16:11Z,40000,,,0,,Jump Ball M. Gasol vs. D. Theis: Tip to P. Siakam,"[1627783, 201188, 1628464]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Gasol,201188.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2020-08-30T17:16:21.2Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627832,6.258212877792378,54.72579656862745,1610612761,0,0,2020-08-30T17:16:25Z,70000,-24.0,6.0,1,left,MISS F. VanVleet layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,2.64,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2020-08-30T17:16:25.2Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2020-08-30T17:16:25Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2020-08-30T17:16:38.9Z,1,REGULAR,3pt,jumpshot,[],203935,89.83245729303549,4.4806985294117645,1610612738,0,3,2020-08-30T17:16:43Z,90000,-228.0,43.0,1,right,M. Smart 23' 3PT  (3 PTS) (D. Theis 1 AST),"[203935, 1628464]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.27,Made,,,,,3.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
11,PT11M10.00S,2020-08-30T17:16:57.5Z,1,REGULAR,3pt,jumpshot,[],200768,28.991458607095925,74.33363970588235,1610612761,0,3,2020-08-30T17:17:02Z,110000,-122.0,220.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612761.0,TOR,,,,Lowry,K. Lowry,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2020-08-30T17:16:58.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,3,2020-08-30T17:17:02Z,120000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2020-08-30T17:17:04.8Z,1,REGULAR,2pt,layup,"['fastbreak', 'pointsinthepaint']",1627759,92.59198423127464,45.65716911764706,1610612738,0,5,2020-08-30T17:17:55Z,130000,-22.0,17.0,1,right,J. Brown layup (2 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,3.13,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M56.00S,2020-08-30T17:17:11.6Z,1,REGULAR,2pt,layup,['pointsinthepaint'],200768,8.360709592641262,41.00030637254902,1610612761,0,5,2020-08-30T17:17:39Z,140000,45.0,26.0,1,left,MISS K. Lowry 6' layup,[200768],1610612761.0,TOR,driving,,,Lowry,K. Lowry,,,,,5.5,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2020-08-30T17:17:12.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,5,2020-08-30T17:17:18Z,150000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
16,PT10M53.00S,2020-08-30T17:17:19.2Z,1,REGULAR,turnover,outofbounds,[],1627759,,,1610612738,0,5,2020-08-30T17:17:27Z,160000,,,0,,J. Brown TURNOVER outofbounds (1 TOV),[1627759],1610612738.0,BOS,step,,,Brown,J. Brown,,,,,,,,,,,,,,,202058.0,1.0,,,,,,,,,
17,PT10M33.00S,2020-08-30T17:17:48.7Z,1,REGULAR,2pt,jumpshot,"['pointsinthepaint', 'fromturnover']",1627783,8.492115637319317,56.93167892156863,1610612761,0,5,2020-08-30T17:17:55Z,170000,-35.0,27.0,1,left,MISS P. Siakam jumpshot,[1627783],1610612761.0,TOR,drivingbank,,,Siakam,P. Siakam,,,,,4.77,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2020-08-30T17:17:50.7Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,5,2020-08-30T17:17:55Z,180000,,,0,,D. Theis REBOUND (Off:0 Def:3),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,17.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
19,PT10M24.00S,2020-08-30T17:18:03.3Z,1,REGULAR,foul,personal,[],1627783,,,1610612738,0,5,2020-08-30T17:22:49Z,190000,,,0,,P. Siakam FOUL personal (1 PF),"[1627783, 1628464]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,101284.0,,1.0,0.0,Theis,1628464.0,,,,,
21,PT10M13.00S,2020-08-30T17:18:32.1Z,1,REGULAR,2pt,jumpshot,[],1628369,79.84559789750328,67.9610906862745,1610612738,0,5,2020-08-30T17:18:36Z,210000,90.0,137.0,1,right,MISS J. Tatum 17' jumpshot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,16.84,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2020-08-30T17:18:35.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,5,2020-08-30T17:18:36Z,220000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M03.00S,2020-08-30T17:18:43.9Z,1,REGULAR,foul,personal,[],203935,,,1610612761,0,5,2020-08-30T17:18:47Z,230000,,,0,,M. Smart FOUL personal (1 PF),"[203935, 201188]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,2530.0,,1.0,0.0,Gasol,201188.0,,,,,
