actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-09-05T22:45:41.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-05T22:45:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2020-09-05T22:45:44.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2020-09-05T22:45:44Z,40000,,,0,,Jump Ball D. Theis vs. M. Gasol: Tip to J. Brown,"[1627759, 1628464, 201188]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Gasol,201188.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2020-09-05T22:45:57.5Z,1,REGULAR,turnover,outofbounds,[],1628369,,,1610612738,0,0,2020-09-05T22:46:02Z,70000,,,0,,J. Tatum TURNOVER outofbounds (1 TOV),[1628369],1610612738.0,BOS,badpass,,,Tatum,J. Tatum,,,,,1830.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2020-09-05T22:46:17.9Z,1,REGULAR,3pt,jumpshot,['fromturnover'],1627783,33.327858081471746,57.666973039215684,1610612761,0,0,2020-09-05T22:46:21Z,80000,-38.0,261.0,1,left,MISS P. Siakam 27' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,26.9,Missed,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2020-09-05T22:46:18.9Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2020-09-05T22:46:24Z,90000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M20.00S,2020-09-05T22:46:27.5Z,1,REGULAR,2pt,jumpshot,[],1628464,79.58278580814718,61.09834558823529,1610612738,0,0,2020-09-05T22:46:30Z,100000,55.0,139.0,1,right,MISS D. Theis 16' jumpshot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,15.52,Missed,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2020-09-05T22:46:28.5Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,0,0,2020-09-05T22:46:34Z,110000,,,0,,M. Gasol REBOUND (Off:0 Def:1),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M11.00S,2020-09-05T22:46:37.4Z,1,REGULAR,2pt,jumpshot,[],200768,22.421156373193167,28.500306372549016,1610612761,0,2,2020-09-05T22:46:40Z,120000,107.0,158.0,1,left,K. Lowry 20' jumpshot (2 PTS),[200768],1610612761.0,TOR,stepback,,,Lowry,K. Lowry,,,,,,,19.59,Made,,,,,2.0,,,,,,,,,,,,
13,PT10M51.00S,2020-09-05T22:47:00.0Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612738,0,2,2020-09-05T22:47:08Z,130000,,,0,,O. Anunoby FOUL personal (1 PF) (Brown 2freethrow),"[1628384, 1627759]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,1662.0,,,,,,,,,1.0,0.0,Brown,1627759.0,,,,,,,,
15,PT10M51.00S,2020-09-05T22:47:22.2Z,1,REGULAR,freethrow,1of2,[],1627759,,,1610612738,1,2,2020-09-05T22:47:22Z,150000,,,0,,J. Brown freethrow 1of2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
