actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-09-07T22:45:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-07T22:45:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-07T22:45:26.5Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2020-09-07T22:45:26Z,40000,,,0,,Jump Ball D. Theis vs. M. Gasol: Tip to J. Tatum,"[1628369, 1628464, 201188]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Theis,1628464.0,Gasol,201188.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2020-09-07T22:45:42.8Z,1,REGULAR,3pt,jumpshot,[],1627759,69.07030223390277,29.235600490196077,1610612738,0,3,2020-09-07T22:45:47Z,70000,-104.0,238.0,1,right,J. Brown 26' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.49,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2020-09-07T22:46:04.0Z,1,REGULAR,2pt,jumpshot,[],201188,23.340998685939553,58.40226715686274,1610612761,0,3,2020-09-07T22:46:11Z,90000,-42.0,167.0,1,left,MISS M. Gasol 18' jumpshot,[201188],1610612761.0,TOR,fadeaway,,,Gasol,M. Gasol,,,,,17.74,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2020-09-07T22:46:07.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,3,2020-09-07T22:46:07Z,100000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M03.00S,2020-09-07T22:46:19.2Z,1,REGULAR,3pt,jumpshot,[],1627759,90.62089356110381,3.2552083333333335,1610612738,0,3,2020-09-07T22:46:23Z,110000,-234.0,36.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.73,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2020-09-07T22:46:21.2Z,1,REGULAR,rebound,defensive,[],201188,,,1610612761,0,3,2020-09-07T22:46:23Z,120000,,,0,,M. Gasol REBOUND (Off:0 Def:1),[201188],1610612761.0,TOR,,,,Gasol,M. Gasol,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M54.00S,2020-09-07T22:46:29.4Z,1,REGULAR,3pt,jumpshot,[],1627783,16.90210249671485,3.990502450980392,1610612761,0,3,2020-09-07T22:46:33Z,130000,230.0,106.0,1,left,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.58,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2020-09-07T22:46:31.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,3,2020-09-07T22:47:33Z,140000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M44.00S,2020-09-07T22:46:38.1Z,1,REGULAR,3pt,jumpshot,['fastbreak'],202689,68.15045992115637,51.53952205882353,1610612738,0,3,2020-09-07T22:46:43Z,150000,8.0,247.0,1,right,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2020-09-07T22:46:40.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,3,2020-09-07T22:46:43Z,160000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M36.00S,2020-09-07T22:46:48.4Z,1,REGULAR,3pt,jumpshot,[],200768,29.38567674113009,21.637561274509803,1610612761,0,3,2020-09-07T22:48:03Z,170000,142.0,224.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612761.0,TOR,pullup,,,Lowry,K. Lowry,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2020-09-07T22:46:51.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,0,3,2020-09-07T22:48:03Z,180000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M25.00S,2020-09-07T22:46:57.9Z,1,REGULAR,3pt,jumpshot,[],1627759,69.20170827858082,28.010110294117645,1610612738,0,3,2020-09-07T22:47:03Z,190000,-110.0,237.0,1,right,MISS J. Brown 27' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2020-09-07T22:47:02.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,3,2020-09-07T22:47:02Z,200000,,,0,,Team defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
21,PT10M24.00S,2020-09-07T22:47:03.8Z,1,REGULAR,stoppage,outofbounds,[],0,,,1610612761,0,3,2020-09-07T22:47:03Z,210000,,,0,,stoppage outofbounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2020-09-07T22:47:29.9Z,1,REGULAR,turnover,outofbounds,[],1627783,,,1610612761,0,3,2020-09-07T22:47:35Z,220000,,,0,,P. Siakam TURNOVER outofbounds (1 TOV),[1627783],1610612761.0,TOR,lostball,,,Siakam,P. Siakam,,,,,,,,,,,,,,,2715.0,1.0,,,,,,,,,
