actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-09-20T00:45:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-20T00:45:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-20T00:45:35.3Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612748,0,0,2020-09-20T00:45:35Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Theis: Tip to J. Crowder,"[203109, 1628389, 1628464]",1610612748.0,MIA,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Adebayo,1628389.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2020-09-20T00:45:46.2Z,1,REGULAR,3pt,jumpshot,[],203109,30.305519053876477,72.61795343137256,1610612748,0,0,2020-09-20T00:45:51Z,70000,-113.0,232.0,1,left,MISS J. Crowder 26' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-09-20T00:45:50.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2020-09-20T00:45:51Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2020-09-20T00:46:02.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],203935,94.1688567674113,49.333639705882355,1610612738,0,2,2020-09-20T00:46:07Z,90000,-3.0,2.0,1,right,M. Smart layup (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,drivingreverse,,,Smart,M. Smart,,,,,0.85,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
11,PT11M32.00S,2020-09-20T00:46:06.8Z,1,REGULAR,foul,personal,['1freethrow'],203109,,,1610612738,0,2,2020-09-20T00:46:14Z,110000,,,0,,J. Crowder FOUL personal (1 PF) (Smart 1freethrow),"[203109, 203935]",1610612748.0,MIA,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,,,,2534.0,1.0,0.0,Smart,203935.0,,,,,,
13,PT11M32.00S,2020-09-20T00:46:24.3Z,1,REGULAR,freethrow,1of1,[],203935,,,1610612738,0,3,2020-09-20T00:46:24Z,130000,,,0,,M. Smart freethrow 1of1 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
14,PT11M23.00S,2020-09-20T00:46:33.7Z,1,REGULAR,2pt,dunk,['pointsinthepaint'],1628389,6.783837056504599,49.08854166666667,1610612748,2,3,2020-09-20T00:46:37Z,140000,5.0,11.0,1,left,B. Adebayo dunk (2 PTS) (G. Dragic 1 AST),"[1628389, 201609]",1610612748.0,MIA,alleyoop,,,Adebayo,B. Adebayo,,,,,1.74,Made,,,,,2.0,G. Dragic,201609.0,1.0,,,,,,,,,,,
16,PT11M06.00S,2020-09-20T00:46:49.5Z,1,REGULAR,2pt,layup,['pointsinthepaint'],1627759,94.30026281208936,46.392463235294116,1610612738,2,5,2020-09-20T00:46:53Z,160000,-18.0,1.0,1,right,J. Brown layup (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.92,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
18,PT10M48.00S,2020-09-20T00:47:08.0Z,1,REGULAR,3pt,jumpshot,[],203109,7.178055190538765,4.235600490196079,1610612748,2,5,2020-09-20T00:47:12Z,180000,229.0,15.0,1,left,MISS J. Crowder 23' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,22.97,Missed,,,,,,,,,,,,,,,,,,,
