actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2020-09-24T00:45:29.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-24T00:45:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-24T00:45:31.6Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612748,0,0,2020-09-24T00:45:31Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Theis: Tip to J. Crowder,"[203109, 1628389, 1628464]",1610612748.0,MIA,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Adebayo,1628389.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2020-09-24T00:45:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,7.703679369250986,65.75520833333334,1610612748,2,0,2020-09-24T00:45:51Z,70000,-79.0,20.0,1,left,J. Butler 8' turnaround bank Jump Shot (2 PTS),[202710],1610612748.0,MIA,turnaround bank,,,Butler,J. Butler,,,,,8.28,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2020-09-24T00:46:04.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,83.65637319316689,58.892463235294116,1610612738,2,2,2020-09-24T00:46:07Z,80000,44.0,101.0,1,right,M. Smart 11' bank Jump Shot (2 PTS),[203935],1610612738.0,BOS,bank,,,Smart,M. Smart,,,,,11.55,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT11M13.00S,2020-09-24T00:46:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.4881734559789805,42.333026960784316,1610612748,2,2,2020-09-24T00:57:36Z,85000,38.0,8.0,1,left,MISS J. Butler driving Layup Blocked,"[202710, 1628369]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,4.08,Missed,,Tatum,1628369.0,,,,,,,,,,,,,,,,
64,PT11M13.00S,2020-09-24T00:46:13.5Z,1,REGULAR,block,,[],1628369,,,1610612748,2,2,2020-09-24T00:57:36Z,87500,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT11M12.00S,2020-09-24T00:46:14.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,2,2020-09-24T00:57:36Z,88750,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,
9,PT11M12.00S,2020-09-24T00:46:23.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,2,2,2020-09-24T00:46:23Z,90000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M00.00S,2020-09-24T00:46:45.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628389,6.1268068331143235,30.215992647058826,1610612748,4,2,2020-09-24T00:57:36Z,100000,99.0,5.0,1,left,B. Adebayo 9' fadeaway Jump Shot (2 PTS) (J. Crowder 1 AST),"[1628389, 203109]",1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,9.95,Made,2.0,,,,J. Crowder,203109.0,1.0,,,,,,,,,,,,
12,PT10M44.00S,2020-09-24T00:47:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,89.70105124835742,36.09834558823529,1610612738,4,2,2020-09-24T00:47:04Z,120000,-70.0,44.0,1,right,MISS J. Tatum 8' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2020-09-24T00:47:01.8Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,2,2020-09-24T00:47:08Z,130000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,12.0,,,,1.0,1.0,0.0,,,,,,,,,
14,PT10M21.00S,2020-09-24T00:47:24.2Z,1,REGULAR,2pt,Jump Shot,[],201609,2.578843626806833,19.676776960784316,1610612748,4,2,2020-09-24T00:48:57Z,140000,152.0,-28.0,1,left,MISS G. Dragic 15' step back Shot,[201609],1610612748.0,MIA,step back,,,Dragic,G. Dragic,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M20.00S,2020-09-24T00:47:25.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,2,2020-09-24T00:47:30Z,150000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,14.0,,,,1.0,1.0,0.0,,,,,,,,,
16,PT10M14.00S,2020-09-24T00:47:31.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,96.00854139290408,3.010110294117647,1610612738,4,2,2020-09-24T00:47:35Z,160000,-235.0,-15.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.51,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M13.00S,2020-09-24T00:47:32.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612748,4,2,2020-09-24T00:47:39Z,170000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,,,,,,16.0,,,,1.0,1.0,0.0,,,,,,,,,
18,PT10M02.00S,2020-09-24T00:47:43.6Z,1,REGULAR,2pt,Jump Shot,[],201609,19.66162943495401,26.294424019607842,1610612748,6,2,2020-09-24T00:47:46Z,180000,119.0,132.0,1,left,G. Dragic 18' pullup Jump Shot (2 PTS),[201609],1610612748.0,MIA,pullup,,,Dragic,G. Dragic,,,,,18.17,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT09M41.00S,2020-09-24T00:48:03.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.95466491458606,57.421875,1610612738,6,4,2020-09-24T00:48:06Z,190000,37.0,164.0,1,right,J. Brown 17' pullup Jump Shot (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.36,Made,2.0,,,,K. Walker,202689.0,1.0,,,,,,,,,,,,
21,PT09M19.00S,2020-09-24T00:48:27.6Z,1,REGULAR,3pt,Jump Shot,[],203109,32.802233902759525,60.60814950980392,1610612748,6,4,2020-09-24T00:50:00Z,210000,-53.0,256.0,1,left,MISS J. Crowder 26' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
22,PT09M16.00S,2020-09-24T00:48:30.6Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,6,4,2020-09-24T00:50:00Z,220000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,21.0,,,,1.0,1.0,0.0,,,,,,,,,
23,PT09M07.00S,2020-09-24T00:48:39.8Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,6,4,2020-09-24T00:48:44Z,230000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TOV),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,1146.0,1.0,,,,,,,
24,PT08M56.00S,2020-09-24T00:49:06.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,22.946780551905388,35.60814950980392,1610612748,6,4,2020-09-24T00:49:09Z,240000,72.0,163.0,1,left,MISS B. Adebayo 18' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,18.34,Missed,,,,,,,,,,,,,,,,,,,
25,PT08M55.00S,2020-09-24T00:49:07.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,4,2020-09-24T00:49:12Z,250000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,24.0,,,,2.0,2.0,0.0,,,,,,,,,
26,PT08M36.00S,2020-09-24T00:49:25.9Z,1,REGULAR,3pt,Jump Shot,[],202689,93.64323258869908,95.41207107843137,1610612738,6,7,2020-09-24T00:49:30Z,260000,227.0,7.0,1,right,K. Walker 3PT  (3 PTS) (M. Smart 1 AST),"[202689, 203935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,22.75,Made,3.0,,,,M. Smart,203935.0,1.0,,,,,,,,,,,,
28,PT08M12.00S,2020-09-24T00:49:50.2Z,1,REGULAR,2pt,Jump Shot,[],202710,21.369908015768726,46.63756127450981,1610612748,8,7,2020-09-24T00:49:53Z,280000,17.0,148.0,1,left,J. Butler 15' pullup Jump Shot (4 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,15.48,Made,4.0,,,,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,
30,PT07M55.00S,2020-09-24T00:50:07.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,91.93495400788436,2.7650122549019605,1610612738,8,10,2020-09-24T00:50:10Z,300000,-236.0,23.0,1,right,J. Brown 3PT  (5 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.79,Made,5.0,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,,,
32,PT07M44.00S,2020-09-24T00:50:20.2Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,8,10,2020-09-24T00:50:41Z,320000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 201609]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1162.0,,1.0,0.0,Dragic,201609.0,,,
34,PT07M38.00S,2020-09-24T00:50:59.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,8,10,2020-09-24T00:51:07Z,340000,,,0,,J. Brown personal FOUL (2 PF),"[1627759, 1628389]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,1146.0,,2.0,0.0,Adebayo,1628389.0,,,
36,PT07M29.00S,2020-09-24T00:51:31.3Z,1,REGULAR,3pt,Jump Shot,[],1629130,21.369908015768726,7.176776960784313,1610612748,8,10,2020-09-24T00:51:34Z,360000,214.0,148.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
37,PT07M28.00S,2020-09-24T00:51:32.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,10,2020-09-24T00:51:37Z,370000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,36.0,,,,1.0,1.0,0.0,,,,,,,,,
38,PT07M19.00S,2020-09-24T00:51:41.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.12155059132719,79.48069852941177,1610612738,8,10,2020-09-24T00:51:45Z,380000,147.0,228.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.65,Missed,,,,,,,,,,,,,,,,,,,
39,PT07M18.00S,2020-09-24T00:51:42.2Z,1,REGULAR,rebound,defensive,[],201609,,,1610612748,8,10,2020-09-24T00:51:47Z,390000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612748.0,MIA,,,,Dragic,G. Dragic,,,,,,,,,,38.0,,,,1.0,1.0,0.0,,,,,,,,,
40,PT07M12.00S,2020-09-24T00:51:49.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201609,7.046649145860711,46.63756127450981,1610612748,8,10,2020-09-24T00:52:08Z,400000,17.0,14.0,1,left,MISS G. Dragic running Layup,[201609],1610612748.0,MIA,running,,,Dragic,G. Dragic,,,,,2.55,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M11.00S,2020-09-24T00:51:50.0Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,8,10,2020-09-24T00:52:14Z,410000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,40.0,,,,2.0,1.0,1.0,,,,,,,,,
42,PT07M11.00S,2020-09-24T00:51:52.4Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612748,8,10,2020-09-24T00:52:01Z,420000,,,0,,M. Smart shooting personal FOUL (1 PF) (Butler 2 FT),"[203935, 202710]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1162.0,,1.0,0.0,Butler,202710.0,,,
44,PT07M11.00S,2020-09-24T00:52:18.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202710,,,1610612748,9,10,2020-09-24T00:52:18Z,440000,,,0,,J. Butler Free Throw 1 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
45,PT07M11.00S,2020-09-24T00:52:33.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202710,,,1610612748,10,10,2020-09-24T00:52:33Z,450000,,,0,,J. Butler Free Throw 2 of 2 (6 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
46,PT07M02.00S,2020-09-24T00:52:46.8Z,1,REGULAR,3pt,Jump Shot,[],202689,70.64717477003943,20.657169117647058,1610612738,10,10,2020-09-24T00:52:51Z,460000,-147.0,223.0,1,right,MISS K. Walker 27' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,27.19,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M01.00S,2020-09-24T00:52:47.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,10,10,2020-09-24T00:52:53Z,470000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,46.0,,,,1.0,1.0,0.0,,,,,,,,,
48,PT06M48.00S,2020-09-24T00:53:00.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,6.521024967148489,48.59834558823529,1610612748,12,10,2020-09-24T00:53:04Z,480000,7.0,9.0,1,left,B. Adebayo alley-oop DUNK (4 PTS) (G. Dragic 1 AST),"[1628389, 201609]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,1.59,Made,4.0,,,,G. Dragic,201609.0,1.0,,,,,,,,,,,,
50,PT06M27.00S,2020-09-24T00:53:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.46057818659659,55.70618872549019,1610612738,12,10,2020-09-24T00:53:25Z,500000,29.0,18.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,3.72,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M26.00S,2020-09-24T00:53:22.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,12,10,2020-09-24T00:53:27Z,510000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,50.0,,,,3.0,2.0,1.0,,,,,,,,,
52,PT06M10.00S,2020-09-24T00:53:39.2Z,1,REGULAR,3pt,Jump Shot,[],203109,27.808804204993432,17.96109068627451,1610612748,15,10,2020-09-24T00:53:43Z,520000,160.0,209.0,1,left,J. Crowder 26' 3PT  (3 PTS) (G. Dragic 2 AST),"[203109, 201609]",1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,26.76,Made,3.0,,,,G. Dragic,201609.0,2.0,,,,,,,,,,,,
54,PT06M08.00S,2020-09-24T00:53:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,10,2020-09-24T00:53:44Z,540000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M08.00S,2020-09-24T00:56:21.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,15,10,2020-09-24T00:57:04Z,550000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
