actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2020-09-27T23:45:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-09-27T23:45:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2020-09-27T23:45:29.3Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612748,0,0,2020-09-27T23:45:29Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Theis: Tip to J. Crowder,"[203109, 1628389, 1628464]",1610612748.0,MIA,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Adebayo,1628389.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2020-09-27T23:45:43.5Z,1,REGULAR,3pt,jumpshot,[],203109,25.04927726675427,82.66697303921569,1610612748,0,0,2020-09-27T23:45:47Z,70000,-163.0,183.0,1,left,MISS J. Crowder 25' 3PT,[203109],1610612748.0,MIA,,,,Crowder,J. Crowder,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2020-09-27T23:45:44.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2020-09-27T23:45:51Z,80000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2020-09-27T23:46:02.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,88.78120893561103,21.637561274509803,1610612738,0,0,2020-09-27T23:46:06Z,90000,-142.0,53.0,1,right,MISS J. Tatum 15' Jump Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,15.34,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2020-09-27T23:46:03.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,0,2020-09-27T23:46:06Z,100000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2020-09-27T23:46:07.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,0,0,2020-09-27T23:46:07Z,110000,,,0,,Stoppage out-of-bounds,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2020-09-27T23:46:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612748,0,0,2020-09-27T23:46:34Z,120000,,,0,,D. Theis personal FOUL (1 PF) (Adebayo 2 FT),"[1628464, 1628389]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,,,,,,,1830.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
14,PT11M16.00S,2020-09-27T23:46:50.1Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,1,0,2020-09-27T23:46:50Z,140000,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M16.00S,2020-09-27T23:47:06.9Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,0,2020-09-27T23:47:06Z,150000,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
