actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2020-12-19T01:10:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2020-12-19T01:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2020-12-19T01:10:32.0Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2020-12-19T01:10:32Z,40000,,,0,,Jump Ball D. Jordan vs. D. Theis: Tip to K. Irving,"[202681, 201599, 1628464]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Jordan,201599.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2020-12-19T01:10:46.2Z,1,REGULAR,turnover,bad pass,[],201599,,,1610612751,0,0,2020-12-19T01:11:13Z,70000,,,0,,D. Jordan bad pass TURNOVER (1 TO),"[201599, 1628464]",1610612751.0,BKN,,,,Jordan,D. Jordan,,,,,1.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,
31,PT11M43.00S,2020-12-19T01:10:46.2Z,1,REGULAR,steal,,[],1628464,,,1610612738,0,0,2020-12-19T01:13:27Z,80000,,,0,,D. Theis STEAL (1 STL),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2020-12-19T01:10:50.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,70.51576872536137,81.68658088235294,1610612738,0,0,2020-12-19T01:11:18Z,90000,158.0,225.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,27.49,Missed,,,,,,,,,,,,,,,,
10,PT11M35.00S,2020-12-19T01:10:53.9Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,0,2020-12-19T01:10:53Z,100000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M27.00S,2020-12-19T01:11:02.1Z,1,REGULAR,turnover,lost ball,[],202681,,,1610612751,0,0,2020-12-19T01:11:22Z,110000,,,0,,K. Irving lost ball TURNOVER (1 TO),"[202681, 1627759]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2020-12-19T01:11:02.1Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2020-12-19T01:11:03Z,120000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2020-12-19T01:11:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,91.93495400788436,54.72579656862745,1610612738,2,0,2020-12-19T03:16:16Z,130000,24.0,23.0,1,right,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,3.32,Made,,,,,2.0,,,,,,,,,,,
14,PT11M05.00S,2020-12-19T01:11:23.7Z,1,REGULAR,2pt,Jump Shot,[],201142,22.28975032851511,45.166973039215684,1610612751,2,0,2020-12-19T03:16:33Z,140000,24.0,157.0,1,left,MISS K. Durant 15' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,15.89,Missed,,,,,,,,,,,,,,,,
15,PT11M05.00S,2020-12-19T01:11:23.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2020-12-19T01:11:35Z,150000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M57.00S,2020-12-19T01:11:31.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,68.15045992115637,23.353247549019606,1610612738,2,0,2020-12-19T01:11:41Z,160000,-133.0,247.0,1,right,MISS J. Brown 28' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,28.05,Missed,,,,,,,,,,,,,,,,
