actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-05-09T17:15:41.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-09T17:15:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-05-09T17:15:44.0Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2021-05-09T17:15:44Z,40000,,,0,,Jump Ball B. Adebayo vs. R. Williams III: Tip to D. Robinson,"[1629130, 1628389, 1629057]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-05-09T17:15:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629134,28.465834428383708,21.147365196078432,1610612748,0,0,2021-05-09T17:16:07Z,70000,144.0,215.0,1,left,MISS K. Nunn 25' 3PT,[1629134],1610612748.0,MIA,,,,Nunn,K. Nunn,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-05-09T17:16:01.9Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,0,0,2021-05-09T17:16:07Z,80000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-05-09T17:16:17.6Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,0,2021-05-09T17:16:22Z,90000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 202710]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,1.0,Butler,202710.0,,,,,,,,,,,,
10,PT11M23.00S,2021-05-09T17:16:17.6Z,1,REGULAR,steal,,[],202710,,,1610612748,0,0,2021-05-09T17:16:19Z,100000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-05-09T17:16:30.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,25.57490144546649,82.421875,1610612748,0,0,2021-05-09T17:16:36Z,110000,-162.0,188.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-05-09T17:16:32.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-05-09T17:16:36Z,120000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M53.00S,2021-05-09T17:16:48.1Z,1,REGULAR,3pt,Jump Shot,[],203095,94.03745072273325,3.010110294117647,1610612738,0,0,2021-05-09T17:16:55Z,130000,-235.0,4.0,1,right,MISS E. Fournier 3PT,[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,23.49,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-05-09T17:16:50.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2021-05-09T17:16:55Z,140000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
