actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-05-07T23:45:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-07T23:45:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-05-07T23:45:30.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-05-07T23:45:30Z,40000,,,0,,Jump Ball T. Thompson vs. N. Vucevic: Tip to M. Smart,"[203935, 202684, 202696]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Thompson,202684.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-05-07T23:45:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.258212877792378,46.392463235294116,1610612738,0,0,2021-05-07T23:45:48Z,70000,18.0,6.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-05-07T23:45:46.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2021-05-07T23:45:48Z,80000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-05-07T23:46:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.11760840998686,53.255208333333336,1610612741,2,0,2021-05-07T23:46:05Z,90000,16.0,12.0,1,right,Z. LaVine driving Layup (2 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,2.04,Made,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
11,PT11M10.00S,2021-05-07T23:46:17.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,12.434296977660972,46.88265931372549,1610612738,2,0,2021-05-07T23:46:27Z,110000,16.0,64.0,1,left,MISS T. Thompson 6' Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,6.63,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-05-07T23:46:19.4Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,2,0,2021-05-07T23:46:27Z,120000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M53.00S,2021-05-07T23:46:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629632,73.80091984231275,82.91207107843137,1610612741,2,0,2021-05-07T23:46:38Z,130000,165.0,194.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-05-07T23:46:38.6Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,2,0,2021-05-07T23:46:38Z,140000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M42.00S,2021-05-07T23:46:47.0Z,1,REGULAR,foul,personal,['2freethrow'],1628464,,,1610612738,2,0,2021-05-07T23:46:55Z,150000,,,0,,D. Theis shooting personal FOUL (1 PF) (Walker 2 FT),"[1628464, 202689]",1610612741.0,CHI,shooting,,,Theis,D. Theis,,,,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,,,,,,
17,PT10M42.00S,2021-05-07T23:47:12.8Z,1,REGULAR,freethrow,1 of 2,[],202689,,,1610612738,2,1,2021-05-07T23:47:12Z,170000,,,0,,K. Walker Free Throw 1 of 2 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
