actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-02-13T01:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-13T01:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-02-13T01:10:41.1Z,1,REGULAR,jumpball,recovered,[],1628400,,,1610612738,0,0,2021-02-13T01:10:41Z,40000,,,0,,Jump Ball D. Theis vs. I. Stewart: Tip to S. Ojeleye,"[1628400, 1628464, 1630191]",1610612738.0,BOS,startperiod,S. Ojeleye,1628400.0,Ojeleye,S. Ojeleye,Theis,1628464.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-02-13T01:11:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628400,88.91261498028909,95.16697303921569,1610612738,3,0,2021-02-13T01:11:08Z,70000,226.0,52.0,1,right,S. Ojeleye 3PT  (3 PTS) (J. Tatum 1 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.16,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2021-02-13T01:11:17.7Z,1,REGULAR,3pt,Jump Shot,[],201961,30.436925098554536,29.970894607843135,1610612765,3,0,2021-02-13T01:11:31Z,90000,100.0,234.0,1,left,MISS W. Ellington 25' turnaround 3PT,[201961],1610612765.0,DET,turnaround,,,Ellington,W. Ellington,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-02-13T01:11:19.7Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,3,0,2021-02-13T01:11:31Z,100000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M00.00S,2021-02-13T01:11:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,92.11563731931669,34.92647058823529,1610612738,5,0,2021-02-13T01:12:00Z,110000,-75.0,22.0,1,right,J. Brown 7' driving floating Jump Shot (2 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,7.84,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2021-02-13T01:11:49.0Z,1,REGULAR,foul,personal,['1freethrow'],1630191,,,1610612738,5,0,2021-02-13T01:11:58Z,120000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Brown 1 FT),"[1630191, 1627759]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,,,
14,PT11M00.00S,2021-02-13T01:12:03.1Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,6,0,2021-02-13T01:12:03Z,140000,,,0,,J. Brown Free Throw 1 of 1 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2021-02-13T01:12:25.4Z,1,REGULAR,3pt,Jump Shot,[],201961,25.706307490144546,14.039522058823529,1610612765,6,0,2021-02-13T01:12:32Z,150000,180.0,189.0,1,left,MISS W. Ellington 26' 3PT,[201961],1610612765.0,DET,,,,Ellington,W. Ellington,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2021-02-13T01:12:27.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,0,2021-02-13T01:12:32Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
