actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-02-18T00:40:49.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-18T00:40:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-02-18T00:40:51.3Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2021-02-18T00:40:51Z,40000,,,0,,Jump Ball C. Capela vs. T. Thompson: Tip to J. Collins,"[1628381, 203991, 202684]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-02-18T00:41:10.9Z,1,REGULAR,2pt,Jump Shot,[],1628381,12.565703022339028,67.22579656862744,1610612737,0,0,2021-02-18T00:41:20Z,70000,-86.0,66.0,1,left,MISS J. Collins 10' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,10.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-02-18T00:41:13.9Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612738,0,0,2021-02-18T00:41:20Z,80000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2021-02-18T00:41:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,80.89684625492772,44.921875,1610612738,0,0,2021-02-18T00:41:35Z,90000,-25.0,127.0,1,right,MISS J. Tatum 12' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,12.96,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2021-02-18T00:41:28.6Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,0,2021-02-18T00:41:35Z,100000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2021-02-18T00:41:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203991,6.258212877792378,49.82383578431372,1610612737,0,2,2021-02-18T00:41:50Z,110000,1.0,6.0,1,left,C. Capela driving finger roll Layup (2 PTS),[203991],1610612737.0,ATL,driving finger roll,,,Capela,C. Capela,,,,,0.64,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M58.00S,2021-02-18T00:41:49.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,85.10183968462549,48.84344362745098,1610612738,2,2,2021-02-18T00:41:54Z,130000,-6.0,88.0,1,right,T. Thompson 8' Hook (2 PTS) (J. Brown 1 AST),"[202684, 1627759]",1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,8.77,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,
15,PT10M46.00S,2021-02-18T00:42:01.5Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,2,2021-02-18T00:42:07Z,150000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1629750]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,1.0,Green,1629750.0,,,,,,,
16,PT10M46.00S,2021-02-18T00:42:01.5Z,1,REGULAR,steal,,[],1629750,,,1610612738,2,2,2021-02-18T00:42:03Z,160000,,,0,,J. Green STEAL (1 STL),[1629750],1610612738.0,BOS,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2021-02-18T00:42:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629750,91.93495400788436,49.333639705882355,1610612738,4,2,2021-02-18T00:42:12Z,170000,-3.0,23.0,1,right,J. Green running Layup (2 PTS),[1629750],1610612738.0,BOS,running,,,Green,J. Green,,,,,2.35,Made,,,,,2.0,,,,,,,,,,,,,
18,PT10M35.00S,2021-02-18T00:42:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,5.732588699080158,50.314031862745104,1610612737,4,4,2021-02-18T00:42:18Z,180000,-2.0,1.0,1,left,C. Reddish driving Layup (2 PTS),[1629629],1610612737.0,ATL,driving,,,Reddish,C. Reddish,,,,,0.21,Made,,,,,2.0,,,,,,,,,,,,,
19,PT10M16.00S,2021-02-18T00:42:31.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,86.67871222076215,51.294424019607845,1610612738,6,4,2021-02-18T00:42:41Z,190000,6.0,73.0,1,right,T. Thompson 7' driving bank Hook (4 PTS),[202684],1610612738.0,BOS,driving bank,,,Thompson,T. Thompson,,,,,7.3,Made,,,,,4.0,,,,,,,,,,,,,
20,PT10M08.00S,2021-02-18T00:42:42.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612737,6,4,2021-02-18T00:42:58Z,200000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1628381]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Collins,1628381.0,,
22,PT09M52.00S,2021-02-18T00:43:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629629,5.995400788436268,64.77481617647058,1610612737,6,4,2021-02-18T00:46:26Z,220000,-74.0,4.0,1,left,MISS C. Reddish 7' floating Shot,[1629629],1610612737.0,ATL,floating,,,Reddish,C. Reddish,,,,,7.4,Missed,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2021-02-18T00:43:15.6Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,6,4,2021-02-18T00:43:45Z,230000,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M46.00S,2021-02-18T00:43:19.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,5.590000152587891,50.0,1610612737,6,6,2021-02-18T00:43:19Z,240000,0.0,0.0,1,left,J. Collins tip Layup (2 PTS),[1628381],1610612737.0,ATL,tip,,,Collins,J. Collins,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
25,PT09M35.00S,2021-02-18T00:43:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,53.01011029411765,1610612738,8,6,2021-02-18T00:43:39Z,250000,15.0,22.0,1,right,J. Brown driving finger roll Layup (2 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,2.68,Made,,,,,2.0,,,,,,,,,,,,,
26,PT09M24.00S,2021-02-18T00:43:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,7.30946123521682,51.294424019607845,1610612737,8,8,2021-02-18T00:43:49Z,260000,-6.0,16.0,1,left,T. Young driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,1.75,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M07.00S,2021-02-18T00:44:01.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,91.5407358738502,50.80422794117647,1610612738,8,8,2021-02-18T00:50:41Z,270000,4.0,27.0,1,right,MISS T. Thompson Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2021-02-18T00:44:02.3Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,8,8,2021-02-18T00:50:41Z,280000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT09M05.00S,2021-02-18T00:44:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,93.11760840998686,49.57873774509804,1610612738,8,8,2021-02-18T00:50:03Z,285000,-2.0,12.0,1,right,MISS T. Thompson tip Layup,[202684],1610612738.0,BOS,tip,,,Thompson,T. Thompson,,,,,1.24,Missed,,,,,,,,,,,,,,,,,,
65,PT09M04.00S,2021-02-18T00:44:06.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,8,8,2021-02-18T00:50:03Z,287500,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M56.00S,2021-02-18T00:44:09.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,5.995400788436268,51.049325980392155,1610612737,8,10,2021-02-18T00:44:14Z,290000,-5.0,4.0,1,left,J. Collins alley-oop DUNK (4 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,0.65,Made,,,,,4.0,T. Young,1629027.0,1.0,,,,,,,,,,
31,PT08M46.00S,2021-02-18T00:44:22.8Z,1,REGULAR,foul,offensive,[],1628400,,,1610612738,8,10,2021-02-18T00:44:35Z,310000,,,0,,S. Ojeleye offensive FOUL (1 PF),"[1628400, 1628989]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Huerter,1628989.0,,
33,PT08M46.00S,2021-02-18T00:44:22.8Z,1,REGULAR,turnover,offensive foul,[],1628400,,,1610612738,8,10,2021-02-18T00:44:22Z,330000,,,0,,S. Ojeleye offensive foul TURNOVER (1 TO),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,1.0,,,1204.0,,,,,,
34,PT08M34.00S,2021-02-18T00:44:48.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629629,6.1268068331143235,23.108149509803923,1610612737,8,10,2021-02-18T00:45:04Z,340000,134.0,5.0,1,left,MISS C. Reddish 13' pullup Shot,[1629629],1610612737.0,ATL,pullup,,,Reddish,C. Reddish,,,,,13.46,Missed,,,,,,,,,,,,,,,,,,
