actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-02-21T20:40:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-21T20:40:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-02-21T20:40:30.8Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2021-02-21T20:40:30Z,40000,,,0,,Jump Ball W. Hernangomez vs. D. Theis: Tip to B. Ingram,"[1627742, 1626195, 1628464]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Hernangomez,1626195.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-02-21T20:40:50.2Z,1,REGULAR,3pt,Jump Shot,[],1628366,7.835085413929041,5.46109068627451,1610612740,3,0,2021-02-21T20:40:55Z,70000,223.0,21.0,1,left,L. Ball 3PT  (3 PTS) (E. Bledsoe 1 AST),"[1628366, 202339]",1610612740.0,NOP,,,,Ball,L. Ball,,,,,22.37,Made,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2021-02-21T20:41:12.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.45795006570303,12.568933823529413,1610612738,3,0,2021-02-21T20:41:17Z,90000,-187.0,188.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2021-02-21T20:41:15.5Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,3,0,2021-02-21T20:41:17Z,100000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT10M55.00S,2021-02-21T20:41:30.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626195,5.732588699080158,49.57873774509804,1610612740,5,0,2021-02-21T20:41:34Z,110000,2.0,1.0,1,left,W. Hernangomez cutting DUNK (2 PTS) (L. Ball 1 AST),"[1626195, 1628366]",1610612740.0,NOP,cutting,,,Hernangomez,W. Hernangomez,,,,,0.25,Made,2.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,,,
13,PT10M43.00S,2021-02-21T20:41:43.1Z,1,REGULAR,2pt,Jump Shot,[],202689,69.59592641261499,47.61795343137255,1610612738,5,2,2021-02-21T20:41:48Z,130000,-12.0,233.0,1,right,K. Walker 23' step back Jump Shot (2 PTS),[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,23.36,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M29.00S,2021-02-21T20:41:56.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,26.363337713534822,63.05912990196079,1610612740,7,2,2021-02-21T20:42:00Z,140000,-65.0,195.0,1,left,B. Ingram 20' pullup Jump Shot (2 PTS) (W. Hernangomez 1 AST),"[1627742, 1626195]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,20.59,Made,2.0,W. Hernangomez,1626195.0,1.0,,,,,,,,,,,,,,,
16,PT10M16.00S,2021-02-21T20:42:09.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,72.48685939553219,79.97089460784314,1610612738,7,2,2021-02-21T20:42:56Z,160000,150.0,206.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M13.00S,2021-02-21T20:42:12.7Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,7,2,2021-02-21T20:42:14Z,170000,,,0,,W. Hernangomez REBOUND (Off:0 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,
18,PT10M01.00S,2021-02-21T20:42:24.5Z,1,REGULAR,3pt,Jump Shot,[],202339,15.850854139290407,5.706188725490196,1610612740,7,2,2021-02-21T20:42:29Z,180000,221.0,96.0,1,left,MISS E. Bledsoe 24' 3PT,[202339],1610612740.0,NOP,,,,Bledsoe,E. Bledsoe,,,,,24.16,Missed,,,,,,,,,,,,,,,,,,,
19,PT09M59.00S,2021-02-21T20:42:26.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,7,2,2021-02-21T20:42:29Z,190000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT09M48.00S,2021-02-21T20:42:38.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,91.14651773981603,45.90226715686275,1610612738,7,2,2021-02-21T20:42:40Z,200000,-20.0,31.0,1,right,MISS T. Thompson Hook,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,3.69,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M46.00S,2021-02-21T20:42:39.6Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612740,7,2,2021-02-21T20:42:39Z,210000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT09M42.00S,2021-02-21T20:42:44.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628366,11.514454664914586,19.186580882352942,1610612740,9,2,2021-02-21T20:42:53Z,220000,154.0,56.0,1,left,L. Ball 16' pullup bank Jump Shot (5 PTS),[1628366],1610612740.0,NOP,pullup bank,,,Ball,L. Ball,,,,,16.39,Made,5.0,,,,,,,,,,,,,,,,,,
23,PT09M30.00S,2021-02-21T20:42:56.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,76.5604467805519,87.56893382352942,1610612738,9,2,2021-02-21T20:45:58Z,230000,188.0,168.0,1,right,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2021-02-21T20:42:58.3Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612740,9,2,2021-02-21T20:43:00Z,240000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,
25,PT09M18.00S,2021-02-21T20:43:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202339,4.681340341655716,53.255208333333336,1610612740,11,2,2021-02-21T20:43:29Z,250000,-16.0,-8.0,1,left,E. Bledsoe driving Layup (2 PTS) (L. Ball 2 AST),"[202339, 1628366]",1610612740.0,NOP,driving,,,Bledsoe,E. Bledsoe,,,,,1.84,Made,2.0,L. Ball,1628366.0,2.0,,,,,,,,,,,,,,,
26,PT09M18.00S,2021-02-21T20:43:15.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,2,2021-02-21T20:43:15Z,260000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M05.00S,2021-02-21T20:46:43.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,74.98357424441524,44.921875,1610612738,11,2,2021-02-21T20:46:52Z,270000,-25.0,183.0,1,right,MISS J. Brown 18' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.45,Missed,,,,,,,,,,,,,,,,,,,
