actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-03-03T00:51:16.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-03T00:51:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-03T00:51:18.5Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-03-03T00:51:18Z,40000,,,0,,Jump Ball D. Theis vs. S. Ibaka: Tip to K. Walker,"[202689, 1628464, 201586]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-03-03T00:51:33.2Z,1,REGULAR,foul,personal,[],202331,,,1610612738,0,0,2021-03-03T00:51:44Z,70000,,,0,,P. George personal FOUL (1 PF),"[202331, 202689]",1610612746.0,LAC,,,,George,P. George,,,,,202049.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-03-03T00:51:54.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,81.68528252299606,41.490502450980394,1610612738,2,0,2021-03-03T00:52:02Z,90000,-43.0,120.0,1,right,T. Thompson 12' driving Hook (2 PTS) (K. Walker 1 AST),"[202684, 202689]",1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,,,,,,12.7,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,,
11,PT11M17.00S,2021-03-03T00:52:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,7.5722733245729295,44.18658088235294,1610612746,2,2,2021-03-03T00:52:24Z,110000,29.0,19.0,1,left,P. George driving Layup (2 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,,,,,,3.46,Made,2.0,,,,,,,,,,,,,
12,PT11M05.00S,2021-03-03T00:52:28.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.66294349540078,62.07873774509803,1610612738,4,2,2021-03-03T00:52:36Z,120000,60.0,148.0,1,right,J. Brown 15' pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,15.99,Made,2.0,,,,,,,,,,,,,
13,PT10M49.00S,2021-03-03T00:52:43.5Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,4,2,2021-03-03T00:52:49Z,130000,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1628369]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,
14,PT10M49.00S,2021-03-03T00:52:43.5Z,1,REGULAR,steal,,[],1628369,,,1610612738,4,2,2021-03-03T00:52:45Z,140000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-03-03T00:52:47.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,92.46057818659659,49.82383578431372,1610612738,6,2,2021-03-03T00:54:41Z,150000,-1.0,18.0,1,right,J. Brown running Layup (4 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,1.84,Made,4.0,,,,,,,,,,,,,
16,PT10M31.00S,2021-03-03T00:53:01.8Z,1,REGULAR,2pt,Jump Shot,[],201587,6.258212877792378,74.08854166666666,1610612746,6,4,2021-03-03T00:53:11Z,160000,-120.0,6.0,1,left,N. Batum 12' fadeaway bank Jump Shot (2 PTS),[201587],1610612746.0,LAC,fadeaway bank,,,Batum,N. Batum,,,,,,,,,,12.06,Made,2.0,,,,,,,,,,,,,
