actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-02-14T18:10:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-02-14T18:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-02-14T18:10:24.1Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-02-14T18:10:24Z,40000,,,0,,Jump Ball D. Theis vs. M. Wagner: Tip to K. Walker,"[202689, 1628464, 1629021]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Theis,1628464.0,Wagner,1629021.0,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2021-02-14T18:10:32.7Z,1,REGULAR,foul,personal,[],1629726,,,1610612738,0,0,2021-02-14T18:10:40Z,70000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 1627759]",1610612764.0,WAS,,,,Mathews,G. Mathews,,,,,1146.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-02-14T18:10:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,80.23981603153744,52.27481617647059,1610612738,0,2,2021-02-14T18:10:56Z,90000,11.0,133.0,1,right,D. Theis 13' Jump Shot (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,13.37,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,
11,PT11M22.00S,2021-02-14T18:11:10.6Z,1,REGULAR,2pt,Jump Shot,[],1629060,19.92444152431012,76.04932598039215,1610612764,0,2,2021-02-14T18:11:15Z,110000,-130.0,135.0,1,left,MISS R. Hachimura 18' step back Shot,[1629060],1610612764.0,WAS,step back,,,Hachimura,R. Hachimura,,,,,,,,,,18.74,Missed,,,,,,,,,,,,,
12,PT11M19.00S,2021-02-14T18:11:13.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2021-02-14T18:11:15Z,120000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M13.00S,2021-02-14T18:11:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,50.314031862745104,1610612738,0,2,2021-02-14T18:11:23Z,130000,2.0,27.0,1,right,MISS J. Brown Layup,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,2.7,Missed,,,,,,,,,,,,,
14,PT11M11.00S,2021-02-14T18:11:21.8Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612764,0,2,2021-02-14T18:11:23Z,140000,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612764.0,WAS,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M03.00S,2021-02-14T18:11:30.1Z,1,REGULAR,2pt,Jump Shot,[],203078,24.655059132720105,51.53952205882353,1610612764,2,2,2021-02-14T18:11:34Z,150000,-8.0,179.0,1,left,B. Beal 17' pullup Jump Shot (2 PTS) (R. Westbrook 1 AST),"[203078, 201566]",1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,,,,,,17.95,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,
17,PT10M50.00S,2021-02-14T18:11:42.7Z,1,REGULAR,3pt,Jump Shot,[],202689,69.07030223390277,31.93167892156863,1610612738,2,2,2021-02-14T18:11:46Z,170000,-90.0,238.0,1,right,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,25.47,Missed,,,,,,,,,,,,,
