actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-03-16T23:45:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-16T23:45:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-16T23:45:47.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-03-16T23:45:47Z,40000,,,0,,Jump Ball R. Gobert vs. D. Theis: Tip to R. O'Neale,"[1626220, 203497, 1628464]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-03-16T23:46:02.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,91.80354796320631,59.872855392156865,1610612762,0,0,2021-03-16T23:46:08Z,70000,49.0,25.0,1,right,MISS D. Mitchell driving floating Shot,[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,5.51,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-03-16T23:46:05.5Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2021-03-16T23:46:08Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-03-16T23:46:10.9Z,1,REGULAR,2pt,Jump Shot,[],1628464,25.18068331143233,51.78462009803921,1610612738,2,0,2021-03-16T23:46:16Z,90000,-9.0,184.0,1,left,D. Theis 18' Jump Shot (2 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,18.44,Made,,,,,2.0,K. Walker,202689.0,1.0,,,,,,,,,,,
11,PT11M13.00S,2021-03-16T23:46:30.8Z,1,REGULAR,3pt,Jump Shot,[],201144,91.40932982917214,94.67677696078431,1610612762,2,0,2021-03-16T23:46:37Z,110000,223.0,28.0,1,right,MISS M. Conley step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,22.52,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-03-16T23:46:32.8Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,2,0,2021-03-16T23:46:37Z,120000,,,0,,D. Theis REBOUND (Off:0 Def:2),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M05.00S,2021-03-16T23:46:39.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202689,32.40801576872536,46.88265931372549,1610612738,2,0,2021-03-16T23:46:47Z,130000,16.0,252.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,25.26,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-03-16T23:46:41.4Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,2,0,2021-03-16T23:46:41Z,140000,,,0,,J. Tatum REBOUND (Off:1 Def:0),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
15,PT10M55.00S,2021-03-16T23:46:48.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,3.235873850197109,95.41207107843137,1610612738,2,0,2021-03-16T23:46:57Z,150000,-227.0,-22.0,1,left,MISS J. Tatum step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
