actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-03-18T00:11:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-18T00:11:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-03-18T00:11:48.8Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612739,0,0,2021-03-18T00:11:48Z,40000,,,0,,Jump Ball J. Allen vs. D. Theis: Tip to C. Sexton,"[1629012, 1628386, 1628464]",1610612739.0,CLE,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Allen,1628386.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-03-18T00:12:06.7Z,1,REGULAR,foul,personal,[],1628400,,,1610612739,0,0,2021-03-18T00:12:15Z,70000,,,0,,S. Ojeleye personal FOUL (1 PF),"[1628400, 1630171]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,1151.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-03-18T00:12:31.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,10.5946123521682,40.01991421568628,1610612739,0,0,2021-03-18T00:12:36Z,90000,50.0,47.0,1,left,MISS J. Allen 6' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,,,,,,6.86,Missed,,,,,,,,,,,,,,
10,PT11M27.00S,2021-03-18T00:12:33.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-03-18T00:12:36Z,100000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M20.00S,2021-03-18T00:12:40.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.85873850197109,71.39246323529412,1610612738,0,0,2021-03-18T00:12:44Z,110000,107.0,231.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,25.44,Missed,,,,,,,,,,,,,,
12,PT11M18.00S,2021-03-18T00:12:44.0Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612738,0,0,2021-03-18T00:12:44Z,120000,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M09.00S,2021-03-18T00:12:53.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,94.69448094612353,1.5395220588235294,1610612738,0,0,2021-03-18T00:12:58Z,130000,-242.0,-3.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,24.23,Missed,,,,,,,,,,,,,,
14,PT11M04.00S,2021-03-18T00:12:58.1Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612739,0,0,2021-03-18T00:12:58Z,140000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M58.00S,2021-03-18T00:13:04.4Z,1,REGULAR,3pt,Jump Shot,[],1626204,32.14520367936925,50.06893382352941,1610612739,0,0,2021-03-18T00:13:07Z,150000,0.0,250.0,1,left,MISS L. Nance Jr. 24' 3PT,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,24.97,Missed,,,,,,,,,,,,,,
