actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-03-23T01:11:03.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-23T01:11:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-03-23T01:11:05.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2021-03-23T01:11:05Z,40000,,,0,,Jump Ball D. Theis vs. J. Valanciunas: Tip to J. Brown,"[1627759, 1628464, 202685]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Theis,1628464.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-03-23T01:11:15.6Z,1,REGULAR,2pt,Jump Shot,[],1628464,23.078186596583443,52.76501225490197,1610612738,0,2,2021-03-23T01:11:21Z,70000,-14.0,164.0,1,left,D. Theis 16' Jump Shot (2 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,16.5,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-03-23T01:11:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,67.49342969776609,38.794424019607845,1610612763,0,2,2021-03-23T01:11:51Z,90000,-56.0,253.0,1,right,MISS D. Brooks 25' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2021-03-23T01:11:48.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,2,2021-03-23T01:11:48Z,100000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2021-03-23T01:11:55.9Z,1,REGULAR,3pt,Jump Shot,[],201952,32.40801576872536,39.77481617647059,1610612738,0,5,2021-03-23T01:12:00Z,110000,51.0,252.0,1,left,J. Teague 25' 3PT step back (3 PTS),[201952],1610612738.0,BOS,step back,,,Teague,J. Teague,,,,,25.72,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2021-03-23T01:12:24.6Z,1,REGULAR,foul,offensive,[],1629630,,,1610612763,0,5,2021-03-23T01:12:28Z,130000,,,0,,J. Morant charge offensive FOUL (1 PF),"[1629630, 1628400]",1610612763.0,MEM,charge,,,Morant,J. Morant,,,,,,,,,,,,,,,1148.0,1.0,0.0,Ojeleye,1628400.0,,,,,,
15,PT10M44.00S,2021-03-23T01:12:24.6Z,1,REGULAR,turnover,offensive foul,[],1629630,,,1610612763,0,5,2021-03-23T01:12:24Z,150000,,,0,,J. Morant offensive foul TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,1148.0,,,,,1.0,,,,,
16,PT10M34.00S,2021-03-23T01:12:42.8Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,0,5,2021-03-23T01:12:46Z,160000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1628415]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,1.0,Brooks,1628415.0,,,
17,PT10M34.00S,2021-03-23T01:12:42.8Z,1,REGULAR,steal,,[],1628415,,,1610612763,0,5,2021-03-23T01:12:44Z,170000,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
