actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-03-24T23:45:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-24T23:45:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-03-24T23:46:03.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2021-03-24T23:46:03Z,40000,,,0,,Jump Ball B. Lopez vs. D. Theis: Tip to G. Antetokounmpo,"[203507, 201572, 1628464]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-03-24T23:46:15.9Z,1,REGULAR,3pt,Jump Shot,[],201950,89.70105124835742,3.2552083333333335,1610612749,3,0,2021-03-24T23:46:21Z,70000,-234.0,44.0,1,right,J. Holiday 3PT  (3 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,23.79,Made,3.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2021-03-24T23:46:30.8Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.50131406044678,56.93167892156863,1610612738,3,2,2021-03-24T23:46:57Z,90000,-35.0,150.0,1,left,J. Brown 15' floating Jump Shot (2 PTS),[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,15.36,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-03-24T23:46:43.7Z,1,REGULAR,3pt,Jump Shot,[],201572,94.56307490144546,95.16697303921569,1610612749,6,2,2021-03-24T23:46:48Z,110000,226.0,-1.0,1,right,B. Lopez 3PT  (3 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,22.58,Made,3.0,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2021-03-24T23:47:06.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,9.543363994743759,36.34344362745098,1610612738,6,2,2021-03-24T23:47:12Z,120000,68.0,37.0,1,left,MISS D. Theis 7' Jump Shot,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,7.78,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2021-03-24T23:47:10.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,6,2,2021-03-24T23:47:10Z,130000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT10M46.00S,2021-03-24T23:47:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,5.590000152587891,50.0,1610612738,6,4,2021-03-24T23:47:10Z,140000,0.0,0.0,1,left,J. Brown tip Layup (4 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2021-03-24T23:47:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,91.67214191852825,52.029718137254896,1610612749,6,4,2021-03-24T23:47:23Z,150000,10.0,26.0,1,right,MISS K. Middleton driving Layup - blocked,"[203114, 1628369]",1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,2.77,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,
16,PT10M43.00S,2021-03-24T23:47:17.2Z,1,REGULAR,block,,[],1628369,,,1610612749,6,4,2021-03-24T23:47:21Z,160000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2021-03-24T23:47:17.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,6,4,2021-03-24T23:47:23Z,170000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
18,PT10M43.00S,2021-03-24T23:47:24.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,6,4,2021-03-24T23:47:24Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2021-03-24T23:47:36.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203114,71.82982917214193,80.4610906862745,1610612749,9,4,2021-03-24T23:47:42Z,190000,152.0,212.0,1,right,K. Middleton 26' 3PT step back (3 PTS),[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,26.13,Made,3.0,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-03-24T23:47:51.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,32.14520367936925,66.49050245098039,1610612738,9,7,2021-03-24T23:47:56Z,200000,-82.0,250.0,1,left,J. Brown 26' 3PT pullup (7 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.3,Made,7.0,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2021-03-24T23:48:09.4Z,1,REGULAR,2pt,Jump Shot,[],203507,94.1688567674113,69.43167892156863,1610612749,9,7,2021-03-24T23:48:14Z,210000,97.0,2.0,1,right,MISS G. Antetokounmpo 9' turnaround fadeaway Shot,[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,9.72,Missed,,,,,,,,,,,,,,,,,,
22,PT09M59.00S,2021-03-24T23:48:11.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,7,2021-03-24T23:48:14Z,220000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M53.00S,2021-03-24T23:48:18.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,8.360709592641262,50.80422794117647,1610612738,9,9,2021-03-24T23:48:24Z,230000,-4.0,26.0,1,left,D. Theis cutting DUNK (2 PTS) (M. Smart 1 AST),"[1628464, 203935]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,2.64,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
25,PT09M32.00S,2021-03-24T23:48:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,81.94809461235218,41.00030637254902,1610612749,11,9,2021-03-24T23:48:44Z,250000,-45.0,117.0,1,right,B. Lopez 12' turnaround fadeaway Jump Shot (5 PTS),[201572],1610612749.0,MIL,turnaround fadeaway,,,Lopez,B. Lopez,,,,,12.55,Made,5.0,,,,,,,,,,,,,,,,,
26,PT09M19.00S,2021-03-24T23:48:52.2Z,1,REGULAR,3pt,Jump Shot,[],1628464,35.03613666228647,37.8140318627451,1610612738,11,12,2021-03-24T23:48:57Z,260000,61.0,277.0,1,left,D. Theis 28' 3PT  (5 PTS) (K. Walker 1 AST),"[1628464, 202689]",1610612738.0,BOS,,,,Theis,D. Theis,,,,,28.34,Made,5.0,K. Walker,202689.0,1.0,,,,,,,,,,,,,,
28,PT09M02.00S,2021-03-24T23:49:09.4Z,1,REGULAR,2pt,Jump Shot,[],203114,72.16861038107753,70.49632352941177,1610612749,11,12,2021-03-24T23:50:16Z,280000,102.0,209.0,1,right,MISS K. Middleton 23' Jump Shot,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,
29,PT08M58.00S,2021-03-24T23:49:13.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,11,12,2021-03-24T23:49:18Z,290000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT08M48.00S,2021-03-24T23:49:22.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.465834428383708,10.853247549019608,1610612738,11,12,2021-03-24T23:49:28Z,300000,196.0,215.0,1,left,MISS J. Tatum 29' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,29.08,Missed,,,,,,,,,,,,,,,,,,
31,PT08M45.00S,2021-03-24T23:49:25.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,11,12,2021-03-24T23:49:28Z,310000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
58,PT08M41.00S,2021-03-24T23:49:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,91.50788436268068,49.44087009803921,1610612749,11,12,2021-03-24T23:53:12Z,312500,-3.0,27.0,1,right,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 1628464]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,2.74,Missed,,,,,,,,,Theis,1628464.0,,,,,,,,
59,PT08M41.00S,2021-03-24T23:49:35.3Z,1,REGULAR,block,,[],1628464,,,1610612749,11,12,2021-03-24T23:53:12Z,313750,,,0,,D. Theis BLOCK (1 BLK),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
60,PT08M41.00S,2021-03-24T23:49:35.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,11,12,2021-03-24T23:53:12Z,314375,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,
55,PT08M41.00S,2021-03-24T23:49:47.7Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612749,11,12,2021-03-24T23:54:18Z,317187,,,0,,Jump Ball G. Antetokounmpo vs. D. Theis: Tip to D. DiVincenzo,"[1628978, 203507, 1628464]",1610612749.0,MIL,heldball,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Antetokounmpo,203507.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
32,PT08M34.00S,2021-03-24T23:50:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201950,94.69448094612353,35.853247549019606,1610612749,13,12,2021-03-24T23:53:12Z,320000,-71.0,-3.0,1,right,J. Holiday 7' driving Layup (5 PTS),[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,7.07,Made,5.0,,,,,,,,,,,,,,,,,
