actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-03-26T23:45:39.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-26T23:45:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-03-26T23:45:42.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-03-26T23:45:42Z,40000,,,0,,Jump Ball R. Williams III vs. B. Lopez: Tip to M. Smart,"[203935, 1629057, 201572]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-03-26T23:46:00.2Z,1,REGULAR,foul,personal,['3freethrow'],1628978,,,1610612738,0,0,2021-03-26T23:46:11Z,70000,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Walker 3 FT),"[1628978, 202689]",1610612749.0,MIL,shooting,,,DiVincenzo,D. DiVincenzo,,,,,2530.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2021-03-26T23:46:19.8Z,1,REGULAR,freethrow,1 of 3,[],202689,,,1610612738,0,1,2021-03-26T23:46:19Z,90000,,,0,,K. Walker Free Throw 1 of 3 (1 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2021-03-26T23:46:33.6Z,1,REGULAR,freethrow,2 of 3,[],202689,,,1610612738,0,2,2021-03-26T23:46:33Z,100000,,,0,,K. Walker Free Throw 2 of 3 (2 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M46.00S,2021-03-26T23:46:50.5Z,1,REGULAR,freethrow,3 of 3,[],202689,,,1610612738,0,3,2021-03-26T23:46:50Z,110000,,,0,,K. Walker Free Throw 3 of 3 (3 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
12,PT11M29.00S,2021-03-26T23:47:08.8Z,1,REGULAR,turnover,lost ball,[],201950,,,1610612749,0,3,2021-03-26T23:47:15Z,120000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[201950, 202689]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,1.0,Walker,202689.0,,,,,,,,,,
13,PT11M29.00S,2021-03-26T23:47:08.8Z,1,REGULAR,steal,,[],202689,,,1610612738,0,3,2021-03-26T23:47:12Z,130000,,,0,,K. Walker STEAL (1 STL),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2021-03-26T23:47:19.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,11.251642575558476,16.735600490196077,1610612738,0,5,2021-03-26T23:47:25Z,140000,166.0,53.0,1,left,J. Tatum 17' pullup Jump Shot (2 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,Made,2.0,,,,17.46,R. Williams III,1629057.0,1.0,,,,,,
16,PT11M09.00S,2021-03-26T23:47:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628978,75.90341655716163,90.51011029411765,1610612749,3,5,2021-03-26T23:47:34Z,160000,203.0,174.0,1,right,D. DiVincenzo 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628978, 203507]",1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Made,3.0,,,,26.71,G. Antetokounmpo,203507.0,1.0,,,,,,
