actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-03-28T01:10:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-28T01:10:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-03-28T01:10:15.2Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-03-28T01:10:15Z,40000,,,0,,Jump Ball R. Williams III vs. M. Brown: Tip to M. Smart,"[203935, 1629057, 1629650]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Brown,1629650.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-03-28T01:10:29.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,7.046649145860711,69.18658088235294,1610612738,0,0,2021-03-28T01:10:36Z,70000,-96.0,14.0,1,left,MISS J. Tatum 9' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,9.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-03-28T01:10:32.3Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,0,0,2021-03-28T01:11:48Z,80000,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2021-03-28T01:10:43.2Z,1,REGULAR,3pt,Jump Shot,[],1630197,72.09264126149803,20.657169117647058,1610612760,0,0,2021-03-28T01:10:48Z,90000,-147.0,210.0,1,right,MISS A. Pokusevski 25' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-03-28T01:10:46.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2021-03-28T01:10:48Z,100000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2021-03-28T01:10:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.389618922470433,55.21599264705882,1610612738,0,0,2021-03-28T01:11:06Z,110000,-26.0,8.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2021-03-28T01:11:00.7Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612760,0,0,2021-03-28T01:13:26Z,120000,,,0,,M. Brown REBOUND (Off:0 Def:2),[1629650],1610612760.0,OKC,,,,Brown,M. Brown,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2021-03-28T01:11:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,90.48948751642575,4.970894607843137,1610612760,3,0,2021-03-28T01:11:16Z,130000,-225.0,37.0,1,right,L. Dort 3PT  (3 PTS) (A. Pokusevski 1 AST),"[1629652, 1630197]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,22.81,Made,,,,,3.0,A. Pokusevski,1630197.0,1.0,,,,,,,,,,
15,PT10M45.00S,2021-03-28T01:11:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.046649145860711,48.353247549019606,1610612738,3,0,2021-03-28T01:11:34Z,150000,8.0,14.0,1,left,MISS J. Tatum cutting Layup,[1628369],1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,1.6,Missed,,,,,,,,,,,,,,,,,,
