actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-03-31T23:45:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-03-31T23:45:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-03-31T23:46:16.0Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-03-31T23:46:16Z,40000,,,0,,Jump Ball M. Wagner vs. M. Kleber: Tip to K. Walker,"[202689, 1629021, 1628467]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Wagner,1629021.0,Kleber,1628467.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-03-31T23:46:33.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,65.25952693823915,56.93167892156863,1610612738,0,0,2021-03-31T23:46:45Z,70000,35.0,274.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-03-31T23:46:37.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,0,0,2021-03-31T23:47:08Z,80000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2021-03-31T23:46:57.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,0,0,2021-03-31T23:46:57Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-03-31T23:47:12.0Z,1,REGULAR,2pt,Jump Shot,[],204001,9.937582128777924,76.53952205882352,1610612742,0,2,2021-04-01T00:03:43Z,120000,-133.0,41.0,1,left,K. Porzingis 13' Jump Shot (2 PTS) (J. Richardson 1 AST),"[204001, 1626196]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,13.89,Made,,,,,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,
13,PT11M00.00S,2021-03-31T23:47:29.2Z,1,REGULAR,3pt,Jump Shot,[],203935,66.83639947437582,22.863051470588236,1610612738,0,2,2021-03-31T23:47:34Z,130000,-136.0,259.0,1,right,MISS M. Smart 29' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,29.26,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2021-03-31T23:47:32.2Z,1,REGULAR,rebound,offensive,[],1629021,,,1610612738,0,2,2021-03-31T23:47:34Z,140000,,,0,,M. Wagner REBOUND (Off:1 Def:0),[1629021],1610612738.0,BOS,,,,Wagner,M. Wagner,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT10M49.00S,2021-03-31T23:47:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202689,92.19776609724047,46.88265931372549,1610612738,2,2,2021-03-31T23:47:46Z,150000,-16.0,21.0,1,right,K. Walker driving Layup (2 PTS) (M. Wagner 1 AST),"[202689, 1629021]",1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,2.6,Made,,,,,2.0,M. Wagner,1629021.0,1.0,,,,,,,,,,
17,PT10M36.00S,2021-03-31T23:47:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.273981603153747,35.36305147058824,1610612742,2,4,2021-03-31T23:47:59Z,170000,73.0,82.0,1,left,L. Doncic 10' turnaround Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,10.97,Made,,,,,2.0,,,,,,,,,,,,,
