actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-04-07T23:40:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-07T23:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-07T23:40:45.5Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612752,0,0,2021-04-07T23:40:45Z,40000,,,0,,Jump Ball N. Noel vs. R. Williams III: Tip to R. Barrett,"[1629628, 203457, 1629057]",1610612752.0,NYK,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Noel,203457.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-04-07T23:41:00.5Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612752,0,0,2021-04-07T23:41:13Z,70000,,,0,,R. Langford shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629641, 1629628]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,1628484.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-04-07T23:41:19.4Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,1,2021-04-07T23:41:37Z,90000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M44.00S,2021-04-07T23:41:19.4Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,0,1,2021-04-07T23:41:37Z,100000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,,,,,,,,,,,,,,
11,PT11M44.00S,2021-04-07T23:41:19.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,1,2021-04-07T23:41:37Z,110000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M25.00S,2021-04-07T23:41:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.23981603153744,40.510110294117645,1610612738,2,1,2021-04-07T23:41:57Z,120000,-47.0,133.0,1,right,J. Brown 14' fadeaway Jump Shot (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,,,,,,Made,2.0,,,,,14.14,J. Tatum,1628369.0,1.0,,,,,,
14,PT11M14.00S,2021-04-07T23:42:03.3Z,1,REGULAR,turnover,backcourt,[],203901,,,1610612752,2,1,2021-04-07T23:42:18Z,140000,,,0,,E. Payton backcourt TURNOVER (1 TO),[203901],1610612752.0,NYK,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,1.0,,,,,
15,PT10M58.00S,2021-04-07T23:42:42.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,2,1,2021-04-07T23:42:42Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2021-04-07T23:43:19.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,77.21747700394218,54.970894607843135,1610612738,2,1,2021-04-07T23:43:28Z,190000,25.0,162.0,1,right,MISS J. Tatum 16' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,,,,,,Missed,,,,,,16.36,,,,,,,,,
