actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-04-16T02:15:39.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-16T02:15:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-16T02:15:42.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-04-16T02:15:42Z,40000,,,0,,Jump Ball T. Thompson vs. M. Gasol: Tip to M. Smart,"[203935, 202684, 201188]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Thompson,202684.0,Gasol,201188.0,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2021-04-16T02:15:49.6Z,1,REGULAR,foul,personal,[],203484,,,1610612738,0,0,2021-04-16T02:16:06Z,70000,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 1627759]",1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1162.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2021-04-16T02:16:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.19776609724047,49.82383578431372,1610612738,0,2,2021-04-16T02:16:32Z,90000,-1.0,21.0,1,right,J. Brown driving Layup (2 PTS) (K. Walker 1 AST),"[1627759, 202689]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,2.08,Made,2.0,K. Walker,202689.0,1.0,,,,,,,,,
11,PT11M12.00S,2021-04-16T02:16:55.6Z,1,REGULAR,2pt,Jump Shot,[],202083,4.681340341655716,31.686580882352942,1610612747,0,2,2021-04-16T02:17:59Z,110000,92.0,-8.0,1,left,MISS W. Matthews 9' floating Shot,[202083],1610612747.0,LAL,floating,,,Matthews,W. Matthews,,,,,,,,,,9.2,Missed,,,,,,,,,,,,,
12,PT11M11.00S,2021-04-16T02:16:56.6Z,1,REGULAR,rebound,offensive,[],201188,,,1610612747,0,2,2021-04-16T02:17:59Z,120000,,,0,,M. Gasol REBOUND (Off:1 Def:0),[201188],1610612747.0,LAL,,,,Gasol,M. Gasol,,,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,
13,PT11M04.00S,2021-04-16T02:17:04.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,5.338370565045992,95.16697303921569,1610612747,0,2,2021-04-16T02:17:09Z,130000,-226.0,-2.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612747.0,LAL,,,,Kuzma,K. Kuzma,,,,,,,,,,22.58,Missed,,,,,,,,,,,,,
14,PT11M00.00S,2021-04-16T02:17:08.5Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,0,2,2021-04-16T02:17:09Z,140000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M52.00S,2021-04-16T02:17:16.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,72.35545335085413,81.19638480392157,1610612738,0,5,2021-04-16T02:17:20Z,150000,156.0,207.0,1,right,J. Brown 25' 3PT  (5 PTS) (T. Thompson 1 AST),"[1627759, 202684]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,25.95,Made,5.0,T. Thompson,202684.0,1.0,,,,,,,,,
17,PT10M43.00S,2021-04-16T02:17:24.9Z,1,REGULAR,3pt,Jump Shot,[],202083,8.754927726675426,4.725796568627451,1610612747,0,5,2021-04-16T02:17:30Z,170000,226.0,30.0,1,left,MISS W. Matthews 3PT,[202083],1610612747.0,LAL,,,,Matthews,W. Matthews,,,,,,,,,,22.84,Missed,,,,,,,,,,,,,
18,PT10M40.00S,2021-04-16T02:17:27.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,5,2021-04-16T02:17:30Z,180000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M33.00S,2021-04-16T02:17:35.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.94809461235218,44.18658088235294,1610612738,0,5,2021-04-16T02:17:43Z,190000,-29.0,117.0,1,right,MISS J. Brown 12' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,12.08,Missed,,,,,,,,,,,,,
20,PT10M30.00S,2021-04-16T02:17:38.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,5,2021-04-16T02:17:43Z,200000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,
21,PT10M30.00S,2021-04-16T02:17:43.4Z,1,REGULAR,foul,personal,[],203484,,,1610612738,0,5,2021-04-16T02:17:49Z,210000,,,0,,K. Caldwell-Pope loose ball personal FOUL (2 PF),"[203484, 202684]",1610612747.0,LAL,loose ball,,,Caldwell-Pope,K. Caldwell-Pope,,,,,202026.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,
23,PT10M30.00S,2021-04-16T02:17:59.1Z,1,REGULAR,substitution,out,[],203484,,,1610612738,0,5,2021-04-16T02:18:17Z,230000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612747.0,LAL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2021-04-16T02:17:59.1Z,1,REGULAR,substitution,in,[],1629659,,,1610612738,0,5,2021-04-16T02:18:17Z,240000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2021-04-16T02:18:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,89.83245729303549,41.00030637254902,1610612738,0,7,2021-04-16T02:19:54Z,250000,-45.0,43.0,1,right,J. Tatum 6' floating Jump Shot (2 PTS),[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,,,,,,6.23,Made,2.0,,,,,,,,,,,,
