actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-04-18T00:40:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-18T00:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-04-18T00:40:44.8Z,1,REGULAR,jumpball,recovered,[],203145,,,1610612744,0,0,2021-04-18T00:40:44Z,40000,,,0,,Jump Ball K. Looney vs. T. Thompson: Tip to K. Bazemore,"[203145, 1626172, 202684]",1610612744.0,GSW,startperiod,K. Bazemore,203145.0,Bazemore,K. Bazemore,Looney,1626172.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-04-18T00:40:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203145,6.258212877792378,52.51991421568627,1610612744,0,0,2021-04-18T00:41:03Z,70000,-13.0,6.0,1,left,MISS K. Bazemore cutting Layup,[203145],1610612744.0,GSW,cutting,,,Bazemore,K. Bazemore,,,,,1.41,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-04-18T00:40:57.3Z,1,REGULAR,rebound,offensive,[],203145,,,1610612744,0,0,2021-04-18T00:41:03Z,80000,,,0,,K. Bazemore REBOUND (Off:1 Def:0),[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-04-18T00:40:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203145,6.1268068331143235,45.90226715686275,1610612744,0,2,2021-04-18T00:41:08Z,90000,20.0,5.0,1,left,K. Bazemore putback Layup (2 PTS),[203145],1610612744.0,GSW,putback,,,Bazemore,K. Bazemore,,,,,2.11,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2021-04-18T00:41:16.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,90.3580814717477,58.647365196078425,1610612738,0,2,2021-04-18T00:41:23Z,100000,43.0,38.0,1,right,MISS T. Thompson driving Hook,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,5.76,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-04-18T00:41:18.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,2,2021-04-18T00:41:23Z,110000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M12.00S,2021-04-18T00:41:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,18.478975032851512,37.07873774509804,1610612744,0,2,2021-04-18T00:41:36Z,120000,65.0,121.0,1,left,MISS D. Green 13' Jump Shot,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,13.73,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2021-04-18T00:41:30.8Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,0,2,2021-04-18T00:41:36Z,130000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-04-18T00:41:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.19776609724047,52.029718137254896,1610612738,2,2,2021-04-18T00:41:53Z,140000,10.0,21.0,1,right,K. Walker driving reverse Layup (2 PTS),[202689],1610612738.0,BOS,driving reverse,,,Walker,K. Walker,,,,,2.31,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M38.00S,2021-04-18T00:42:05.2Z,1,REGULAR,foul,personal,[],203935,,,1610612744,2,2,2021-04-18T00:42:12Z,150000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 201939]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,204059.0,1.0,0.0,Curry,201939.0,,,,,,,,,
17,PT10M31.00S,2021-04-18T00:42:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,10.200394218134035,37.56893382352941,1610612744,2,2,2021-04-18T00:43:35Z,170000,62.0,43.0,1,left,MISS S. Curry 7' driving finger roll Layup,[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,7.58,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2021-04-18T00:42:33.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,2,2021-04-18T00:42:42Z,180000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
19,PT10M30.00S,2021-04-18T00:42:37.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626172,5.590000152587891,50.0,1610612744,2,4,2021-04-18T00:42:50Z,190000,0.0,0.0,1,left,K. Looney tip Layup (2 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
20,PT10M18.00S,2021-04-18T00:42:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628400,91.80354796320631,61.34344362745098,1610612738,4,4,2021-04-18T00:42:52Z,200000,57.0,25.0,1,right,S. Ojeleye 6' driving Layup (2 PTS),[1628400],1610612738.0,BOS,driving,,,Ojeleye,S. Ojeleye,,,,,6.18,Made,,,,,2.0,,,,,,,,,,,,,,
21,PT10M05.00S,2021-04-18T00:42:57.8Z,1,REGULAR,3pt,Jump Shot,[],201939,27.808804204993432,76.53952205882352,1610612744,4,7,2021-04-18T00:43:04Z,210000,-133.0,209.0,1,left,S. Curry 24' 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,24.75,Made,,,,,3.0,,,,,,D. Green,203110.0,1.0,,,,,,
23,PT09M45.00S,2021-04-18T00:43:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.59855453350855,38.05912990196079,1610612738,6,7,2021-04-18T00:43:28Z,230000,-60.0,64.0,1,right,J. Tatum 8' driving floating Jump Shot (2 PTS) (S. Ojeleye 1 AST),"[1628369, 1628400]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,8.76,Made,,,,,2.0,,,,,,S. Ojeleye,1628400.0,1.0,,,,,,
25,PT09M45.00S,2021-04-18T00:43:23.9Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612738,6,7,2021-04-18T00:43:31Z,250000,,,0,,K. Looney shooting personal FOUL (1 PF) (Tatum 1 FT),"[1626172, 1628369]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,1198.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
27,PT09M45.00S,2021-04-18T00:43:45.2Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,7,7,2021-04-18T00:43:45Z,270000,,,0,,J. Tatum Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
28,PT09M32.00S,2021-04-18T00:44:00.5Z,1,REGULAR,2pt,Jump Shot,[],203952,14.273981603153747,71.14736519607843,1610612744,7,9,2021-04-18T00:44:05Z,280000,-106.0,82.0,1,left,A. Wiggins 13' pullup Jump Shot (2 PTS),[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,13.36,Made,,,,,2.0,,,,,,,,,,,,,,
29,PT09M14.00S,2021-04-18T00:44:19.9Z,1,REGULAR,foul,personal,[],201939,,,1610612738,7,9,2021-04-18T00:44:28Z,290000,,,0,,S. Curry personal FOUL (1 PF),"[201939, 202689]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,1148.0,1.0,0.0,Walker,202689.0,,,,,,,,,
31,PT09M06.00S,2021-04-18T00:44:49.8Z,1,REGULAR,3pt,Jump Shot,[],1628400,69.33311432325887,26.53952205882353,1610612738,7,9,2021-04-18T00:44:57Z,310000,-117.0,236.0,1,right,MISS S. Ojeleye 26' 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2021-04-18T00:44:51.8Z,1,REGULAR,rebound,offensive,[],202689,,,1610612738,7,9,2021-04-18T00:44:57Z,320000,,,0,,K. Walker REBOUND (Off:1 Def:0),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-04-18T00:44:54.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,67.09921156373193,40.01991421568628,1610612738,10,9,2021-04-18T00:45:00Z,330000,-50.0,257.0,1,right,J. Tatum 26' 3PT  (6 PTS) (K. Walker 1 AST),"[1628369, 202689]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,26.16,Made,,,,,6.0,,,,,,K. Walker,202689.0,1.0,,,,,,
35,PT08M43.00S,2021-04-18T00:45:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203145,6.1268068331143235,52.76501225490197,1610612744,10,11,2021-04-18T00:45:16Z,350000,-14.0,5.0,1,left,K. Bazemore cutting Layup (4 PTS) (D. Green 2 AST),"[203145, 203110]",1610612744.0,GSW,cutting,,,Bazemore,K. Bazemore,,,,,1.47,Made,,,,,4.0,,,,,,D. Green,203110.0,2.0,,,,,,
37,PT08M33.00S,2021-04-18T00:45:22.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,73.9323258869908,16.00030637254902,1610612738,10,11,2021-04-18T00:46:08Z,370000,-170.0,193.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M29.00S,2021-04-18T00:45:26.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,10,11,2021-04-18T00:45:30Z,380000,,,0,,K. Looney REBOUND (Off:1 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
39,PT08M23.00S,2021-04-18T00:45:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203145,8.623521681997373,40.01991421568628,1610612744,10,13,2021-04-18T00:46:45Z,390000,50.0,29.0,1,left,K. Bazemore driving finger roll Layup (6 PTS) (D. Green 3 AST),"[203145, 203110]",1610612744.0,GSW,driving finger roll,,,Bazemore,K. Bazemore,,,,,5.75,Made,,,,,6.0,,,,,,D. Green,203110.0,3.0,,,,,,
41,PT07M55.00S,2021-04-18T00:46:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628400,92.32917214191852,95.90226715686273,1610612738,10,13,2021-04-18T00:46:06Z,410000,230.0,20.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M52.00S,2021-04-18T00:46:04.0Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,10,13,2021-04-18T00:46:04Z,420000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
43,PT07M44.00S,2021-04-18T00:46:11.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",202684,88.69908015768725,51.01485906862745,1610612738,10,13,2021-04-18T00:46:22Z,430000,5.0,54.0,1,right,MISS T. Thompson driving Hook,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,5.39,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M42.00S,2021-04-18T00:46:13.9Z,1,REGULAR,rebound,defensive,[],203145,,,1610612744,10,13,2021-04-18T00:46:22Z,440000,,,0,,K. Bazemore REBOUND (Off:1 Def:1),[203145],1610612744.0,GSW,,,,Bazemore,K. Bazemore,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
45,PT07M29.00S,2021-04-18T00:46:27.8Z,1,REGULAR,foul,personal,['2freethrow'],202689,,,1610612744,10,13,2021-04-18T00:46:38Z,450000,,,0,,K. Walker shooting personal FOUL (1 PF) (Wiggins 2 FT),"[202689, 203952]",1610612738.0,BOS,shooting,,,Walker,K. Walker,,,,,,,,,,,,1148.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
47,PT07M29.00S,2021-04-18T00:46:51.1Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,10,14,2021-04-18T00:46:51Z,470000,,,0,,A. Wiggins Free Throw 1 of 2 (3 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
48,PT07M29.00S,2021-04-18T00:47:07.7Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,10,15,2021-04-18T00:47:07Z,480000,,,0,,A. Wiggins Free Throw 2 of 2 (4 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
49,PT07M08.00S,2021-04-18T00:47:32.6Z,1,REGULAR,foul,offensive,[],1628369,,,1610612738,10,15,2021-04-18T00:47:55Z,490000,,,0,,J. Tatum charge offensive FOUL (1 PF),"[1628369, 1626172]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,,,,,,,,204059.0,1.0,0.0,Looney,1626172.0,,,,,,,,,
51,PT07M08.00S,2021-04-18T00:47:32.6Z,1,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,10,15,2021-04-18T00:47:32Z,510000,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,204059.0,,,,,,,,1.0,,,,,
