actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-04-19T23:40:23.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-19T23:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-04-19T23:40:26.4Z,1,REGULAR,jumpball,recovered,[],202684,,,1610612738,0,0,2021-04-19T23:40:26Z,40000,,,0,,Jump Ball T. Thompson vs. N. Vucevic: Tip to T. Thompson,"[202684, 202684, 202696]",1610612738.0,BOS,startperiod,T. Thompson,202684.0,Thompson,T. Thompson,Thompson,202684.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2021-04-19T23:40:33.6Z,1,REGULAR,turnover,backcourt,[],202684,,,1610612738,0,0,2021-04-19T23:40:54Z,70000,,,0,,T. Thompson backcourt TURNOVER (1 TO),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,204059.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2021-04-19T23:40:50.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628464,89.56964520367937,44.676776960784316,1610612741,0,0,2021-04-19T23:40:58Z,80000,-27.0,46.0,1,right,MISS D. Theis Jump Shot,[1628464],1610612741.0,CHI,,,,Theis,D. Theis,,,,,,,5.27,Missed,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-04-19T23:40:53.6Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,0,0,2021-04-19T23:40:53Z,90000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M28.00S,2021-04-19T23:41:09.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,13.61695137976347,41.490502450980394,1610612738,2,0,2021-04-19T23:41:14Z,100000,43.0,75.0,1,left,T. Thompson 8' Hook (2 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,8.66,Made,,,,,2.0,,,,,,,,,,,,
11,PT11M14.00S,2021-04-19T23:41:25.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,2,0,2021-04-19T23:41:25Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-04-19T23:41:44.7Z,1,REGULAR,2pt,Jump Shot,[],202066,78.0059132720105,69.67677696078431,1610612741,2,0,2021-04-19T23:41:51Z,120000,98.0,154.0,1,right,MISS G. Temple 18' Jump Shot,[202066],1610612741.0,CHI,,,,Temple,G. Temple,,,,,,,18.29,Missed,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2021-04-19T23:41:47.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2021-04-19T23:41:51Z,130000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M57.00S,2021-04-19T23:41:56.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,6.783837056504599,77.76501225490196,1610612738,4,0,2021-04-19T23:42:06Z,140000,-139.0,11.0,1,left,J. Brown 13' turnaround fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,,,13.93,Made,,,,,2.0,,,,,,,,,,,,
