actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-04-23T23:46:08.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-23T23:46:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-04-23T23:46:12.5Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2021-04-23T23:46:12Z,40000,,,0,,Jump Ball T. Thompson vs. D. Jordan: Tip to J. Tatum,"[1628369, 202684, 201599]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Thompson,202684.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-04-23T23:46:24.2Z,1,REGULAR,turnover,bad pass,[],1629641,,,1610612738,0,0,2021-04-23T23:46:28Z,70000,,,0,,R. Langford bad pass TURNOVER (1 TO),"[1629641, 202681]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,1.0,Irving,202681.0,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-04-23T23:46:24.2Z,1,REGULAR,steal,,[],202681,,,1610612751,0,0,2021-04-23T23:46:26Z,80000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-04-23T23:46:31.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201599,5.995400788436268,51.294424019607845,1610612751,2,0,2021-04-23T23:46:36Z,90000,-6.0,4.0,1,left,D. Jordan cutting DUNK (2 PTS) (K. Irving 1 AST),"[201599, 202681]",1610612751.0,BKN,cutting,,,Jordan,D. Jordan,,,,,,,,0.76,Made,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,,
11,PT11M23.00S,2021-04-23T23:46:44.2Z,1,REGULAR,3pt,Jump Shot,[],1628400,94.95729303547962,96.6375612745098,1610612738,2,3,2021-04-23T23:46:48Z,110000,233.0,-5.0,1,right,S. Ojeleye 3PT  (3 PTS) (J. Tatum 1 AST),"[1628400, 1628369]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,23.33,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,
13,PT11M02.00S,2021-04-23T23:47:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201145,13.748357424441524,36.34344362745098,1610612751,2,3,2021-04-23T23:47:09Z,130000,68.0,77.0,1,left,MISS J. Green 10' pullup Shot,[201145],1610612751.0,BKN,pullup,,,Green,J. Green,,,,,,,,10.27,Missed,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-04-23T23:47:07.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,3,2021-04-23T23:47:09Z,140000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M55.00S,2021-04-23T23:47:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.41327201051249,64.5297181372549,1610612738,2,6,2021-04-23T23:47:25Z,150000,73.0,244.0,1,right,J. Tatum 25' 3PT  (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,25.5,Made,3.0,,,,,,,,,,,,,,,
16,PT10M37.00S,2021-04-23T23:47:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,5.601182654402102,47.127757352941174,1610612751,2,6,2021-04-23T23:47:41Z,160000,14.0,0.0,1,left,MISS J. Harris reverse Layup - blocked,"[203925, 202684]",1610612751.0,BKN,reverse,,,Harris,J. Harris,,,,,,,,1.44,Missed,,,,,,,,,Thompson,202684.0,,,,,,
