actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-04-25T17:15:44.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-25T17:15:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-04-25T17:15:46.8Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612738,0,0,2021-04-25T17:15:46Z,40000,,,0,,Jump Ball T. Thompson vs. P. Washington: Tip to K. Walker,"[202689, 202684, 1629023]",1610612738.0,BOS,startperiod,K. Walker,202689.0,Walker,K. Walker,Thompson,202684.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-04-25T17:16:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,85.23324572930355,46.392463235294116,1610612738,0,2,2021-04-25T17:16:08Z,70000,-18.0,86.0,1,right,J. Tatum 8' floating Jump Shot (2 PTS),[1628369],1610612738.0,BOS,floating,,,Tatum,J. Tatum,,,,,8.82,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2021-04-25T17:16:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.652431011826544,50.80422794117647,1610612766,2,2,2021-04-25T17:16:21Z,80000,-4.0,10.0,1,left,M. Bridges reverse Layup (2 PTS) (C. Martin 1 AST),"[1628970, 1628998]",1610612766.0,CHA,reverse,,,Bridges,M. Bridges,,,,,1.08,Made,2.0,C. Martin,1628998.0,1.0,,,,,,,,,,,,,,,
10,PT11M12.00S,2021-04-25T17:16:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,94.69448094612353,51.53952205882353,1610612738,2,2,2021-04-25T17:18:17Z,100000,8.0,-3.0,1,right,MISS T. Thompson cutting Layup - blocked,"[202684, 1628998]",1610612738.0,BOS,cutting,,,Thompson,T. Thompson,,,,,0.81,Missed,,,,,Martin,1628998.0,,,,,,,,,,,,,
16,PT11M12.00S,2021-04-25T17:16:30.6Z,1,REGULAR,block,,[],1628998,,,1610612738,2,2,2021-04-25T17:17:22Z,105000,,,0,,C. Martin BLOCK (1 BLK),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-04-25T17:16:32.6Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,2,2,2021-04-25T17:16:35Z,110000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M05.00S,2021-04-25T17:16:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628998,5.338370565045992,51.53952205882353,1610612766,4,2,2021-04-25T17:19:21Z,120000,-8.0,-2.0,1,left,C. Martin running finger roll Layup (2 PTS) (T. Rozier 1 AST),"[1628998, 1626179]",1610612766.0,CHA,running finger roll,,,Martin,C. Martin,,,,,0.8,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-04-25T17:16:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612738,4,2,2021-04-25T17:17:05Z,140000,,,0,,M. Bridges shooting personal FOUL (1 PF) (Thompson 2 FT),"[1628970, 202684]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Thompson,202684.0,,,,
17,PT10M51.00S,2021-04-25T17:17:32.4Z,1,REGULAR,freethrow,1 of 2,[],202684,,,1610612738,4,2,2021-04-25T17:17:32Z,160000,,,0,,MISS T. Thompson Free Throw 1 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M51.00S,2021-04-25T17:17:32.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,4,2,2021-04-25T17:17:32Z,170000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
19,PT10M51.00S,2021-04-25T17:17:48.6Z,1,REGULAR,freethrow,2 of 2,[],202684,,,1610612738,4,3,2021-04-25T17:17:48Z,180000,,,0,,T. Thompson Free Throw 2 of 2 (1 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2021-04-25T17:18:16.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,7.5722733245729295,4.725796568627451,1610612766,7,3,2021-04-25T17:18:20Z,190000,226.0,19.0,1,left,M. Bridges 3PT  (5 PTS) (T. Rozier 2 AST),"[1628970, 1626179]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,22.72,Made,5.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,,,
22,PT10M09.00S,2021-04-25T17:18:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,93.38042049934296,53.990502450980394,1610612738,7,5,2021-04-25T17:18:36Z,210000,20.0,10.0,1,right,T. Thompson driving Layup (3 PTS),[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,2.22,Made,3.0,,,,,,,,,,,,,,,,,,
23,PT09M54.00S,2021-04-25T17:18:46.7Z,1,REGULAR,3pt,Jump Shot,[],1628984,5.469776609724048,97.61795343137256,1610612766,10,5,2021-04-25T17:18:51Z,220000,-238.0,-1.0,1,left,D. Graham 3PT  (3 PTS) (T. Rozier 3 AST),"[1628984, 1626179]",1610612766.0,CHA,,,,Graham,D. Graham,,,,,23.81,Made,3.0,T. Rozier,1626179.0,3.0,,,,,,,,,,,,,,,
25,PT09M42.00S,2021-04-25T17:18:58.7Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,10,5,2021-04-25T17:19:03Z,240000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 1626179]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,
26,PT09M42.00S,2021-04-25T17:18:58.7Z,1,REGULAR,steal,,[],1626179,,,1610612766,10,5,2021-04-25T17:19:00Z,250000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2021-04-25T17:19:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626179,5.469776609724048,52.76501225490197,1610612766,12,5,2021-04-25T17:21:30Z,260000,-14.0,-1.0,1,left,T. Rozier running Layup (2 PTS),[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,1.38,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2021-04-25T17:19:07.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,5,2021-04-25T17:19:07Z,270000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2021-04-25T17:22:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,91.67214191852825,66.00030637254902,1610612738,12,5,2021-04-25T17:22:53Z,280000,80.0,26.0,1,right,MISS J. Brown 8' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,8.41,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2021-04-25T17:22:46.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,12,5,2021-04-25T17:22:53Z,290000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M10.00S,2021-04-25T17:22:56.9Z,1,REGULAR,3pt,Jump Shot,[],1628998,28.597240473061763,25.06893382352941,1610612766,15,5,2021-04-25T17:23:00Z,300000,125.0,216.0,1,left,C. Martin 24' 3PT  (5 PTS) (T. Rozier 4 AST),"[1628998, 1626179]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,24.97,Made,5.0,T. Rozier,1626179.0,4.0,,,,,,,,,,,,,,,
