actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-04-28T23:40:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-04-28T23:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-04-28T23:40:44.6Z,1,REGULAR,jumpball,recovered,[],203095,,,1610612738,0,0,2021-04-28T23:40:44Z,40000,,,0,,Jump Ball T. Thompson vs. P. Washington: Tip to E. Fournier,"[203095, 202684, 1629023]",1610612738.0,BOS,startperiod,E. Fournier,203095.0,Fournier,E. Fournier,Thompson,202684.0,Washington,1629023.0,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-04-28T23:41:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,89.56964520367937,48.10814950980392,1610612738,0,0,2021-04-28T23:41:16Z,70000,-9.0,46.0,1,right,MISS T. Thompson driving Hook,[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,4.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-04-28T23:41:09.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,0,2021-04-28T23:41:16Z,80000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-04-28T23:41:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627759,87.59855453350855,45.166973039215684,1610612738,0,0,2021-04-28T23:41:47Z,90000,-24.0,64.0,1,right,MISS J. Brown 6' Layup - blocked,"[1627759, 1628984]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,6.85,Missed,,,,,Graham,1628984.0,,,,,,,,,,,,
10,PT11M30.00S,2021-04-28T23:41:13.1Z,1,REGULAR,block,,[],1628984,,,1610612738,0,0,2021-04-28T23:41:15Z,100000,,,0,,D. Graham BLOCK (1 BLK),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2021-04-28T23:41:15.1Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612766,0,0,2021-04-28T23:41:24Z,110000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612766.0,CHA,,,,Graham,D. Graham,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M22.00S,2021-04-28T23:41:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.258212877792378,46.63756127450981,1610612766,0,0,2021-04-28T23:42:16Z,120000,17.0,6.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,1.79,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2021-04-28T23:41:21.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-04-28T23:41:31Z,130000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M10.00S,2021-04-28T23:41:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629682,93.16688567674113,46.2124693627451,1610612738,2,0,2021-04-28T23:41:41Z,140000,-19.0,12.0,1,right,T. Waters driving reverse Layup (2 PTS),[1629682],1610612738.0,BOS,driving reverse,,,Waters,T. Waters,,,,,2.22,Made,,,,,,,2.0,,,,,,,,,,,
15,PT10M59.00S,2021-04-28T23:41:44.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,19.92444152431012,6.686580882352941,1610612766,2,0,2021-04-28T23:42:01Z,150000,217.0,135.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2021-04-28T23:41:46.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,2,0,2021-04-28T23:42:01Z,160000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M56.00S,2021-04-28T23:41:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612766,2,0,2021-04-28T23:42:11Z,170000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Bridges 2 FT),"[1628369, 1628970]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,,,,202049.0,1.0,0.0,Bridges,1628970.0,,,,,,
