actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-05-02T23:40:54.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-02T23:40:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-05-02T23:40:56.5Z,1,REGULAR,jumpball,recovered,[],203496,,,1610612757,0,0,2021-05-02T23:40:56Z,40000,,,0,,Jump Ball J. Nurkic vs. T. Thompson: Tip to R. Covington,"[203496, 203994, 202684]",1610612757.0,POR,startperiod,R. Covington,203496.0,Covington,R. Covington,Nurkic,203994.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-05-02T23:41:05.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,23.209592641261498,88.30422794117648,1610612757,0,3,2021-05-02T23:41:13Z,70000,-192.0,166.0,1,left,N. Powell 25' 3PT  (3 PTS) (D. Lillard 1 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,25.32,Made,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2021-05-02T23:41:31.8Z,1,REGULAR,2pt,Jump Shot,[],203095,79.05716162943496,21.147365196078432,1610612738,2,3,2021-05-02T23:41:40Z,90000,-144.0,144.0,1,right,E. Fournier 20' step back Jump Shot (2 PTS),[203095],1610612738.0,BOS,step back,,,Fournier,E. Fournier,,,,,20.41,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2021-05-02T23:41:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,18.478975032851512,34.872855392156865,1610612757,2,5,2021-05-02T23:41:59Z,100000,76.0,121.0,1,left,J. Nurkic 14' floating Jump Shot (2 PTS) (D. Lillard 2 AST),"[203994, 203081]",1610612757.0,POR,floating,,,Nurkic,J. Nurkic,,,,,14.28,Made,2.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,,,
12,PT10M50.00S,2021-05-02T23:42:03.4Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612738,2,5,2021-05-02T23:42:13Z,120000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 203496]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,1.0,Covington,203496.0,,,,,,,,,,,,
13,PT10M50.00S,2021-05-02T23:42:03.4Z,1,REGULAR,steal,,[],203496,,,1610612757,2,5,2021-05-02T23:42:05Z,130000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2021-05-02T23:42:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626181,7.440867279894875,46.63756127450981,1610612757,2,5,2021-05-02T23:42:27Z,140000,17.0,17.0,1,left,MISS N. Powell running finger roll Layup,[1626181],1610612757.0,POR,running finger roll,,,Powell,N. Powell,,,,,2.42,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2021-05-02T23:42:07.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,5,2021-05-02T23:44:49Z,150000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,
16,PT10M43.00S,2021-05-02T23:42:45.0Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,2,5,2021-05-02T23:44:49Z,160000,,,0,,Jump Ball T. Thompson vs. J. Nurkic: Tip to J. Brown,"[1627759, 202684, 203994]",1610612738.0,BOS,unclearpass,J. Brown,1627759.0,Brown,J. Brown,Thompson,202684.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
