actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-05-11T23:46:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-11T23:46:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-05-11T23:46:07.2Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2021-05-11T23:46:07Z,40000,,,0,,Jump Ball B. Adebayo vs. T. Thompson: Tip to D. Robinson,"[1629130, 1628389, 202684]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-05-11T23:46:22.1Z,1,REGULAR,2pt,Jump Shot,[],202710,20.581471747700395,34.38265931372549,1610612748,0,0,2021-05-11T23:46:29Z,70000,78.0,141.0,1,left,MISS J. Butler 16' turnaround Shot,[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-05-11T23:46:26.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2021-05-11T23:46:29Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-05-11T23:46:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,92.19776609724047,44.921875,1610612738,2,0,2021-05-11T23:46:41Z,90000,-25.0,21.0,1,right,M. Smart cutting finger roll Layup (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,cutting finger roll,,,Smart,M. Smart,,,,,3.28,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2021-05-11T23:46:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,25.18068331143233,13.304227941176471,1610612748,2,0,2021-05-11T23:46:53Z,110000,183.0,184.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2021-05-11T23:46:51.1Z,1,REGULAR,rebound,defensive,[],203095,,,1610612738,2,0,2021-05-11T23:46:53Z,120000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-05-11T23:47:00.6Z,1,REGULAR,3pt,Jump Shot,[],203935,93.11760840998686,2.7650122549019605,1610612738,5,0,2021-05-11T23:47:06Z,130000,-236.0,12.0,1,right,M. Smart 3PT  (5 PTS) (E. Fournier 1 AST),"[203935, 203095]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.65,Made,,,,,5.0,E. Fournier,203095.0,1.0,,,,,,,,,,,
15,PT10M49.00S,2021-05-11T23:47:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.828515111695138,44.676776960784316,1610612748,5,2,2021-05-11T23:47:27Z,150000,27.0,68.0,1,left,B. Adebayo 7' pullup bank Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup bank,,,Adebayo,B. Adebayo,,,,,7.31,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M41.00S,2021-05-11T23:47:24.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,5,2,2021-05-11T23:47:24Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2021-05-11T23:47:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,89.70105124835742,47.127757352941174,1610612738,5,2,2021-05-11T23:47:52Z,170000,-14.0,44.0,1,right,MISS T. Thompson driving reverse Layup - blocked,"[202684, 1629130]",1610612738.0,BOS,driving reverse,,,Thompson,T. Thompson,,,,,4.66,Missed,,,,,,,,,Robinson,1629130.0,,,,,,,,,
25,PT10M31.00S,2021-05-11T23:47:43.4Z,1,REGULAR,block,,[],1629130,,,1610612738,5,2,2021-05-11T23:49:46Z,175000,,,0,,D. Robinson BLOCK (1 BLK),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
