actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-05-15T18:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-15T18:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-05-15T18:10:22.4Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2021-05-15T18:10:22Z,40000,,,0,,Jump Ball K. Towns vs. L. Kornet: Tip to D. Russell,"[1626156, 1626157, 1628436]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-05-15T18:10:39.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,74.32654402102497,66.98069852941177,1610612750,0,0,2021-05-15T18:10:43Z,70000,85.0,189.0,1,right,MISS D. Russell 20' pullup Shot - blocked,"[1626156, 1628436]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,20.7,Missed,Kornet,1628436.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-05-15T18:10:39.0Z,1,REGULAR,block,,[],1628436,,,1610612750,0,0,2021-05-15T18:10:41Z,80000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-05-15T18:10:43.0Z,1,REGULAR,rebound,defensive,[],1628400,,,1610612738,0,0,2021-05-15T18:10:43Z,90000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M19.00S,2021-05-15T18:10:59.9Z,1,REGULAR,2pt,Jump Shot,[],1630202,25.837713534822605,54.48069852941176,1610612738,0,0,2021-05-15T18:11:05Z,100000,-22.0,190.0,1,left,MISS P. Pritchard 19' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,19.17,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2021-05-15T18:11:02.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2021-05-15T18:11:05Z,110000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M08.00S,2021-05-15T18:11:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,91.40932982917214,37.32383578431372,1610612750,0,0,2021-05-15T18:11:17Z,120000,-63.0,28.0,1,right,MISS A. Edwards 6' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,6.94,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-05-15T18:11:15.5Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,0,0,2021-05-15T18:11:17Z,130000,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M03.00S,2021-05-15T18:11:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,6.258212877792378,46.392463235294116,1610612738,0,0,2021-05-15T18:11:26Z,140000,18.0,6.0,1,left,MISS E. Fournier driving Layup - blocked,"[203095, 1626156]",1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,1.91,Missed,Russell,1626156.0,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2021-05-15T18:11:18.8Z,1,REGULAR,block,,[],1626156,,,1610612738,0,0,2021-05-15T18:11:20Z,150000,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2021-05-15T18:11:18.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,0,0,2021-05-15T18:11:26Z,160000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,
