actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-05-16T17:15:05.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-16T17:15:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-05-16T17:15:08.2Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2021-05-16T17:15:08Z,40000,,,0,,Jump Ball L. Kornet vs. N. Noel: Tip to G. Williams,"[1629684, 1628436, 203457]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Kornet,1628436.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-05-16T17:15:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628400,94.69448094612353,2.5199142156862746,1610612738,0,0,2021-05-16T17:15:23Z,70000,-237.0,-3.0,1,right,MISS S. Ojeleye 3PT,[1628400],1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,23.74,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-05-16T17:15:20.1Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,0,0,2021-05-16T17:15:23Z,80000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-05-16T17:15:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,7.5722733245729295,51.294424019607845,1610612752,0,0,2021-05-16T17:15:40Z,90000,-6.0,19.0,1,left,MISS R. Barrett driving Layup - blocked,"[1629628, 1628436]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,1.98,Missed,,,,,Kornet,1628436.0,,,,,,,,,,,,,
10,PT11M29.00S,2021-05-16T17:15:35.6Z,1,REGULAR,block,,[],1628436,,,1610612752,0,0,2021-05-16T17:15:37Z,100000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-05-16T17:15:37.6Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,0,0,2021-05-16T17:15:40Z,110000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M22.00S,2021-05-16T17:15:42.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,77.34888304862024,88.30422794117648,1610612738,0,3,2021-05-16T17:16:15Z,120000,192.0,160.0,1,right,P. Pritchard 24' 3PT pullup (3 PTS) (G. Williams 1 AST),"[1630202, 1629684]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,24.98,Made,,,,,,,3.0,G. Williams,1629684.0,1.0,,,,,,,,,
14,PT11M01.00S,2021-05-16T17:16:03.0Z,1,REGULAR,3pt,Jump Shot,[],203944,27.808804204993432,19.186580882352942,1610612752,3,3,2021-05-16T17:17:25Z,140000,154.0,209.0,1,left,J. Randle 25' 3PT step back (3 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,25.96,Made,,,,,,,3.0,,,,,,,,,,,,
15,PT10M46.00S,2021-05-16T17:16:18.3Z,1,REGULAR,turnover,bad pass,[],1628400,,,1610612738,3,3,2021-05-16T17:16:22Z,150000,,,0,,S. Ojeleye bad pass TURNOVER (1 TO),"[1628400, 203944]",1610612738.0,BOS,,,,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,1.0,Randle,203944.0,,,,,,
