actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-05-25T23:33:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-25T23:33:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-05-25T23:33:21.7Z,1,REGULAR,jumpball,recovered,[],203925,,,1610612751,0,0,2021-05-25T23:33:21Z,40000,,,0,,Jump Ball K. Durant vs. T. Thompson: Tip to J. Harris,"[203925, 201142, 202684]",1610612751.0,BKN,startperiod,J. Harris,203925.0,Harris,J. Harris,Durant,201142.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-05-25T23:33:35.1Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612751,0,0,2021-05-25T23:33:45Z,70000,,,0,,M. Smart shooting personal FOUL (1 PF) (Irving 2 FT),"[203935, 202681]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1148.0,1.0,0.0,Irving,202681.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-05-25T23:34:07.9Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612751,1,0,2021-05-25T23:34:07Z,90000,,,0,,K. Irving Free Throw 1 of 2 (1 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2021-05-25T23:34:25.9Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612751,2,0,2021-05-25T23:34:26Z,100000,,,0,,K. Irving Free Throw 2 of 2 (2 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2021-05-25T23:34:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,93.64323258869908,50.314031862745104,1610612738,2,2,2021-05-25T23:34:47Z,110000,2.0,7.0,1,right,K. Walker driving Layup (2 PTS),[202689],1610612738.0,BOS,driving,,,Walker,K. Walker,,,,,,,,,,Made,2.0,0.75,,,,,,,,,,,,
12,PT11M15.00S,2021-05-25T23:34:55.4Z,1,REGULAR,3pt,Jump Shot,[],201142,28.597240473061763,25.06893382352941,1610612751,5,2,2021-05-25T23:35:00Z,120000,125.0,216.0,1,left,K. Durant 24' 3PT  (3 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,Made,3.0,24.97,J. Harden,201935.0,1.0,,,,,,,,,
14,PT11M04.00S,2021-05-25T23:35:09.9Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,5,2,2021-05-25T23:35:21Z,140000,,,0,,J. Harris shooting personal FOUL (1 PF) (Fournier 2 FT),"[203925, 203095]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,1148.0,1.0,0.0,Fournier,203095.0,,,,,,,,,,,,,,,
16,PT11M04.00S,2021-05-25T23:35:30.7Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612738,5,3,2021-05-25T23:35:30Z,160000,,,0,,E. Fournier Free Throw 1 of 2 (1 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
17,PT11M04.00S,2021-05-25T23:35:47.1Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612738,5,4,2021-05-25T23:35:47Z,170000,,,0,,E. Fournier Free Throw 2 of 2 (2 PTS),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
18,PT10M53.00S,2021-05-25T23:36:07.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612751,5,4,2021-05-25T23:36:22Z,180000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 201142]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1174.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
20,PT10M46.00S,2021-05-25T23:36:25.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201933,5.338370565045992,47.86305147058824,1610612751,7,4,2021-05-25T23:36:38Z,200000,11.0,-2.0,1,left,B. Griffin cutting DUNK (2 PTS) (J. Harden 2 AST),"[201933, 201935]",1610612751.0,BKN,cutting,,,Griffin,B. Griffin,,,,,,,,,,Made,2.0,1.09,J. Harden,201935.0,2.0,,,,,,,,,
22,PT10M32.00S,2021-05-25T23:36:40.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.01905387647832,66.00030637254902,1610612738,7,7,2021-05-25T23:36:44Z,220000,80.0,248.0,1,right,J. Tatum 26' 3PT step back (3 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,Made,3.0,26.07,,,,,,,,,,,,
23,PT10M13.00S,2021-05-25T23:37:08.0Z,1,REGULAR,foul,personal,[],202689,,,1610612751,7,7,2021-05-25T23:37:15Z,230000,,,0,,K. Walker personal FOUL (1 PF),"[202689, 201935]",1610612738.0,BOS,,,,Walker,K. Walker,,,,,1174.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
25,PT10M06.00S,2021-05-25T23:37:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,5.995400788436268,46.14736519607843,1610612751,7,7,2021-05-25T23:37:29Z,250000,19.0,4.0,1,left,MISS J. Harris driving Layup,[203925],1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,,,,,,Missed,,1.97,,,,,,,,,,,,
26,PT10M05.00S,2021-05-25T23:37:26.9Z,1,REGULAR,rebound,offensive,[],203925,,,1610612751,7,7,2021-05-25T23:37:26Z,260000,,,0,,J. Harris REBOUND (Off:1 Def:0),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,
27,PT10M05.00S,2021-05-25T23:37:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",203925,7.178055190538765,49.333639705882355,1610612751,9,7,2021-05-25T23:37:44Z,270000,3.0,15.0,1,left,J. Harris putback Layup (2 PTS),[203925],1610612751.0,BKN,putback,,,Harris,J. Harris,,,,,,,,,,Made,2.0,1.54,,,,,,,,,,,,
28,PT10M05.00S,2021-05-25T23:37:33.6Z,1,REGULAR,violation,defensive goaltending,[],202684,,,1610612751,9,7,2021-05-25T23:37:44Z,280000,,,0,,T. Thompson defensive goaltending VIOLATION,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,1148.0,,,,,,,,,,,,,,,,,,,
29,PT09M56.00S,2021-05-25T23:37:52.4Z,1,REGULAR,2pt,Jump Shot,[],202689,72.09264126149803,51.049325980392155,1610612738,9,9,2021-05-25T23:38:01Z,290000,5.0,210.0,1,right,K. Walker 20' step back Jump Shot (4 PTS),[202689],1610612738.0,BOS,step back,,,Walker,K. Walker,,,,,,,,,,Made,4.0,20.99,,,,,,,,,,,,
30,PT09M56.00S,2021-05-25T23:37:57.3Z,1,REGULAR,foul,personal,['1freethrow'],202681,,,1610612738,9,9,2021-05-25T23:38:09Z,300000,,,0,,K. Irving shooting personal FOUL (1 PF) (Walker 1 FT),"[202681, 202689]",1610612751.0,BKN,shooting,,,Irving,K. Irving,,,,,1151.0,1.0,0.0,Walker,202689.0,,,,,,,,,,,,,,,
32,PT09M56.00S,2021-05-25T23:38:23.1Z,1,REGULAR,freethrow,1 of 1,[],202689,,,1610612738,9,10,2021-05-25T23:38:23Z,320000,,,0,,K. Walker Free Throw 1 of 1 (5 PTS),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
33,PT09M44.00S,2021-05-25T23:38:35.9Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,9,10,2021-05-25T23:38:40Z,330000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 203095]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,
34,PT09M44.00S,2021-05-25T23:38:35.9Z,1,REGULAR,steal,,[],203095,,,1610612738,9,10,2021-05-25T23:39:29Z,340000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M33.00S,2021-05-25T23:38:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203095,93.51182654402102,52.76501225490197,1610612738,9,10,2021-05-25T23:38:51Z,350000,14.0,8.0,1,right,MISS E. Fournier driving Layup,[203095],1610612738.0,BOS,driving,,,Fournier,E. Fournier,,,,,,,,,,Missed,,1.62,,,,,,,,,,,,
36,PT09M31.00S,2021-05-25T23:38:49.8Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,9,10,2021-05-25T23:38:51Z,360000,,,0,,J. Harris REBOUND (Off:1 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,
37,PT09M17.00S,2021-05-25T23:39:03.4Z,1,REGULAR,3pt,Jump Shot,[],202681,6.1268068331143235,3.7454044117647056,1610612751,9,10,2021-05-25T23:39:07Z,370000,231.0,5.0,1,left,MISS K. Irving 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,Missed,,23.14,,,,,,,,,,,,
38,PT09M14.00S,2021-05-25T23:39:06.4Z,1,REGULAR,rebound,defensive,[],202689,,,1610612738,9,10,2021-05-25T23:39:07Z,380000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
39,PT09M08.00S,2021-05-25T23:39:12.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,66.5735873850197,50.314031862745104,1610612738,9,10,2021-05-25T23:39:18Z,390000,2.0,262.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,Missed,,26.17,,,,,,,,,,,,
40,PT09M02.00S,2021-05-25T23:39:18.1Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,9,10,2021-05-25T23:39:32Z,400000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,
41,PT08M47.00S,2021-05-25T23:39:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.469776609724048,49.08854166666667,1610612751,11,10,2021-05-25T23:39:45Z,410000,5.0,-1.0,1,left,K. Irving cutting Layup (4 PTS) (B. Griffin 1 AST),"[202681, 201933]",1610612751.0,BKN,cutting,,,Irving,K. Irving,,,,,,,,,,Made,4.0,0.47,B. Griffin,201933.0,1.0,,,,,,,,,
43,PT08M32.00S,2021-05-25T23:39:50.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,11,10,2021-05-25T23:39:50Z,430000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M24.00S,2021-05-25T23:40:06.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202684,92.9862023653088,51.294424019607845,1610612738,11,12,2021-05-25T23:40:15Z,440000,6.0,13.0,1,right,T. Thompson alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[202684, 203935]",1610612738.0,BOS,alley-oop,,,Thompson,T. Thompson,,,,,,,,,,Made,2.0,1.49,M. Smart,203935.0,1.0,,,,,,,,,
46,PT08M09.00S,2021-05-25T23:40:20.6Z,1,REGULAR,3pt,Jump Shot,[],203925,7.178055190538765,97.12775735294117,1610612751,14,12,2021-05-25T23:40:25Z,460000,-236.0,15.0,1,left,J. Harris 3PT  (5 PTS) (K. Irving 1 AST),"[203925, 202681]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,Made,5.0,23.61,K. Irving,202681.0,1.0,,,,,,,,,
48,PT07M55.00S,2021-05-25T23:40:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.82588699080158,49.82383578431372,1610612738,14,12,2021-05-25T23:40:39Z,480000,-1.0,-4.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,Missed,,0.4,,,,,,,,,,,,
49,PT07M54.00S,2021-05-25T23:40:36.7Z,1,REGULAR,rebound,offensive,[],202684,,,1610612738,14,12,2021-05-25T23:40:36Z,490000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,48.0,1.0,0.0,1.0,,,,,
50,PT07M54.00S,2021-05-25T23:40:39.6Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,14,12,2021-05-25T23:40:55Z,500000,,,0,,J. Harris shooting personal FOUL (2 PF) (Thompson 2 FT),"[203925, 202684]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,1148.0,2.0,0.0,Thompson,202684.0,,,,,,,,,,,,,,,
52,PT07M54.00S,2021-05-25T23:41:06.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202684,,,1610612738,14,12,2021-05-25T23:41:06Z,520000,,,0,,MISS T. Thompson Free Throw 1 of 2,[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Missed,,,,,,,,,,,,,,
53,PT07M54.00S,2021-05-25T23:41:06.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,14,12,2021-05-25T23:41:06Z,530000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,
54,PT07M54.00S,2021-05-25T23:41:26.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202684,,,1610612738,14,13,2021-05-25T23:41:26Z,540000,,,0,,T. Thompson Free Throw 2 of 2 (3 PTS),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
55,PT07M37.00S,2021-05-25T23:41:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.601182654402102,48.10814950980392,1610612751,16,13,2021-05-25T23:41:49Z,550000,9.0,0.0,1,left,K. Irving driving Layup (6 PTS) (B. Griffin 2 AST),"[202681, 201933]",1610612751.0,BKN,driving,,,Irving,K. Irving,,,,,,,,,,Made,6.0,0.95,B. Griffin,201933.0,2.0,,,,,,,,,
56,PT07M25.00S,2021-05-25T23:41:57.7Z,1,REGULAR,3pt,Jump Shot,[],202689,71.30420499342969,22.127757352941178,1610612738,16,13,2021-05-25T23:42:40Z,560000,-139.0,217.0,1,right,MISS K. Walker 25' pullup 3PT,[202689],1610612738.0,BOS,pullup,,,Walker,K. Walker,,,,,,,,,,Missed,,25.81,,,,,,,,,,,,
57,PT07M21.00S,2021-05-25T23:42:01.7Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,16,13,2021-05-25T23:42:02Z,570000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,
