actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-05-30T23:02:58.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-30T23:02:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-05-30T23:03:00.9Z,1,REGULAR,jumpball,recovered,[],1629641,,,1610612738,0,0,2021-05-30T23:03:00Z,40000,,,0,,Jump Ball T. Thompson vs. K. Durant: Tip to R. Langford,"[1629641, 202684, 201142]",1610612738.0,BOS,startperiod,R. Langford,1629641.0,Langford,R. Langford,Thompson,202684.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-05-30T23:03:20.1Z,1,REGULAR,3pt,Jump Shot,[],203935,65.1281208935611,61.09834558823529,1610612738,3,0,2021-05-30T23:03:26Z,70000,55.0,275.0,1,right,M. Smart 28' 3PT  (3 PTS) (R. Langford 1 AST),"[203935, 1629641]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,28.08,Made,3.0,R. Langford,1629641.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-05-30T23:03:39.9Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,3,0,2021-05-30T23:03:43Z,90000,,,0,,K. Irving bad pass TURNOVER (1 TO),"[202681, 203935]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,,
10,PT11M18.00S,2021-05-30T23:03:39.9Z,1,REGULAR,steal,,[],203935,,,1610612738,3,0,2021-05-30T23:03:41Z,100000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-05-30T23:03:43.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203095,71.04139290407359,21.147365196078432,1610612738,3,0,2021-05-30T23:04:11Z,110000,-144.0,220.0,1,right,MISS E. Fournier 26' running 3PT,[203095],1610612738.0,BOS,running,,,Fournier,E. Fournier,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2021-05-30T23:03:45.6Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,3,0,2021-05-30T23:03:49Z,120000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M00.00S,2021-05-30T23:03:57.4Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612751,3,0,2021-05-30T23:04:03Z,130000,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 202684]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,1.0,Thompson,202684.0,,,,,,,,,,,,
14,PT11M00.00S,2021-05-30T23:03:57.4Z,1,REGULAR,steal,,[],202684,,,1610612738,3,0,2021-05-30T23:04:20Z,140000,,,0,,T. Thompson STEAL (1 STL),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2021-05-30T23:04:03.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628369,86.67871222076215,3.5003063725490198,1610612738,6,0,2021-05-30T23:04:08Z,150000,-232.0,73.0,1,right,J. Tatum 24' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.36,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
17,PT10M37.00S,2021-05-30T23:04:19.8Z,1,REGULAR,foul,personal,['3freethrow'],203935,,,1610612751,6,0,2021-05-30T23:04:30Z,170000,,,0,,M. Smart shooting personal FOUL (1 PF) (Irving 3 FT),"[203935, 202681]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Irving,202681.0,,,
19,PT10M37.00S,2021-05-30T23:04:56.4Z,1,REGULAR,freethrow,1 of 3,[],202681,,,1610612751,6,1,2021-05-30T23:04:56Z,190000,,,0,,K. Irving Free Throw 1 of 3 (1 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2021-05-30T23:05:19.3Z,1,REGULAR,freethrow,2 of 3,[],202681,,,1610612751,6,2,2021-05-30T23:05:19Z,200000,,,0,,K. Irving Free Throw 2 of 3 (2 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2021-05-30T23:05:40.0Z,1,REGULAR,freethrow,3 of 3,[],202681,,,1610612751,6,3,2021-05-30T23:05:40Z,210000,,,0,,K. Irving Free Throw 3 of 3 (3 PTS),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2021-05-30T23:05:52.1Z,1,REGULAR,foul,personal,['2freethrow'],203925,,,1610612738,6,3,2021-05-30T23:06:05Z,220000,,,0,,J. Harris shooting personal FOUL (1 PF) (Tatum 2 FT),"[203925, 1628369]",1610612751.0,BKN,shooting,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Tatum,1628369.0,,,
