actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-06-01T23:45:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-06-01T23:45:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-06-01T23:45:53.3Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-06-01T23:45:53Z,40000,,,0,,Jump Ball T. Thompson vs. K. Durant: Tip to M. Smart,"[203935, 202684, 201142]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Thompson,202684.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-06-01T23:46:06.6Z,1,REGULAR,3pt,Jump Shot,[],203935,72.22404730617609,17.715992647058822,1610612738,0,0,2021-06-01T23:46:12Z,70000,-161.0,209.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-06-01T23:46:09.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,0,2021-06-01T23:46:12Z,80000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-06-01T23:46:21.9Z,1,REGULAR,3pt,Jump Shot,[],202681,31.09395532194481,64.5297181372549,1610612751,0,0,2021-06-01T23:46:26Z,90000,-73.0,240.0,1,left,MISS K. Irving 25' 3PT - blocked,"[202681, 203935]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,25.05,Missed,,,,,Smart,203935.0,,,,,,,,,,,,,
10,PT11M28.00S,2021-06-01T23:46:21.9Z,1,REGULAR,block,,[],203935,,,1610612751,0,0,2021-06-01T23:46:25Z,100000,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2021-06-01T23:46:25.9Z,1,REGULAR,rebound,defensive,[],202684,,,1610612738,0,0,2021-06-01T23:46:26Z,110000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612738.0,BOS,,,,Thompson,T. Thompson,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-06-01T23:46:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.77463863337714,51.53952205882353,1610612738,0,2,2021-06-01T23:46:45Z,120000,8.0,6.0,1,right,J. Tatum running finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,0.98,Made,,,,,,,2.0,,,,,,,,,,,,
13,PT10M55.00S,2021-06-01T23:46:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.258212877792378,47.127757352941174,1610612751,2,2,2021-06-01T23:47:06Z,130000,14.0,6.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,1.57,Made,,,,,,,2.0,,,,,,,,,,,,
14,PT10M43.00S,2021-06-01T23:47:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202684,92.85479632063075,49.82383578431372,1610612738,2,4,2021-06-01T23:47:11Z,140000,-1.0,15.0,1,right,T. Thompson driving Layup (2 PTS),[202684],1610612738.0,BOS,driving,,,Thompson,T. Thompson,,,,,1.47,Made,,,,,,,2.0,,,,,,,,,,,,
