actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-05-19T01:02:28.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-05-19T01:02:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-05-19T01:02:31.0Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612764,0,0,2021-05-19T01:02:31Z,40000,,,0,,Jump Ball A. Len vs. R. Williams III: Tip to B. Beal,"[203078, 203458, 1629057]",1610612764.0,WAS,startperiod,B. Beal,203078.0,Beal,B. Beal,Len,203458.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-05-19T01:02:41.0Z,1,REGULAR,turnover,out-of-bounds,[],203458,,,1610612764,0,0,2021-05-19T01:05:18Z,70000,,,0,,A. Len lost ball out-of-bounds TURNOVER (1 TO),[203458],1610612764.0,WAS,lost ball,,,Len,A. Len,,,,,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-05-19T01:02:55.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202689,76.5604467805519,61.34344362745098,1610612738,0,0,2021-05-19T01:03:55Z,80000,57.0,168.0,1,right,MISS K. Walker 17' Jump Shot,[202689],1610612738.0,BOS,,,,Walker,K. Walker,,,,,,17.71,Missed,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-05-19T01:02:59.5Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,0,0,2021-05-19T01:03:55Z,90000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M27.00S,2021-05-19T01:03:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203458,10.200394218134035,47.127757352941174,1610612764,0,2,2021-05-19T01:03:36Z,100000,14.0,43.0,1,left,A. Len cutting finger roll Layup (2 PTS) (B. Beal 1 AST),"[203458, 203078]",1610612764.0,WAS,cutting finger roll,,,Len,A. Len,,,,,,4.57,Made,,,,,2.0,B. Beal,203078.0,1.0,,,,,,,,,
12,PT11M11.00S,2021-05-19T01:03:22.7Z,1,REGULAR,3pt,Jump Shot,[],203095,78.26872536136662,7.666973039215687,1610612738,3,2,2021-05-19T01:03:37Z,120000,-212.0,152.0,1,right,E. Fournier 26' 3PT  (3 PTS) (M. Smart 1 AST),"[203095, 203935]",1610612738.0,BOS,,,,Fournier,E. Fournier,,,,,,26.05,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,
14,PT10M49.00S,2021-05-19T01:03:44.4Z,1,REGULAR,2pt,Jump Shot,[],203458,5.732588699080158,72.37285539215686,1610612764,3,2,2021-05-19T01:04:09Z,140000,-112.0,1.0,1,left,MISS A. Len 11' Jump Shot - blocked,"[203458, 1629057]",1610612764.0,WAS,,,,Len,A. Len,,,,,,11.19,Missed,,,,,,,,,Williams III,1629057.0,,,,,,,
67,PT10M49.00S,2021-05-19T01:03:44.4Z,1,REGULAR,block,,[],1629057,,,1610612764,3,2,2021-05-19T01:10:01Z,145000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2021-05-19T01:03:45.4Z,1,REGULAR,rebound,offensive,[],203078,,,1610612764,3,2,2021-05-19T01:10:01Z,150000,,,0,,B. Beal REBOUND (Off:1 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,
16,PT10M47.00S,2021-05-19T01:03:50.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203078,4.911300919842304,97.9702818627451,1610612764,3,2,2021-05-19T01:10:20Z,160000,-240.0,-6.0,1,left,MISS B. Beal 24' 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,24.0,Missed,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2021-05-19T01:03:51.1Z,1,REGULAR,rebound,offensive,[],203458,,,1610612764,3,2,2021-05-19T01:05:48Z,170000,,,0,,A. Len REBOUND (Off:1 Def:0),[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,
18,PT10M46.00S,2021-05-19T01:03:53.8Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612764,3,2,2021-05-19T01:04:06Z,180000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Len 2 FT),"[1629057, 203458]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Len,203458.0,,
20,PT10M46.00S,2021-05-19T01:04:15.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203458,,,1610612764,3,2,2021-05-19T01:04:15Z,200000,,,0,,MISS A. Len Free Throw 1 of 2,[203458],1610612764.0,WAS,,,,Len,A. Len,,,,,,,Missed,,,,,,,,,,,,,,,,,
