actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-20T23:11:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-20T23:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-20T23:11:26.5Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612751,0,0,2022-04-20T23:11:26Z,40000,,,0,,Jump Ball A. Drummond vs. D. Theis: Tip to K. Irving,"[202681, 203083, 1628464]",1610612751.0,BKN,startperiod,K. Irving,202681.0,Irving,K. Irving,Drummond,203083.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-04-20T23:11:46.6Z,1,REGULAR,3pt,Jump Shot,[],1628971,7.703679369250986,96.32352941176471,1610612751,0,3,2022-04-20T23:11:53Z,70000,-232.0,20.0,1,left,B. Brown 3PT  (3 PTS) (K. Durant 1 AST),"[1628971, 201142]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,23.25,Made,3.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,,
9,PT11M15.00S,2022-04-20T23:12:10.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,0,3,2022-04-20T23:12:17Z,90000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,,,,,,,204059.0,1.0,,,,,,,,,,,,,
10,PT11M09.00S,2022-04-20T23:12:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,3,2022-04-20T23:12:24Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2022-04-20T23:12:51.2Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612751,0,3,2022-04-20T23:12:57Z,110000,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[203552],1610612751.0,BKN,bad pass,,,Curry,S. Curry,,,,,,,,,,,2715.0,1.0,,,,,,,,,,,,,
12,PT10M41.00S,2022-04-20T23:13:09.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,68.80749014454665,26.715686274509803,1610612738,0,3,2022-04-20T23:13:14Z,120000,-116.0,241.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.74,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2022-04-20T23:13:11.8Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,3,2022-04-20T23:13:14Z,130000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M31.00S,2022-04-20T23:13:21.3Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612751,0,3,2022-04-20T23:13:29Z,140000,,,0,,A. Horford shooting personal FOUL (1 PF) (Brown 2 FT),"[201143, 1628971]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,,,,,,,204059.0,,,,,,1.0,0.0,Brown,1628971.0,,,,,
16,PT10M31.00S,2022-04-20T23:13:43.5Z,1,REGULAR,freethrow,1 of 2,[],1628971,,,1610612751,0,4,2022-04-20T23:13:43Z,160000,,,0,,B. Brown Free Throw 1 of 2 (4 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
