actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,value,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-23T23:43:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-23T23:43:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-04-23T23:43:26.1Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-04-23T23:43:26Z,40000,,,0,,Jump Ball A. Horford vs. A. Drummond: Tip to J. Brown,"[1627759, 201143, 203083]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-04-23T23:43:41.4Z,1,REGULAR,foul,personal,[],203083,,,1610612738,0,0,2022-04-23T23:43:54Z,70000,,,0,,A. Drummond personal FOUL (1 PF),"[203083, 1628369]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,1148.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-04-23T23:44:11.3Z,1,REGULAR,3pt,Jump Shot,[],203935,91.67214191852825,4.6568627450980395,1610612738,0,0,2022-04-23T23:44:16Z,90000,-227.0,26.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,22.82,Missed,,,,,,,,,,,,,,
10,PT11M29.00S,2022-04-23T23:44:14.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2022-04-23T23:44:16Z,100000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M10.00S,2022-04-23T23:44:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,12.171484888304862,41.911764705882355,1610612751,0,0,2022-04-24T00:13:50Z,110000,40.0,62.0,1,left,MISS K. Irving 7' driving floating Shot,[202681],1610612751.0,BKN,driving floating,,,Irving,K. Irving,,,,,,,,,,7.39,Missed,,,,,,,,,,,,,,
12,PT11M08.00S,2022-04-23T23:44:35.4Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,0,0,2022-04-23T23:44:41Z,120000,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M56.00S,2022-04-23T23:44:48.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628971,32.40801576872536,39.705882352941174,1610612751,0,0,2022-04-23T23:44:56Z,130000,51.0,252.0,1,left,MISS B. Brown 25' 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,25.73,Missed,,,,,,,,,,,,,,
14,PT10M55.00S,2022-04-23T23:44:49.4Z,1,REGULAR,rebound,offensive,[],202681,,,1610612751,0,0,2022-04-23T23:51:23Z,140000,,,0,,K. Irving REBOUND (Off:1 Def:0),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,
46,PT10M54.00S,2022-04-23T23:44:54.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2022-04-23T23:53:28Z,147500,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,,,,
