actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-25T23:02:55.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-25T23:02:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-25T23:02:59.5Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2022-04-25T23:02:59Z,40000,,,0,,Jump Ball A. Drummond vs. A. Horford: Tip to B. Brown,"[1628971, 203083, 201143]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Drummond,203083.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-04-25T23:03:16.1Z,1,REGULAR,3pt,Jump Shot,[],1628971,3.1044678055190538,95.34313725490196,1610612751,0,0,2022-04-25T23:03:21Z,70000,-227.0,-23.0,1,left,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-04-25T23:03:19.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612738,0,0,2022-04-25T23:03:21Z,80000,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-04-25T23:03:36.5Z,1,REGULAR,foul,personal,[],203552,,,1610612738,0,0,2022-04-25T23:03:44Z,90000,,,0,,S. Curry personal FOUL (1 PF),"[203552, 1627759]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,2882.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
11,PT11M13.00S,2022-04-25T23:03:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.94809461235218,54.41176470588235,1610612738,0,2,2022-04-25T23:04:03Z,110000,22.0,117.0,1,right,J. Brown 11' floating Jump Shot (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,11.93,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,
13,PT10M51.00S,2022-04-25T23:04:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,18.347568988173457,36.51960784313725,1610612751,0,2,2022-04-25T23:04:25Z,130000,67.0,120.0,1,left,MISS K. Irving 13' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,13.76,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-04-25T23:04:24.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,2,2022-04-25T23:04:25Z,140000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-04-25T23:04:32.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,0,2,2022-04-25T23:04:32Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2022-04-25T23:04:46.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.53153745072274,29.65686274509804,1610612738,0,4,2022-04-25T23:05:33Z,160000,-102.0,149.0,1,right,J. Brown 18' pullup Jump Shot (4 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,18.06,Made,,,,,,,,,,4.0,M. Smart,203935.0,2.0,,,,,,
18,PT10M30.00S,2022-04-25T23:05:00.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612751,0,4,2022-04-25T23:05:12Z,180000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 201142]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,1162.0,1.0,0.0,Durant,201142.0,,,,,,,,,,
20,PT10M21.00S,2022-04-25T23:05:28.3Z,1,REGULAR,2pt,Jump Shot,[],201142,6.389618922470433,69.6078431372549,1610612751,2,4,2022-04-25T23:05:39Z,200000,-98.0,8.0,1,left,K. Durant 9' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,9.83,Made,,,,,,,,,,2.0,,,,,,,,,
21,PT10M09.00S,2022-04-25T23:05:44.2Z,1,REGULAR,foul,personal,[],201142,,,1610612738,2,4,2022-04-25T23:06:32Z,210000,,,0,,K. Durant personal FOUL (1 PF),"[201142, 201143]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,1162.0,1.0,0.0,Horford,201143.0,,,,,,,,,,
