actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-05-11T23:07:19.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-05-11T23:07:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-05-11T23:07:21.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-05-11T23:07:21Z,40000,,,0,,Jump Ball B. Lopez vs. A. Horford: Tip to G. Antetokounmpo,"[203507, 201572, 201143]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-05-11T23:07:32.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.67608409986859,24.509803921568626,1610612749,0,3,2022-05-11T23:07:42Z,70000,-127.0,242.0,1,right,G. Allen 27' 3PT  (3 PTS) (B. Lopez 1 AST),"[1628960, 201572]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,27.34,Made,3.0,B. Lopez,201572.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-05-11T23:07:54.3Z,1,REGULAR,2pt,Jump Shot,[],201143,10.5946123521682,79.16666666666666,1610612738,2,3,2022-05-11T23:07:58Z,90000,-146.0,47.0,1,left,A. Horford 15' Jump Shot (2 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,15.32,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-05-11T23:08:04.2Z,1,REGULAR,3pt,Jump Shot,[],201950,69.59592641261499,27.205882352941174,1610612749,2,6,2022-05-11T23:08:09Z,110000,-114.0,233.0,1,right,J. Holiday 25' 3PT pullup (3 PTS),[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,25.97,Made,3.0,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2022-05-11T23:08:24.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.56833114323259,34.80392156862745,1610612738,2,6,2022-05-11T23:08:30Z,120000,76.0,235.0,1,left,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,24.68,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-05-11T23:08:27.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,6,2022-05-11T23:08:30Z,130000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M38.00S,2022-05-11T23:08:41.0Z,1,REGULAR,3pt,Jump Shot,[],201950,73.40670170827858,16.42156862745098,1610612749,2,6,2022-05-11T23:09:17Z,140000,-168.0,197.0,1,right,MISS J. Holiday 25' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-05-11T23:08:43.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,2,6,2022-05-11T23:08:45Z,150000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M29.00S,2022-05-11T23:08:49.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203935,11.563731931668856,46.10523897058824,1610612738,2,6,2022-05-11T23:10:10Z,160000,19.0,56.0,1,left,MISS M. Smart driving Hook,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,5.95,Missed,,,,,,,,,,,,,,,,,,,
